,2006-12-13 00:00:00,2007-03-14 00:00:00,2007-06-15 00:00:00,2007-09-16 00:00:00,2007-12-17 00:00:00,2008-03-18 00:00:00,2008-06-19 00:00:00,2008-09-20 00:00:00,2008-12-21 00:00:00,2009-03-21 00:00:00,2009-06-21 00:00:00,2009-09-21 00:00:00,2009-12-21 00:00:00,2010-03-22 00:00:00,2010-06-23 00:00:00,2010-09-24 00:00:00,2010-12-25 00:00:00,2011-03-26 00:00:00,2011-06-27 00:00:00,2011-09-28 00:00:00,2011-12-29 00:00:00,2012-03-29 00:00:00,2012-06-01 00:00:00,2012-09-04 00:00:00,2012-12-08 00:00:00,2013-03-13 00:00:00,2013-06-16 00:00:00,2013-09-19 00:00:00,2013-12-23 00:00:00,2014-03-28 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-03 00:00:00,2016-06-06 00:00:00,2016-09-09 00:00:00,2016-12-12 00:00:00,2017-03-16 00:00:00,2017-06-18 00:00:00,2017-09-21 00:00:00,2017-12-24 00:00:00,2018-03-27 00:00:00,2018-06-30 00:00:00,2018-09-03 00:00:00,2018-12-06 00:00:00,2019-03-10 00:00:00,2019-06-12 00:00:00,2019-09-15 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-03 00:00:00,2023-06-06 00:00:00,2023-09-09 00:00:00,2023-12-12 00:00:00,2024-03-15 00:00:00,2024-06-15 00:00:00,2024-09-15 00:00:00,2024-12-15 00:00:00,2025-03-15 00:00:00,2025-06-15 00:00:00,2025-09-15 00:00:00,2025-12-15 00:00:00,2026-03-15 00:00:00
Agriculture et pêche,18673.132710835744,18446.980148616367,19688.640374108352,19527.250535604446,20109.835455152934,20290.510520408185,17750.55625233254,19917.127727435676,20594.105336035114,17445.76428602326,18773.504005539126,19228.62733992197,19566.49855325147,18364.95948684108,17545.107579065734,16033.378907882867,25292.894489877224,23648.941404762358,23879.693676300634,25219.95476833813,28400.069274170037,27568.481065604185,28369.327793577355,28146.868603709645,28007.121209387995,28129.530445327884,28970.390412400357,29695.257787185445,29008.04045095593,28715.363366931168,30616.832592661613,31201.604310687595,29854.36326327648,30770.90728727197,30926.500605080964,30327.757629799275,33475.70950875929,31323.717938339094,31168.896864319464,31740.31852821025,31655.90216736419,29436.292169550616,29814.240104369812,30383.30082552551,30532.25585081315,30764.60864447592,30534.72390257204,34831.02148473173,35920.96316073026,34556.44430360798,35111.61889327792,36719.16755488707,38331.288069936054,36186.90576043867,35917.43592500535,36859.65319245737,36026.65433042064,36167.359157631465,37139.11457084026,38307.81862890938,38677.06731477454,38410.070856429,40663.59297505197,41181.55552911602,41848.91579393108,40718.170300019774,39776.32205416561,40221.02858619015,41290.55515841882,40029.778456710905,39424.423637966545,39785.645224064225,40879.23303483739,41375.60627558431,40430.450857148804,41912.01515777679,43582.37992806243,42325.416929431354
Secteur secondaire,91056.5535335509,92958.05730498678,103127.31919203466,108373.68267212497,125963.64939124158,131041.33419569404,139875.38431419458,140581.77509134542,154243.45152768306,155861.99805589044,166298.8616143854,183216.75787482888,185763.60974328977,189416.98407779844,199131.66456959047,199138.37512336572,196703.2269998858,201558.51389638535,219034.15637465238,225021.1698975283,222948.69198348932,224529.98667778334,232747.36289691174,228191.60842597552,226170.92723814302,226307.0505593698,232645.38334663835,232158.7834720452,234354.8904633571,235373.64633984482,245864.44513264735,241171.32963234087,241863.85394882315,238592.00002687238,238246.51497279754,238141.41065202456,234005.6918879947,233972.27107217564,237739.4885479301,240571.79863408481,237200.5256737497,232649.16600019118,243419.2991969764,240022.7461556801,238171.40013566648,241579.9774140875,249505.03579523935,249828.02205563727,243270.89727155401,233610.00562106722,237714.87526661833,240202.36271714355,245635.28666194313,230392.0895526535,237126.48839499836,233579.56592409714,230105.33471122634,231632.6093869112,238959.77587144444,237725.32747004562,232709.07347887766,237775.92423810047,250353.0927560397,259103.4637125389,270459.945076996,270070.3169322562,284203.10803135333,284302.7282114335,296765.5091082409,296196.1680076483,294380.6055775843,305915.40721533145,308245.84032050765,313219.2291665296,309257.37935301126,310205.82432029763,317999.8630221599,323731.10492363066
Industries extractives,2829.603288196087,2658.682930779067,3410.0592274606583,3698.212131066118,4064.083817759495,4139.809156838062,6172.696770037094,5898.049399729054,14633.185991908069,14742.434849961179,15652.239967231008,14891.366288484305,14707.50831554293,16609.92249036839,12274.700431675696,13883.04223859068,12268.494991600228,11999.554574745256,12037.67203729353,13524.379739591102,11636.695862180837,11898.13078258834,12851.339345555418,11403.658385778675,10607.888300933588,9274.637942385934,16933.94144503856,16308.265027765448,15816.30782033623,15736.105414563875,14852.58882259834,15008.668673838461,13651.751005068953,14594.972214612952,15420.932121182632,14845.200639791154,13280.420839525044,13017.573820594718,14171.581195079862,16632.964988747583,13429.312478010836,11934.25861449015,14116.286176963546,14581.119042411196,15618.32553543095,15163.95747891815,16924.71242906893,17030.59614660281,16994.90573351678,16214.084159496548,15556.375657408282,15155.032961366396,21384.743186552936,27574.92511685135,26307.535244063365,25949.8176551475,25836.098648141375,24517.94637145736,26981.451501682797,22997.315514395443,16463.10208727053,16704.22308066853,18124.501520491944,19500.422568394708,19193.792453090547,23371.10098868417,31570.23852559061,31281.274424636005,34194.74479526305,35103.85614533957,31480.111500855095,37708.725781963265,38387.14724692988,41388.74774272719,28401.330790411153,28957.041808363305,29313.7902646351,35864.439851565374
Industries ,53778.24333019592,53194.43768883457,57798.94329933971,57847.230273342575,63270.07742102949,64305.96366014561,64882.42172578581,67327.52018950984,65726.68916264991,64546.31776834054,69790.24647344794,75310.59188357915,73540.13225038456,74100.85792500156,76256.15405590263,75143.09349490875,80604.37882648945,77300.10263333336,87100.31511159473,88486.82167188765,84224.98030976702,86960.20280051726,88910.97995596768,88432.47494622957,86934.68056547528,85125.97180556357,85806.73441327356,82560.33123214099,88993.04563190782,88239.76488935632,91243.72360606423,91083.70179556553,87906.54661531012,84185.70085234953,82814.33156437687,81959.6448307049,82813.9944068419,82487.02758841467,82715.9901263238,82905.03865225063,81577.23614862864,80711.22315374919,83010.90164816835,82298.30374073055,82105.31326581672,83406.94965262056,87361.11167349006,88193.54541652973,87468.78731618308,82328.32329065284,83765.55794037037,88513.87491998267,85621.34002868891,83187.78327446328,87081.53486900564,88404.76618251971,88982.10970513786,92426.57972253185,94913.43129797411,97117.35476281447,97496.23873699509,100028.1559093404,105167.98138964352,109579.44017926528,105528.89016382047,104350.26427179413,103204.93863913302,102190.10155717385,101920.3191304581,100752.55849504247,101509.87496437342,103875.26733592789,101076.84811832116,100728.52773986934,103112.64848336935,107479.23873856517,104768.45492653418,103579.56456173558
Industries alimentaires et tabac,19489.78538690878,17797.995940134813,18662.0589170083,18487.65015803676,20658.72492846605,19402.01155738949,18709.475501364814,18145.256343864836,17249.02654718249,17765.76659671372,19397.34914920623,21004.066778994773,20515.982270082604,20003.132208831605,19830.249250165343,21586.633106300495,23829.500615437522,23699.924630010482,26723.350989284787,27459.78618780105,22170.413215527587,22952.363795740333,24062.49892430253,24130.300059929992,23941.940064244234,23798.751523449388,25350.6845595179,25051.96340217289,26995.34453055744,25951.702641332442,26494.346693342624,28289.400842293577,27139.205218810148,27961.396303051453,28294.40045874925,28376.576702760496,27884.231068184974,28323.120515862887,26800.080253934993,26927.885059333123,25601.354678412747,26805.38519805437,27891.09431304222,27920.56068310441,28083.014633268293,28600.14619692308,31439.831866149125,31942.41156139544,32110.587353496227,30613.166520124443,30569.539606189934,34298.686883139526,31989.8590736804,29339.347864736275,32417.771734799862,34257.38620658198,33486.84506632578,33300.38523009416,35183.81628453291,36368.13839734764,37127.34522096892,39245.7376581958,41027.143023992685,41569.62054710977,39809.1760487356,39316.64195167123,38382.46975995377,39082.621905457425,39131.51522332939,38198.779052086975,38626.50694891674,39837.998513511135,39342.2423216234,38723.674933041,39891.11935058464,40149.283732825155,39767.32191492209,39331.0478100377
"Industries textiles, de l'habillement et du cuir",8810.085547200475,9353.003033195995,9545.35989481569,8808.72277650826,9787.233695710785,9459.958960842949,9822.008904687054,9651.64475507025,9055.64818051435,9874.18358735498,10308.246553407776,10306.348153682286,10631.751544685538,10245.245643521032,9767.378304240163,9169.92780758953,8905.585940898847,9155.665262768018,9964.42460938074,10088.029104891977,8634.706740937714,9008.60640228324,8880.103644444944,8895.562792821467,8514.219329514155,7812.797009683973,8031.07664283775,8022.620397167518,7754.231749452165,8166.268479827045,8212.525217003644,7589.924418768285,6801.022481334233,6641.307529525133,6721.431786736921,6887.921695233096,6796.352517263443,7039.841602820167,7250.171107071472,7323.3224857881605,6186.865416583823,6123.532590476442,6315.925421037559,6161.616157979034,6114.641351541182,6259.767144642827,6052.329081198949,6097.064522081172,5952.947792430565,6036.229951729248,6385.038677362098,6257.979182820664,6297.287782487731,6292.430649535136,6797.254652284823,7151.369716624453,7222.42278431527,7406.295388007016,7476.067933205004,7876.255414795568,8057.411036022978,8106.302629281058,8122.257302097976,8082.536726816521,8022.500018009464,7792.382096628952,7695.428084698197,7448.1719240386,7345.260738897255,6910.273088360353,6648.148501744498,6791.439913936338,6437.078269936388,6610.809603320071,6535.259435969784,6408.742213276199,6359.986525196461,6311.752978431887
Industries chimiques et parachimiques,5642.892298410856,5093.837420954372,6698.723288541478,6816.891821494498,7308.401988307327,8247.710755673157,8723.49843205692,8727.503042541768,8238.077875945397,8508.526078159955,9005.091611688447,9881.061557364563,9910.104471381957,10045.669044958206,10512.347623489424,10330.581120206216,10697.250009260546,10875.436158738923,12309.007472432897,12072.612294815866,13374.797104362677,14899.379479432153,14071.315104575491,13565.47614401538,13514.263682646648,12907.407413359668,13848.343368733615,12624.618343434424,12855.174291987278,12850.992015294009,13616.945831550136,12545.15405497907,11823.050120987305,11559.689889868654,11903.98611218683,11512.617561085055,11824.995898054227,12071.125883224044,12439.78593408808,11932.815348160882,9149.527886103977,9026.199826878497,9161.34328779048,10102.569042914552,9392.99574224111,9779.257185752633,10276.888637105485,11491.08300170036,11194.948955069083,9451.529640314402,10871.566611256925,11895.732424258713,11255.299521260318,11416.185463598023,11320.110880325332,10927.143486249628,10281.862811274787,11493.398746855404,12492.022250460735,10693.435312980208,9600.762335864756,9870.093852658707,10177.543222917167,11445.663880837441,11085.091147849964,12243.289589981005,11459.892662355729,12053.786061492761,12404.813140683591,13740.75035013654,13148.516545113946,13696.982703964153,13397.265518394823,13033.717664610544,13024.745526024552,16639.234150287757,17904.458993869055,17059.404242117263
"Industries métallurgiques, mécaniques, électriques et éléctroniques",9122.60114866097,10200.082745665582,11489.988448168433,11578.417636637943,11830.68107927748,12096.257081590538,12573.146053627273,14545.529924790648,14180.102619495967,13281.47874388039,14077.928475655268,15284.606657003056,16170.587397521851,16897.9860033221,18225.221248333946,15538.884935317208,17426.512879292823,16283.799063239843,17565.87371559606,17604.483506571472,17701.275490000793,16925.039983706727,17318.272382939576,18267.42631945407,16949.80044048122,17341.450686076478,17510.616307027547,17200.128088158726,16302.012575928295,16730.404964009154,16878.812797805855,16573.187810677344,16165.645308794199,16341.961101242534,16694.166718018998,17941.45071039631,18261.17307818253,18075.240958502898,17797.442511032285,18501.53105979336,19039.624012055396,18278.609597617582,18933.207198253942,18659.62674000691,18074.353932931444,18865.741733394036,18954.93804975368,18829.87154312544,18680.170286597,19155.31857540808,19693.514405414335,19776.692881313433,19469.007242755462,19868.568518957316,20201.89124695642,19298.105496214324,18818.8205989604,19557.97976050236,19688.062661195723,20109.509330093653,20317.260308971992,20347.62379249844,22460.917384095053,23893.43112547437,22993.964535798783,22392.507031142806,22599.869360045104,20770.894365092387,20778.534736833928,20436.214882892986,20705.39781245573,21717.267605954257,21436.617344404203,20488.157995853264,21397.44234350837,21696.633229266838,20310.944595863275,20497.50869345439
Industries manufacturières diverses,10712.878949014834,10749.518548883814,11402.812750805815,12155.547880665108,13685.035729267844,15100.025304649478,15054.292834049747,16257.586123242343,17003.833939511707,15116.362762231493,17001.630683490217,18834.508736534473,16311.706566712608,16908.825024368605,17920.957629673765,18517.06652549529,19745.52938159972,17285.277518576084,20537.65832490024,21261.910577807277,22343.787758938248,23174.81313935481,24578.78989970512,23573.709630008656,24014.457048589036,23265.565172994033,21066.01353515673,19661.001001207445,25086.282483982613,24540.39678889368,26041.093066361977,26086.03466884725,25977.623485384214,21681.34602866176,19200.346488684878,17241.078161229972,18047.241845156717,16977.69862800468,18428.51032019698,18219.48469917512,21599.8641554727,20477.495940722285,20709.331428044155,19453.93111672565,20440.307605834692,19902.03739190799,20637.12403928283,19833.11478822733,19530.13292859019,17072.078603076676,16245.898640147097,16284.783548450325,16609.88640850499,16271.250777636535,16344.5063546392,16770.761276849335,19172.158444261633,20668.520597072915,20073.462168579736,22070.016307597405,22393.459835166435,22458.397976706405,23380.120456540637,24588.18789902716,23618.15841342667,22605.443602370135,23067.278772080226,22834.62730109267,22260.195290713913,21466.54112156561,22381.30515614251,21831.578598561995,20463.644663962343,21872.167543044485,22264.08182728198,22585.34541290919,20425.742896683263,20379.850837694317
"Electricité,  gaz et eau",10726.838230605132,10867.095916739432,11644.279859705688,14332.21372807264,15780.691931781177,16608.569616105786,16749.14339259747,16791.73239072201,17114.929218799225,17561.814831149717,18241.386069870157,17569.531032127998,16665.755917198632,19874.542153779974,23826.0951854281,25315.678660518668,24388.358345361477,27902.891256908217,29799.642414054968,30294.403615118874,31246.914769327494,32955.101772759685,34248.545702504154,35979.06349180537,34971.8066553026,36633.62034349615,36519.89825943648,35992.975701231175,35753.902253875254,38013.08783956349,43535.32611252724,41991.34981751559,46972.40733442466,47354.4191645421,48876.792627183306,49082.25253981534,49427.93618161786,50372.70145221538,50505.10262962775,49356.91676873858,50468.65637970451,49754.04651954747,52484.455591216116,51137.6163401459,46718.99104047646,47714.19895938721,49017.4212682194,47363.95171273066,43913.298717548925,40696.71710991267,42648.984637233254,40620.82897066909,42485.004549707315,40981.657061025915,42942.80130895424,38000.8100359407,35222.90792096173,35303.848158445966,36718.44958349029,38568.80407113068,39760.23352897603,40760.03809582609,47183.191656008494,51482.1992727889,54764.26929878635,51732.61421921157,56124.43130744269,60429.26027625704,68210.90918557027,65684.65522859967,64973.74134908304,68232.72928297977,72648.96078378086,74494.45312516612,74002.8842622947,73051.81838231649,79099.34341633976,76843.38139395798
