Date,Masse monétaire (M3),Crédit bancaire,Secteur privé,Sociétés non financières privées,"Comptes débiteurs et crédits de trésorerie (déflaté, réel)","Primes versées (MDH) (déflaté, réel)"
2013-01-01,1007915.7199462296,735134.9893858898,607741.005546618,349755.0578276003,186490.2376,
2013-02-01,1016989.5951885207,734870.5973224983,606781.117898653,347650.5634834544,180664.507,
2013-03-01,1012589.1592413865,731858.8862735024,601649.4107394719,340197.991364967,179362.1067,
2013-04-01,1015802.2756846042,736964.035510223,605376.6595957001,341512.1742351736,180886.5718,
2013-05-01,1024910.4890834199,737366.6008562349,608497.8913632665,342435.1564299152,180161.0271,
2013-06-01,1049972.7338124772,761224.5831991758,622216.5228192814,352828.04150097,191976.1036,
2013-07-01,1055197.1581470736,756991.1345995612,619413.6099043825,348768.1655884638,194027.4837,
2013-08-01,1057454.7650029717,755895.6646623081,619839.0594142238,348142.9760422306,190415.9296,
2013-09-01,1050004.9462409616,757593.4292862073,622046.279909458,349744.4512189503,188595.372,
2013-10-01,1049522.5471780426,754265.2535355974,620320.568307491,346371.22879777895,185999.342,
2013-11-01,1043055.1697847273,753424.9410491675,617533.9464429696,341934.39551513793,181372.6443,
2013-12-01,1066427.4030081348,778859.7797461499,623308.5238406562,342369.2393555631,182758.4209,
2014-01-01,1041883.4296552158,758529.8903318543,617791.276305218,338474.9872525711,175093.6958,
2014-02-01,1044183.647383567,757813.9764507147,620452.3629265853,338980.20660195785,176819.861,
2014-03-01,1046881.1958617792,769842.6739809975,625221.247203189,341727.3910575682,179553.965,
2014-04-01,1055509.3485703385,767757.9714035292,626224.8464702457,342280.8667994447,180646.647,
2014-05-01,1069099.6660310123,768037.9657546764,627865.5782386374,343075.17222193367,179658.7045,
2014-06-01,1084382.3707154216,786095.5379284795,642992.7762389636,355727.26970605465,195159.6831,
2014-07-01,1088825.6768756416,782830.835680788,648650.1229780617,356537.01058489934,193007.7895,
2014-08-01,1092270.6245224287,775225.8144795295,641961.3269249687,349466.16441484797,188314.214,
2014-09-01,1097769.5634629326,784968.0472354587,644484.8724575025,350952.49686463433,190726.4607,
2014-10-01,1094059.2634328196,782589.0346650154,643352.3971887596,350256.90142315393,186077.0956,
2014-11-01,1093813.8270262452,778793.9723643344,639128.1698168089,344848.7793402342,180846.7341,
2014-12-01,1121655.3301090095,788299.810992419,638169.5104058123,347466.8043747333,186549.6659,
2015-01-01,1094968.4981854947,777282.4492924388,632231.0356355315,341606.0060467503,181667.9483,
2015-02-01,1099563.915789143,775023.7682829255,629594.5004484185,338585.03288800165,178541.727,
2015-03-01,1103449.7164838663,778920.6400444799,629221.7126027265,337956.7281887488,176822.7686,
2015-04-01,1108861.1957613865,773693.6610763976,626406.404895792,333518.92429313244,177594.0163,
2015-05-01,1109567.056200026,771208.7713723899,623922.5930331581,330408.45998343185,173103.91,
2015-06-01,1137506.6462222557,795524.7935444213,633617.9496922492,339040.7902145841,184887.72,
2015-07-01,1132645.0470947819,788209.155975473,633196.1229175477,337435.58618358267,182822.8549,
2015-08-01,1141899.8151649276,779623.7916179855,629050.7498735717,332739.5713841591,178942.4892,
2015-09-01,1137942.9931067654,780800.1742778986,629790.1629568216,332712.4079238321,177762.1357,
2015-10-01,1138484.0952430412,777169.8867956528,625095.0798380594,328231.8754710068,173184.0627,
2015-11-01,1143744.823491394,779638.248118321,624501.3225246817,326667.6929348894,173211.8301,
2015-12-01,1169062.6747641193,799366.5222586757,627805.356776769,330883.8236280521,174977.1076,
2016-01-01,1134606.3510793757,778607.8945154392,625270.1331885394,330188.3290933927,171764.5205,
2016-02-01,1148434.3298908086,778041.0445445373,624462.6606880415,329327.3668809532,169470.7659,
2016-03-01,1150710.733307087,781306.5218407491,627956.5268527644,330137.9763524573,172670.6977,
2016-04-01,1152966.0458370857,780233.7386191651,627243.9063690109,329844.92433598515,171584.4931,
2016-05-01,1154581.9316894475,782405.4508669853,626347.483969327,327971.2405631245,170554.9096,
2016-06-01,1179694.1948496057,802312.7003296721,639171.1227370717,336595.1795029318,181814.6644,
2016-07-01,1175085.4054997803,794787.3593054782,639112.6616487429,336329.9101859771,179848.3615,7231.775
2016-08-01,1190851.4268033486,795423.2239318712,636783.1102344869,334001.5035543457,178331.9362,
2016-09-01,1191278.2888013285,802237.9623965711,639772.5125771574,337074.74351815373,178776.9118,
2016-10-01,1186712.7783666186,797423.4889909687,633846.0669414162,330188.4591466205,174496.4936,7906.5611
2016-11-01,1189768.7984056608,801664.622465257,631413.6026403188,327170.05934661615,171178.7001,
2016-12-01,1210236.3984558557,823420.8984886843,637336.1503136874,335319.4199598073,173851.9211,
2017-01-01,1201259.0060362173,804106.0756539234,631692.5949698188,329057.2580482897,161260.05,
2017-02-01,1197002.4060301508,797563.0641206029,632224.4904522613,331096.18733668345,162307.6068,
2017-03-01,1205703.1762336355,809946.0885196375,639727.1729103726,335941.6156092649,165717.0686,
2017-04-01,1210625.8549848942,814193.9197381672,641775.4357502518,335742.627693857,171453.3096,
2017-05-01,1206719.6439317954,813893.6260782346,642130.7517552659,334543.6388164494,171274.994,
2017-06-01,1219838.929,842162.5051,656832.4994,348324.3023,182527.1667,
2017-07-01,1229860.0844221106,835426.6324623115,657515.012562814,347532.9351758794,177356.8302,8493.8693
2017-08-01,1240423.253507014,828746.4934869739,656006.5773547094,345231.72394789575,170919.6563,
2017-09-01,1236339.017892644,825253.686779324,650609.5769383698,341368.9301192843,170328.784,
2017-10-01,1235670.376119403,828018.4929353235,652190.1726368159,342223.5466666667,168837.8861,9365.5721
2017-11-01,1242390.095049505,825892.4554455446,647483.0814851485,339086.0079207921,165258.875,
2017-12-01,1254048.692687747,833308.2587944664,647700.2537549407,339718.83942687744,165398.4669,
2018-01-01,1232783.7357001973,814967.6852071006,639894.9369822484,331702.05246548326,156209.2989,
2018-02-01,1241674.9950445986,817112.6675916748,644335.4730426164,334775.41902874125,157251.7727,
2018-03-01,1253875.1603960397,821886.1582178217,646626.0053465347,336009.4826732673,161827.4518,
2018-04-01,1239927.824630542,818340.5744827588,647332.4274876849,335656.06039408874,160212.7333,
2018-05-01,1241637.959843291,815720.1217433889,644536.5024485799,332699.2077375123,158815.5109,
2018-06-01,1246867.6357421875,836915.7484375,656959.065234375,345256.8905273437,171618.9089,
2018-07-01,1262389.6942800789,839176.7859960552,662614.2268244576,345933.93757396453,170745.6698,8465.5819
2018-08-01,1274380.858974359,837902.0428007889,663653.966765286,344956.7208086785,170411.5868,
2018-09-01,1266017.8172888015,839430.7358546169,661494.6963654223,342521.9656188605,173580.0075,
2018-10-01,1279203.2578740157,833335.760531496,658457.0578740158,338577.53838582675,166697.3409,10122.4409
2018-11-01,1274693.8687561215,830799.144074437,654724.2538687562,335654.3887365328,166216.1095,
2018-12-01,1302390.797830375,858595.500295858,664310.4455621302,342229.8304733728,175271.2614,
