equation,type,predicteur,retard,coefficient
Hébergement-restauration,A_l,Immobilier,3,-0.01099175511442955
Hébergement-restauration,A_l,Agriculture,3,0.0004315520674828874
Hébergement-restauration,A_l,Commerce,3,-0.008891112265635822
Hébergement-restauration,A_l,Transports,3,1.3439807056592642e-05
Hébergement-restauration,A_l,"Électricité, gaz, eau",3,0.0019379801326010015
Hébergement-restauration,A_l,Services aux entreprises,3,-0.00868562090459693
Hébergement-restauration,A_l,Administration publique,3,0.013912458830297335
Hébergement-restauration,A_l,Éducation-santé,3,0.012982398874688404
Hébergement-restauration,A_l,Autres services,3,-0.01065617043495509
Hébergement-restauration,A_l,Industrie de transformation,4,-0.000914923750518971
Hébergement-restauration,A_l,Finances et assurances,4,-0.002626090745045586
Hébergement-restauration,A_l,Hébergement-restauration,4,0.0005152525248996485
Hébergement-restauration,A_l,Pêche,4,0.0006922641106658566
Hébergement-restauration,A_l,Industrie d'extraction,4,-0.00022850587227197906
Hébergement-restauration,A_l,Construction,4,-0.015395366921269292
Hébergement-restauration,A_l,Information-communication,4,-0.0016712879243946435
Hébergement-restauration,A_l,Immobilier,4,-0.008981937419760843
Hébergement-restauration,A_l,Agriculture,4,-0.0009489397365478853
Hébergement-restauration,A_l,Commerce,4,-0.0013084954002461604
Hébergement-restauration,A_l,Transports,4,-0.0032994818363127334
Hébergement-restauration,A_l,"Électricité, gaz, eau",4,-0.00016697931679929913
Hébergement-restauration,A_l,Services aux entreprises,4,-0.0044637800614327865
Hébergement-restauration,A_l,Administration publique,4,-0.0038597731814418415
Hébergement-restauration,A_l,Éducation-santé,4,0.0025518314740420925
Hébergement-restauration,A_l,Autres services,4,-0.011492310265250938
Hébergement-restauration,A_l,Industrie de transformation,5,-0.0020351309398638985
Hébergement-restauration,A_l,Finances et assurances,5,-0.007736769074337716
Hébergement-restauration,A_l,Hébergement-restauration,5,-0.00020806968824304403
Hébergement-restauration,A_l,Pêche,5,-0.0007383277014653925
Hébergement-restauration,A_l,Industrie d'extraction,5,-0.0009203994570554092
Hébergement-restauration,A_l,Construction,5,0.004466366408407581
Hébergement-restauration,A_l,Information-communication,5,0.0005330713499887358
Hébergement-restauration,A_l,Immobilier,5,0.003992487831148762
Hébergement-restauration,A_l,Agriculture,5,0.0015745934193435644
Hébergement-restauration,A_l,Commerce,5,0.0027846611991810713
Hébergement-restauration,A_l,Transports,5,-0.0014203984017355706
Hébergement-restauration,A_l,"Électricité, gaz, eau",5,-0.005092997374753962
Hébergement-restauration,A_l,Services aux entreprises,5,-0.0017959836149147525
Hébergement-restauration,A_l,Administration publique,5,0.003810684206975983
Hébergement-restauration,A_l,Éducation-santé,5,0.004409560582566167
Hébergement-restauration,A_l,Autres services,5,-0.012594230572499046
Pêche,constante,,0,0.0008396672389659741
Pêche,A_l,Industrie de transformation,1,-0.19807940059677698
Pêche,A_l,Finances et assurances,1,-0.17128604602292966
Pêche,A_l,Hébergement-restauration,1,-0.01695505033806789
Pêche,A_l,Pêche,1,-0.1360481546984674
Pêche,A_l,Industrie d'extraction,1,0.042965997110136996
Pêche,A_l,Construction,1,-0.24623852156513856
Pêche,A_l,Information-communication,1,0.02751482946573308
Pêche,A_l,Immobilier,1,0.08498826748004693
Pêche,A_l,Agriculture,1,-0.00016127928567129972
Pêche,A_l,Commerce,1,-0.25225082034796353
Pêche,A_l,Transports,1,-0.03560410681419782
Pêche,A_l,"Électricité, gaz, eau",1,-0.12135114059550905
Pêche,A_l,Services aux entreprises,1,-0.1784320119046206
Pêche,A_l,Administration publique,1,0.12884505573054397
Pêche,A_l,Éducation-santé,1,0.4076509400661173
Pêche,A_l,Autres services,1,0.12828263936025314
Pêche,A_l,Industrie de transformation,2,0.040820197890396356
Pêche,A_l,Finances et assurances,2,0.04662607742060645
Pêche,A_l,Hébergement-restauration,2,0.006496108455135948
Pêche,A_l,Pêche,2,0.011637575820851596
Pêche,A_l,Industrie d'extraction,2,-0.006461948069384845
Pêche,A_l,Construction,2,0.09979442142198693
Pêche,A_l,Information-communication,2,0.028779718793640514
Pêche,A_l,Immobilier,2,0.10678046546774218
Pêche,A_l,Agriculture,2,-0.009149259027348252
Pêche,A_l,Commerce,2,0.08741704244265036
Pêche,A_l,Transports,2,0.027960373995253748
