;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2014;2015
    24 Industrie Chimique;1338.602;1561.119;1717.566;1773.36;1912.806;2055.845;2315.929;2566.954;2595.264;2668.047;2743.796;2866.137;3339.499;3796.02;3955.503;4135.277;4526.069;4172.382;4898.548;5220.735;6248.867;6316.642;6492.541;6348.059;6949.442
        241 Industrie Chimique de base;584.912;711.509;780.397;772.776;826.511;933.452;1083.986;1302.506;1247.149;1428.197;1510.889;1337.227;1671.287;1682.459;1801.277;1757.9;2187.196;1969.048;2380.943;2395.345;3204.905;3204.475;3151.042;;
        242 Produits Agro-chimiques;69.124;70.013;68.557;57.959;77.165;68.521;61.286;62.444;54.6;48.611;31.607;32.039;47.631;58.536;44.176;53.062;60.351;21.806;24.358;24.451;11.738;22.751;22.505;;
        243 Peintures et vernis;120.967;138.527;153.114;169.412;167.34;173.99;189.335;204.84;209.986;222.318;255.002;205.145;223.044;262.403;303.959;326.51;334.677;339.933;359.484;431.069;493.912;472.218;440.311;;
        244 Industrie Pharmaceutique;322.292;367.6;396.545;419.675;450.132;464.866;522.86;503.911;593.462;582.046;610.243;872.463;954.734;1021.154;1130.254;1230.887;1203.628;1304.993;1492.311;1702.29;1831.664;1831.2;2023.274;;
        245 Fabrication de savons, de parfums et de produits d'entretien;155.165;177.234;214.157;248.703;264.899;269.017;303.972;334.245;385.377;275.122;216.478;245.894;282.672;586.167;512.684;587.246;557.565;386.985;469.233;482.04;508.34;554.263;576.775;;
        246 Fabrication d'autres produits chimiques;86.142;96.236;104.796;104.835;126.759;145.999;154.49;159.008;104.69;110.571;118.43;172.199;158.968;174.438;147.465;157.539;167.94;137.21;161.528;180.017;193.04;229.134;276.12;;
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;1.182;1.147;1.17;1.163;10.863;15.688;22.133;14.712;12.407;10.691;5.523;5.268;2.601;2.514;;
    25 Industrie du caoutchouc et des plastiques;314.005;359.389;429.493;426.054;454.344;501.015;538.892;624.201;689.726;699.242;746.24;661.89;697.406;631.666;650.619;682.455;711.608;713.771;793.035;862.425;826.027;962.779;1039.206;1094.638;1144.413
        251 Industrie Du caoutchouc;164.099;182.271;194.195;199.752;203.595;232.165;242.155;272.043;275.757;247.267;216.372;126.874;134.918;129.33;100.205;93.752;137.699;45.164;41.611;46.226;56.325;87.949;85.744;;
        252 Transformation des matières plastiques;149.906;177.118;235.298;226.302;250.749;268.85;296.737;352.158;413.969;451.975;529.868;535.016;562.488;502.336;550.414;588.703;573.909;668.607;751.424;816.199;769.702;874.83;953.462;;
    26 Fabrication D'autres produits minéraux non métalliques;878.076;1048.302;1173.597;1265.156;1385.737;1317.202;1808.978;1531.011;1548.021;1547.623;1606.063;1594.874;1580.465;1623.556;1640.522;1738.532;2183.949;2757.005;2893.504;3053.604;3235.863;3633.091;3897.337;4465.71;4993.639
        261 Fabrication De verre et d'articles en verre;55.248;61.824;62.549;71.682;68.144;69.399;68.296;77.506;69.807;75.813;81.686;93.864;104.712;113.016;115.725;115.915;113.899;107.937;117.189;120.873;133.798;136.257;147.74;;
        262 Fabrication De produits céramiques;93.378;114.3;142.345;148.623;173.88;193.762;211.058;210.825;68.375;78.249;71.722;77.882;75.294;91.942;91.557;87.505;91.484;104.822;114.483;122.46;168.415;172.775;169.966;;
        263 Fabrication De carreaux en céramiques;;;;;;;;0.178;150.193;156.45;167.57;189.922;223.137;228.293;233.199;299.887;371.406;307.679;324.884;317.916;294.939;276.055;267.895;;
        264 Fabrication De tuiles et briques en terre cuite;71.746;85.365;100.229;120.787;127.573;126.45;127.565;132.837;123.048;138.381;139.161;125.814;126.158;145.659;156.185;158.868;156.717;172.536;187.949;213.238;216.97;238.264;239.72;;
        265 Fabrication De ciment, chaux et plâtre;278.162;316.2;345.995;373.201;432.512;426.805;762.712;402.175;370.269;463.053;554.332;542.469;477.658;483.469;468.247;390.146;732.646;837.265;773.484;810.48;880.88;963.409;1039.498;;
        266 Ouvrages en Béton ou en plâtre;290.668;360.393;397.986;424.012;465.506;401.288;537.511;602.448;667.439;534.797;495.856;454.79;481.706;470.082;464.902;584.063;611.26;641.641;720.207;804.602;832.158;873.878;931.786;;
        267 Travail de la Pierre;52.234;64.704;81.162;82.83;70.168;68.759;55.895;59.823;59.776;61.148;66.16;73.827;66.69;63.751;70.935;71.375;72.273;77.181;75.255;78.985;82.589;90.783;86.599;;
        268 Fabrication De produits minéraux divers;36.64;45.516;43.331;44.021;47.954;30.739;45.941;45.219;39.114;39.732;29.576;36.306;25.11;27.344;39.772;30.773;34.264;507.944;580.053;585.05;626.114;881.67;1014.133;;
4 Industrie mécanique et métallurgique;1828.205;2028.358;2195.865;2412.488;2584.024;2646.412;2641.444;2685.598;2824.119;2975.635;2831.842;2939.712;3069.925;3233.271;3290.279;3454.652;3547.68;3616.611;4061.871;5014.23;4923.9;5217.128;5536.962;6605.012;6961.245
    27 Métallurgie;89.775;99.38;101.432;102.872;115.213;120.107;131.3;137.531;246.069;278.549;287.395;311.296;326.663;367.713;382.842;429.293;446.191;461.63;572.973;679.65;798.615;845.263;834.489;786.947;817.124
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;122.855;134.13;114.591;124.603;128.037;163.877;190.162;232.007;225.313;236.693;311.384;341.703;440.013;487.903;404.7;;
        272 Fabrication de tubes en fonte ou en acier;3.269;3.232;1.275;0.68;0.68;0.906;0.931;0.973;52.827;89.979;112.489;64.879;45.062;52.379;52.244;57.279;51.947;54.043;79.33;89.962;119.669;109.083;111.527;;
        273 Première transformation de l'acier;50.687;56.953;58.455;59.734;62.056;64.553;68.933;75.851;1.319;3.019;6.33;12.143;17.719;25.852;25.564;20.176;20.219;9.101;9.079;16.02;18.277;21.076;20.628;;
        274 Production de métaux non ferreux;5.282;14.492;17.747;18.251;18.867;19.112;25.192;22.353;68.735;50.783;38.912;82.737;112.028;98.403;99.425;102.52;115.227;111.811;127.001;143.669;150.083;163.635;144.012;;
        275 Fonderie;30.537;24.703;23.955;24.207;33.61;35.536;36.244;38.354;0.333;0.638;15.073;26.934;23.817;27.202;15.447;17.311;33.485;49.982;46.179;88.296;70.573;63.566;153.622;;
