;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
        286 Fabrication de coutellerie, d'outillage et de quincailler;363.0;663.0;659.0;539.0;195.0;178.0;188.0;174.0;173.0;170.0
        287 Fabrication d'autres ouvrages en métaux;515.0;1962.0;688.0;565.0;684.0;676.0;810.0;661.0;725.0;797.0
    29 Fabrication de machines et équipements;808.0;974.0;1434.0;1272.0;1038.0;1115.0;1108.0;997.0;893.0;729.0
        291 Fabrication d'équipements mécaniques;180.0;144.0;231.0;250.0;259.0;305.0;289.0;301.0;270.0;157.0
        292 Fabrication de machines d'usage général;440.0;628.0;1015.0;828.0;556.0;583.0;522.0;441.0;409.0;348.0
        293 Fabrication de machines agricoles;14.0;16.0;15.0;15.0;49.0;44.0;61.0;43.0;36.0;39.0
        294 Fabrication de machines-outils;8.0;18.0;17.0;21.0;22.0;28.0;27.0;30.0;20.0;13.0
        295 Fabrication d'autres machines d'usage spécifique;30.0;36.0;30.0;37.0;30.0;26.0;27.0;22.0;15.0;19.0
        297 Fabrication d'appareils domestiques;136.0;132.0;126.0;121.0;122.0;129.0;182.0;160.0;143.0;153.0
    30 Fabrication de machines de bureau et de matériel informatique;29.0;36.0;42.0;34.0;50.0;58.0;29.0;19.0;15.0;17.0
        300 Fabrication de machines de bureau et de matériel informatique;29.0;36.0;42.0;34.0;50.0;58.0;29.0;19.0;15.0;17.0
    34 Industrie automobile;802.0;942.0;793.0;872.0;732.0;738.0;820.0;871.0;1211.0;2905.0
        341 Construction de véhicules automobiles;186.0;247.0;118.0;141.0;182.0;217.0;274.0;279.0;209.0;620.0
        342 Fabrication de carrosserie et remorques;164.0;156.0;183.0;203.0;159.0;129.0;182.0;190.0;229.0;234.0
        343 Fabrication d'équipements automobiles;452.0;539.0;492.0;528.0;391.0;392.0;364.0;402.0;773.0;2051.0
    35 Fabrication d'autres matériels de transport;690.0;710.0;784.0;903.0;1499.0;1441.0;1635.0;2038.0;2183.0;2130.0
        351 Construction navale;88.0;74.0;65.0;74.0;73.0;84.0;62.0;58.0;60.0;45.0
        352 Construction de matériel ferroviaire roulant;11.0;;;16.0;27.0;30.0;26.0;18.0;32.0;26.0
        353 Construction aéronautique et spatiale;466.0;549.0;653.0;746.0;1331.0;1261.0;1488.0;1901.0;2030.0;2001.0
        354 Fabrication de motocycles et de bicyclettes;125.0;87.0;66.0;67.0;68.0;66.0;59.0;61.0;60.0;57.0
        355 Matériels de transport n.c.a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
    36 Fabrication de meubles, industries diverses;1650.0;1803.0;1930.0;2084.0;1780.0;1812.0;1860.0;1817.0;1977.0;2398.0
        361 Fabrication de meubles;905.0;956.0;994.0;1075.0;856.0;1089.0;1137.0;1162.0;1279.0;1605.0
        362 Bijouterie;272.0;300.0;459.0;483.0;475.0;401.0;416.0;322.0;319.0;366.0
        363 Fabrication d'instruments de musique;;;;;;;;;;
        364 Fabrication d'articles de sport;1.0;1.0;5.0;2.0;4.0;2.0;1.0;0.0;0.0;0.0
        365 Fabrication de jeux et de jouets;16.0;87.0;68.0;67.0;53.0;47.0;49.0;52.0;79.0;95.0
        366 Autres industries diverses;456.0;459.0;404.0;457.0;392.0;273.0;257.0;281.0;300.0;332.0
    37 Récupération;34.0;35.0;21.0;22.0;32.0;26.0;1.0;35.0;45.0;12.0
        372 Récupération de matières non métalliques recyclable;34.0;35.0;21.0;22.0;32.0;26.0;1.0;35.0;45.0;12.0
5 Industrie électrique et électronique;;;;;;;;;;
    31 Fabrication de machines et appareils électriques;12343.0;13279.0;16262.0;23510.0;24174.0;21808.0;33954.0;37225.0;29408.0;29773.0
        311 Fabrication de moteurs, génératrices et transforma;324.0;314.0;332.0;307.0;233.0;221.0;682.0;573.0;293.0;253.0
        312 Fabrication de fils et câbles isoles;1449.0;1872.0;1488.0;2571.0;2535.0;2061.0;1371.0;1331.0;1343.0;1607.0
        313 Fabrication de matériel de distribution et de commande;89.0;255.0;244.0;249.0;220.0;317.0;290.0;187.0;257.0;298.0
        314 Fabrication d'accumulateurs et de piles électriques;249.0;226.0;194.0;223.0;236.0;231.0;214.0;229.0;166.0;174.0
        315 Fabrication de lampes et d'appareils d'émission et de transmission;168.0;169.0;165.0;182.0;186.0;333.0;335.0;338.0;361.0;228.0
        316 Fabrication d'autres matériels électriques;10064.0;10443.0;13839.0;19978.0;20764.0;18645.0;31062.0;34567.0;26988.0;27213.0
    32 Fabrication d'équipements de radio, télévision et communication;4438.0;4019.0;3967.0;3829.0;3882.0;2668.0;2901.0;3390.0;3289.0;3370.0
        321 Fabrication de composants électroniques;4346.0;3929.0;3879.0;3738.0;3797.0;2582.0;2847.0;3342.0;3241.0;3262.0
        322 Fabrication d'appareils d'émission et de transmission;87.0;89.0;86.0;88.0;84.0;84.0;51.0;48.0;48.0;108.0
        323 Fabrication d'appareils de réception, enregistrements ou reproduction du son et de l'image;5.0;1.0;2.0;3.0;1.0;2.0;3.0;;;
    33 Fabrication d'instruments médicaux, de précision d'optique et horlogerie;241.0;243.0;407.0;304.0;336.0;1518.0;387.0;2523.0;2531.0;1793.0
        331 Fabrication de matériel médico-chirurgical et d'orthopédie;77.0;65.0;64.0;59.0;61.0;64.0;86.0;84.0;85.0;120.0
        332 Fabrication d'instruments de mesure et de contrôle;143.0;157.0;317.0;226.0;263.0;287.0;291.0;234.0;223.0;172.0
        333 Fabrication d'équipements de contrôle des processus industriels;;;;;;;;1.0;1.0;1.0
        334 Fabrication de matériel optique et photographique;21.0;21.0;26.0;19.0;12.0;1167.0;10.0;2204.0;2222.0;1500.0
        335 Horlogerie;;;;;;;;;;
Total General;231160.0;237494.0;242283.0;255840.0;243683.0;222674.0;258340.0;266074.0;240683.0;243073.0
