;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
        159 Industrie des boissons;4214.0;4623.0;4413.0;4177.0;4484.0;4678.0;4460.0;4536.0;4485.0;5299.0;4785.0;5026.0;4855.0;5371.0;5479.0;5595.0;5875.0;6870.0;6631.0;7788.0;6361.0;7522.0;8258.0;6698.0
    16 Industrie du tabac;2747.0;2747.0;2543.0;2644.0;2644.0;2644.0;2380.0;1834.0;2369.0;2391.0;2382.0;2435.0;2320.0;2314.0;1590.0;1590.0;1590.0;1481.0;1510.0;1385.0;1385.0;1385.0;1209.0;1211.0
        160 Industrie du tabac;2747.0;2747.0;2543.0;2644.0;2644.0;2644.0;2380.0;1834.0;2369.0;2391.0;2382.0;2435.0;2320.0;2314.0;1590.0;1590.0;1590.0;1481.0;1510.0;1385.0;1385.0;1385.0;1209.0;1211.0
2 Industries Textiles;150619.0;157567.0;169752.0;172578.0;176322.0;176660.0;182949.0;194314.0;208771.0;217601.0;218305.0;211320.0;224431.0;224672.0;221655.0;213939.0;216422.0;213575.0;198318.0;180063.0;203488.0;196217.0;186204.0;175798.0
    17 Industrie textile;62771.0;68476.0;71629.0;72460.0;72349.0;71198.0;69696.0;68854.0;45689.0;46730.0;41920.0;42491.0;42919.0;40712.0;40812.0;40919.0;41020.0;40087.0;37254.0;33478.0;35020.0;33900.0;33084.0;31438.0
        171 Filature;24623.0;26918.0;31517.0;32151.0;29759.0;35226.0;32107.0;33007.0;10808.0;13485.0;8964.0;10391.0;9480.0;9705.0;9797.0;8297.0;7157.0;6650.0;6462.0;5443.0;5571.0;5188.0;4395.0;5449.0
        172 Tissage;16917.0;16156.0;14570.0;16213.0;18600.0;13475.0;12897.0;12182.0;11185.0;9347.0;8244.0;9685.0;10497.0;8698.0;7696.0;7035.0;7266.0;7133.0;6043.0;6107.0;6118.0;6103.0;6067.0;5223.0
        173 Ennoblissement textile;1814.0;2770.0;4734.0;3896.0;3995.0;4577.0;6772.0;4771.0;4072.0;4287.0;3806.0;3642.0;4447.0;4465.0;5647.0;6635.0;7753.0;7226.0;7229.0;6617.0;7294.0;7475.0;7694.0;6945.0
        174 Fabrication d'articles textiles;3711.0;3641.0;3896.0;3800.0;3270.0;3591.0;3648.0;3554.0;3559.0;3344.0;3540.0;3137.0;3274.0;3292.0;3819.0;4747.0;5111.0;5223.0;5233.0;4637.0;4727.0;4504.0;4590.0;4436.0
        175 Fabrication de tapis et autres industries textiles;6001.0;5718.0;5198.0;6160.0;5495.0;4949.0;5233.0;5781.0;6011.0;5819.0;6324.0;5097.0;4844.0;4825.0;5075.0;5342.0;5357.0;5781.0;5251.0;3816.0;3651.0;3141.0;2989.0;2719.0
        176 Fabrication d'étoffes a maille;7344.0;10469.0;9023.0;8719.0;9897.0;8088.0;7594.0;8120.0;2629.0;3445.0;2348.0;2194.0;1417.0;1368.0;963.0;862.0;875.0;896.0;823.0;835.0;834.0;847.0;885.0;824.0
        177 Fabrication d'articles à maille;2361.0;2804.0;2691.0;1521.0;1333.0;1292.0;1445.0;1439.0;7425.0;7003.0;8694.0;8345.0;8960.0;8359.0;7815.0;8001.0;7501.0;7178.0;6213.0;6023.0;6825.0;6642.0;6464.0;5842.0
    18 Industrie de l'habillement et des fourrures;75124.0;76231.0;83902.0;87110.0;90737.0;92915.0;100523.0;112358.0;147483.0;155116.0;160922.0;153418.0;164861.0;166916.0;163597.0;155881.0;157413.0;155988.0;144308.0;129548.0;147350.0;141248.0;132839.0;124540.0
        181 Fabrication de vêtements en cuir;2046.0;1964.0;2119.0;2310.0;2359.0;2218.0;2206.0;1994.0;1276.0;1253.0;1325.0;1210.0;640.0;702.0;943.0;590.0;832.0;599.0;828.0;467.0;432.0;477.0;495.0;399.0
        182 Fabrication de vêtements en textile;73078.0;74267.0;81783.0;84800.0;88378.0;90697.0;98317.0;110364.0;146207.0;153863.0;159597.0;152205.0;164219.0;166214.0;162654.0;155291.0;156581.0;155389.0;143480.0;129081.0;146918.0;140771.0;132344.0;124141.0
        183 Industrie des fourrures;;;;;;;;;;;;3.0;2.0;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;12724.0;12860.0;14221.0;13008.0;13236.0;12547.0;12730.0;13102.0;15599.0;15755.0;15463.0;15411.0;16651.0;17044.0;17246.0;17139.0;17989.0;17500.0;16756.0;17037.0;21118.0;21069.0;20281.0;19820.0
        191 Apprêt et tannage des cuirs;3126.0;3039.0;3098.0;3652.0;3040.0;2204.0;2376.0;2198.0;2155.0;1873.0;1737.0;1320.0;1689.0;1716.0;1662.0;1692.0;1658.0;1464.0;1374.0;1426.0;1757.0;1671.0;1827.0;1913.0
        192 Articles de voyage et de maroquinerie;1472.0;1686.0;2807.0;1817.0;1443.0;1442.0;1452.0;1555.0;1620.0;1533.0;1684.0;1699.0;1759.0;1673.0;1478.0;1494.0;1619.0;1457.0;1216.0;1405.0;1646.0;1624.0;1661.0;1611.0
        193 Chaussures;8126.0;8135.0;8316.0;7539.0;8753.0;8901.0;8902.0;9349.0;11824.0;12349.0;12042.0;12392.0;13203.0;13655.0;14106.0;13953.0;14712.0;14579.0;14166.0;14206.0;17715.0;17774.0;16793.0;16296.0
3 Industrie chimique et parachimique;73691.0;77178.0;79461.0;85237.0;85120.0;84782.0;87892.0;90413.0;89313.0;92279.0;90118.0;87554.0;90654.0;92213.0;96397.0;100520.0;101954.0;94702.0;96150.0;103062.0;102395.0;109613.0;106185.0;102420.0
    20 Travail du bois et fabrication d'articles en bois;7302.0;6313.0;6372.0;8466.0;7859.0;7507.0;8417.0;8309.0;8466.0;8268.0;8840.0;8859.0;8860.0;8875.0;8912.0;9089.0;9174.0;9536.0;8789.0;8972.0;8478.0;8066.0;7674.0;8069.0
        201 Sciages, rabotage, imprégnation du bois;547.0;596.0;633.0;523.0;547.0;571.0;634.0;1026.0;1341.0;1307.0;1255.0;1637.0;1240.0;1187.0;1187.0;1434.0;1236.0;1192.0;1284.0;1228.0;1114.0;1185.0;1098.0;1101.0
        202 Fabrication de panneaux de bois;1399.0;630.0;555.0;1503.0;1620.0;1249.0;1486.0;1470.0;1552.0;1369.0;1585.0;1579.0;1467.0;1264.0;1080.0;1011.0;1076.0;1107.0;788.0;884.0;853.0;757.0;817.0;594.0
        203 Fabrication de charpentes et de menuiseries;2637.0;2589.0;3002.0;3737.0;3470.0;3669.0;4121.0;4095.0;3904.0;4117.0;4331.0;3992.0;4656.0;4881.0;5017.0;5075.0;5121.0;5060.0;4919.0;4825.0;4701.0;4441.0;4217.0;4898.0
        204 Fabrication d'emballages en bois;1388.0;1171.0;885.0;1161.0;761.0;713.0;1195.0;733.0;794.0;524.0;676.0;508.0;553.0;602.0;571.0;580.0;646.0;994.0;852.0;980.0;855.0;768.0;507.0;427.0
        205 Fabrication d'objets divers en bois, liège ou vannerie;1331.0;1327.0;1297.0;1542.0;1461.0;1305.0;981.0;985.0;875.0;951.0;993.0;1143.0;944.0;941.0;1057.0;989.0;1095.0;1183.0;946.0;1055.0;955.0;915.0;1035.0;1049.0
    21 Industrie du papier et du carton;5988.0;5773.0;5867.0;6729.0;6280.0;6846.0;6422.0;6616.0;6237.0;6854.0;6235.0;7162.0;6680.0;6173.0;6117.0;5293.0;4984.0;4614.0;4425.0;4647.0;4239.0;4737.0;6230.0;5110.0
        211 Pate a Papier, de papier et de carton;2071.0;1726.0;2083.0;2397.0;2428.0;2508.0;2048.0;2087.0;2260.0;2756.0;2370.0;2718.0;1850.0;1461.0;1266.0;1145.0;1073.0;2065.0;1069.0;1104.0;1052.0;1259.0;2062.0;1120.0
        212 Articles en papier ou en carton;3917.0;4047.0;3784.0;4332.0;3852.0;4338.0;4374.0;4529.0;3977.0;4098.0;3865.0;4444.0;4830.0;4712.0;4851.0;4148.0;3911.0;2549.0;3356.0;3543.0;3187.0;3478.0;4168.0;3990.0
    22 Edition, imprimerie, reproduction;5405.0;5667.0;6016.0;6712.0;6783.0;7005.0;7233.0;7387.0;7942.0;8079.0;8469.0;8489.0;8456.0;8821.0;8805.0;8955.0;9123.0;9228.0;8915.0;9131.0;9522.0;9098.0;8489.0;8371.0
        221 Edition;55.0;56.0;54.0;57.0;63.0;63.0;70.0;72.0;2077.0;1557.0;1503.0;2301.0;1734.0;1958.0;1880.0;1876.0;1855.0;1882.0;1846.0;1903.0;1851.0;1860.0;1467.0;1447.0
        222 Imprimerie;5350.0;5611.0;5962.0;6655.0;6720.0;6942.0;7163.0;7315.0;5865.0;6522.0;6966.0;6166.0;6722.0;6863.0;6925.0;7079.0;7268.0;7346.0;7069.0;7228.0;7671.0;7238.0;7022.0;6924.0
        223 Reproduction d'enregistrements;;;;;;;;;;;;22.0;;;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;1468.0;1468.0;1772.0;1772.0;1772.0;1791.0;1792.0;1836.0;2718.0;2896.0;2685.0;2859.0;2876.0;2758.0;2802.0;2893.0;2951.0;3018.0;2956.0;2599.0;2666.0;4654.0;4750.0;4670.0
        231 Cokéfaction;;;;;;;;;;4.0;6.0;;;63.0;63.0;63.0;108.0;120.0;141.0;145.0;114.0;45.0;60.0;65.0
        232 Raffinage de pétrole;1468.0;1468.0;1772.0;1772.0;1772.0;1791.0;1792.0;1836.0;2718.0;2892.0;2679.0;2859.0;2876.0;2695.0;2739.0;2830.0;2843.0;2898.0;2815.0;2454.0;2552.0;4609.0;4690.0;4605.0
    24 Industrie Chimique;21616.0;23815.0;22902.0;22726.0;23725.0;25140.0;25260.0;25620.0;23018.0;24889.0;22337.0;21517.0;24090.0;25961.0;29666.0;28843.0;28836.0;23047.0;24117.0;26755.0;28074.0;29934.0;29398.0;27558.0
        241 Industrie Chimique de base;10512.0;12350.0;11499.0;10866.0;11259.0;12682.0;12054.0;12493.0;11732.0;12910.0;10956.0;9436.0;11198.0;9562.0;10789.0;9000.0;8434.0;8452.0;9050.0;10562.0;10818.0;11069.0;10688.0;9410.0
        242 Produits Agro-chimiques;714.0;554.0;578.0;476.0;577.0;628.0;468.0;412.0;411.0;308.0;273.0;168.0;175.0;202.0;207.0;232.0;215.0;181.0;176.0;160.0;108.0;125.0;133.0;133.0
        243 Peintures et vernis;1727.0;1909.0;1828.0;1967.0;1938.0;1849.0;1936.0;2035.0;1992.0;2084.0;2286.0;1890.0;1965.0;2253.0;2624.0;2873.0;2684.0;3028.0;2983.0;3426.0;3946.0;3781.0;3543.0;3614.0
        244 Industrie Pharmaceutique;4020.0;4090.0;4189.0;4268.0;4361.0;4193.0;4501.0;4281.0;4685.0;4765.0;4316.0;5612.0;5837.0;6177.0;6525.0;6909.0;6787.0;7095.0;7456.0;7830.0;8143.0;8475.0;9000.0;8785.0
        245 Fabrication de savons, de parfums et de produits d'entretien;3129.0;3374.0;3149.0;3620.0;4070.0;3639.0;4640.0;4753.0;2856.0;3128.0;2831.0;2758.0;3056.0;5432.0;7786.0;7669.0;8120.0;2702.0;2839.0;3096.0;3315.0;4710.0;4010.0;3737.0
        246 Fabrication d'autres produits chimiques;1514.0;1538.0;1659.0;1529.0;1520.0;2149.0;1661.0;1646.0;1342.0;1600.0;1584.0;1560.0;1767.0;1917.0;1310.0;1205.0;1966.0;1287.0;1362.0;1544.0;1603.0;1747.0;1997.0;1879.0
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;94.0;91.0;93.0;92.0;418.0;425.0;955.0;630.0;302.0;251.0;137.0;141.0;27.0;27.0;
    25 Industrie du caoutchouc et des plastiques;8267.0;9071.0;9922.0;10543.0;10455.0;10640.0;10880.0;11520.0;12879.0;12413.0;13086.0;11800.0;11749.0;11621.0;12265.0;12542.0;11953.0;12834.0;13547.0;14981.0;14264.0;15797.0;15319.0;15386.0
        251 Industrie Du caoutchouc;2225.0;2368.0;2242.0;2389.0;1911.0;2478.0;2290.0;2562.0;2409.0;1743.0;1653.0;1059.0;1236.0;1239.0;1101.0;1215.0;1126.0;809.0;820.0;1660.0;1830.0;2268.0;1563.0;1426.0
        252 Transformation des matières plastiques;6042.0;6703.0;7680.0;8154.0;8544.0;8162.0;8590.0;8958.0;10470.0;10670.0;11433.0;10741.0;10513.0;10382.0;11164.0;11327.0;10827.0;12025.0;12727.0;13321.0;12434.0;13529.0;13756.0;13960.0
    26 Fabrication D'autres produits minéraux non métalliques;23645.0;25071.0;26610.0;28289.0;28246.0;25853.0;27888.0;29125.0;28053.0;28880.0;28466.0;26868.0;27943.0;28004.0;27830.0;32905.0;34933.0;32425.0;33401.0;35977.0;35152.0;37327.0;34325.0;33256.0
        261 Fabrication De verre et d'articles en verre;1143.0;1154.0;1156.0;1197.0;1064.0;1385.0;1440.0;1528.0;1210.0;995.0;1409.0;1567.0;1637.0;1782.0;1774.0;1593.0;1644.0;1463.0;1650.0;1703.0;2185.0;2203.0;2301.0;2398.0
        262 Fabrication De produits céramiques;3123.0;3666.0;3867.0;3821.0;4347.0;4510.0;4763.0;4609.0;1155.0;1348.0;1418.0;1269.0;1334.0;1788.0;1665.0;1311.0;1359.0;1434.0;1522.0;1564.0;2008.0;1884.0;1674.0;1606.0
        263 Fabrication De carreaux en céramiques;;;;;;;;8.0;3649.0;3747.0;4409.0;4304.0;4691.0;4351.0;3999.0;5592.0;6490.0;5035.0;5009.0;4606.0;4275.0;3765.0;3291.0;3348.0
        264 Fabrication De tuiles et briques en terre cuite;3229.0;3439.0;3962.0;4057.0;4450.0;4257.0;4296.0;4275.0;4079.0;4437.0;4279.0;3537.0;3783.0;3840.0;4098.0;4512.0;4374.0;4352.0;4557.0;4893.0;4859.0;5145.0;5181.0;4512.0
        265 Fabrication De ciment, chaux et plâtre;3844.0;3963.0;4025.0;4494.0;4484.0;4217.0;3998.0;3705.0;2929.0;3770.0;3813.0;3308.0;2587.0;2548.0;2601.0;2616.0;3253.0;3296.0;2896.0;2966.0;3165.0;3113.0;3103.0;2974.0
        266 Ouvrages en Béton ou en plâtre;9109.0;9223.0;9919.0;10927.0;9935.0;8664.0;10387.0;11983.0;11859.0;11478.0;10164.0;9621.0;11145.0;10618.0;10227.0;12043.0;11899.0;11490.0;12506.0;14756.0;13303.0;15389.0;12990.0;12758.0
        267 Travail de la Pierre;1854.0;2239.0;1967.0;2097.0;2154.0;1845.0;1662.0;1826.0;2020.0;2134.0;2276.0;2456.0;2248.0;2320.0;2688.0;2640.0;2739.0;2839.0;2581.0;2606.0;2584.0;2563.0;2645.0;2598.0
        268 Fabrication De produits minéraux divers;1343.0;1387.0;1714.0;1696.0;1812.0;975.0;1342.0;1191.0;1152.0;971.0;698.0;806.0;518.0;757.0;778.0;2598.0;3175.0;2516.0;2680.0;2883.0;2773.0;3265.0;3140.0;3062.0
4 Industrie mécanique et métallurgique;40584.0;42757.0;43567.0;46971.0;46732.0;46330.0;44641.0;45014.0;44156.0;44597.0;44922.0;44624.0;46337.0;48343.0;50890.0;50372.0;51870.0;52802.0;54360.0;59771.0;62896.0;68048.0;72360.0;77300.0
    27 Métallurgie;1585.0;1608.0;1607.0;1407.0;1438.0;1627.0;1696.0;1684.0;4032.0;4226.0;4547.0;4460.0;4534.0;4635.0;5100.0;4945.0;4942.0;5404.0;5960.0;7715.0;9155.0;9583.0;9203.0;8970.0
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;1970.0;2175.0;1778.0;1570.0;1734.0;1753.0;2178.0;2431.0;2501.0;2525.0;2683.0;3436.0;4255.0;4741.0;4039.0;4482.0
        272 Fabrication de tubes en fonte ou en acier;108.0;60.0;33.0;10.0;10.0;15.0;15.0;16.0;1113.0;1202.0;1672.0;838.0;601.0;654.0;612.0;640.0;488.0;631.0;978.0;1093.0;1715.0;1520.0;1477.0;1492.0
        273 Première transformation de l'acier;779.0;833.0;847.0;719.0;758.0;787.0;808.0;823.0;25.0;57.0;139.0;286.0;343.0;421.0;379.0;250.0;231.0;150.0;145.0;181.0;229.0;256.0;270.0;247.0
        274 Production de métaux non ferreux;158.0;242.0;275.0;256.0;254.0;241.0;324.0;261.0;910.0;757.0;616.0;1102.0;1300.0;1203.0;1483.0;1169.0;1100.0;1313.0;1413.0;1702.0;1964.0;2038.0;1981.0;1676.0
        275 Fonderie;540.0;473.0;452.0;422.0;416.0;584.0;549.0;584.0;14.0;35.0;342.0;664.0;556.0;604.0;448.0;455.0;622.0;785.0;741.0;1303.0;992.0;1028.0;1436.0;1073.0
    28 Travail des métaux;17215.0;18592.0;19087.0;21655.0;20396.0;20471.0;19461.0;19347.0;20204.0;20761.0;21670.0;20443.0;20487.0;21722.0;23465.0;22854.0;23196.0;23458.0;23782.0;24973.0;25733.0;29184.0;27662.0;29722.0
        281 Fabrication d'éléments en métal pour la construction;4405.0;6369.0;6758.0;6998.0;6026.0;5962.0;5116.0;5656.0;6158.0;6616.0;7713.0;9335.0;8914.0;8707.0;9878.0;9878.0;10312.0;10479.0;10346.0;11653.0;11988.0;15179.0;13708.0;15817.0
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;2895.0;2801.0;3574.0;1826.0;1686.0;1886.0;2052.0;1974.0;2055.0;1856.0;1430.0;1389.0;1165.0;1280.0;1321.0;1344.0
        283 Chaudronnerie;3275.0;2633.0;2581.0;3189.0;3561.0;3961.0;4518.0;4094.0;182.0;196.0;339.0;377.0;206.0;103.0;123.0;73.0;89.0;140.0;115.0;189.0;143.0;155.0;78.0;59.0
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;5.0;4.0;10.0;10.0;477.0;708.0;305.0;262.0;203.0;1126.0;1014.0;931.0;993.0;1028.0;1661.0;1317.0;1144.0;1041.0;1047.0;1246.0
"        285 Traitement des métaux ; mécanique générale";530.0;492.0;428.0;510.0;488.0;557.0;555.0;592.0;3752.0;3727.0;3236.0;3343.0;3568.0;4126.0;4313.0;4227.0;3957.0;3649.0;3516.0;3610.0;3537.0;3726.0;3838.0;3393.0
        286 Fabrication de coutellerie, d'outillage et de quincailler;3109.0;2992.0;2882.0;3460.0;2781.0;2703.0;2743.0;2567.0;953.0;1123.0;1222.0;1160.0;1214.0;1344.0;1183.0;1535.0;1462.0;1287.0;664.0;705.0;724.0;838.0;883.0;885.0
        287 Fabrication d'autres ouvrages en métaux;5896.0;6106.0;6438.0;7498.0;7535.0;7284.0;6519.0;6428.0;5787.0;5590.0;5281.0;4140.0;4696.0;4430.0;4902.0;4236.0;4328.0;5019.0;6050.0;6110.0;7032.0;6965.0;6787.0;6978.0
    29 Fabrication de machines et équipements;7496.0;8196.0;8249.0;8434.0;8429.0;7999.0;7739.0;7673.0;5686.0;5532.0;5008.0;4983.0;5966.0;5954.0;5335.0;5466.0;6011.0;6433.0;6229.0;6870.0;6481.0;6534.0;6271.0;6174.0
        291 Fabrication d'équipements mécaniques;3642.0;3997.0;4029.0;4383.0;3826.0;3882.0;3916.0;3900.0;1648.0;1548.0;1437.0;1922.0;1927.0;1864.0;1463.0;1494.0;1620.0;1946.0;1898.0;2158.0;1976.0;1959.0;2004.0;1607.0
        292 Fabrication de machines d'usage général;1624.0;1581.0;1596.0;1954.0;1893.0;1751.0;1446.0;1682.0;1320.0;1242.0;1383.0;1415.0;1570.0;1841.0;1990.0;2162.0;2418.0;2312.0;2081.0;2351.0;2200.0;2411.0;2326.0;2520.0
        293 Fabrication de machines agricoles;830.0;679.0;630.0;510.0;529.0;506.0;631.0;698.0;375.0;369.0;366.0;268.0;230.0;238.0;244.0;263.0;236.0;228.0;365.0;513.0;452.0;451.0;382.0;475.0
        294 Fabrication de machines-outils;177.0;141.0;189.0;356.0;299.0;237.0;141.0;106.0;22.0;9.0;7.0;111.0;110.0;108.0;200.0;242.0;243.0;275.0;253.0;255.0;250.0;369.0;309.0;209.0
        295 Fabrication d'autres machines d'usage spécifique;438.0;785.0;925.0;492.0;786.0;559.0;560.0;455.0;591.0;496.0;309.0;262.0;296.0;307.0;302.0;305.0;315.0;402.0;375.0;380.0;340.0;227.0;162.0;227.0
        297 Fabrication d'appareils domestiques;785.0;1013.0;880.0;739.0;1096.0;1064.0;1045.0;832.0;1730.0;1868.0;1506.0;1005.0;1833.0;1596.0;1136.0;1000.0;1179.0;1270.0;1257.0;1213.0;1263.0;1117.0;1088.0;1136.0
    30 Fabrication de machines de bureau et de matériel informatique;982.0;971.0;652.0;548.0;626.0;460.0;678.0;702.0;316.0;109.0;68.0;28.0;18.0;76.0;111.0;168.0;168.0;109.0;182.0;176.0;72.0;64.0;59.0;61.0
        300 Fabrication de machines de bureau et de matériel informatique;982.0;971.0;652.0;548.0;626.0;460.0;678.0;702.0;316.0;109.0;68.0;28.0;18.0;76.0;111.0;168.0;168.0;109.0;182.0;176.0;72.0;64.0;59.0;61.0
    34 Industrie automobile;7063.0;7778.0;8147.0;8554.0;9379.0;9935.0;9739.0;10634.0;7258.0;6903.0;7068.0;7046.0;7459.0;7300.0;6604.0;6462.0;6440.0;6731.0;6581.0;7733.0;7629.0;7951.0;14335.0;17301.0
        341 Construction de véhicules automobiles;2881.0;2919.0;3176.0;3158.0;3002.0;3643.0;3388.0;3926.0;3998.0;3416.0;3837.0;3498.0;3433.0;3225.0;2577.0;2346.0;2128.0;2247.0;2745.0;4017.0;3437.0;3522.0;7415.0;8682.0
        342 Fabrication de carrosserie et remorques;484.0;469.0;520.0;549.0;637.0;650.0;757.0;738.0;1771.0;1640.0;1444.0;1452.0;1615.0;1651.0;1755.0;1863.0;2311.0;2652.0;2337.0;2081.0;2344.0;2214.0;3128.0;3192.0
        343 Fabrication d'équipements automobiles;3698.0;4390.0;4451.0;4847.0;5740.0;5642.0;5594.0;5970.0;1489.0;1847.0;1787.0;2096.0;2411.0;2424.0;2272.0;2253.0;2001.0;1832.0;1499.0;1635.0;1848.0;2215.0;3792.0;5427.0
    35 Fabrication d'autres matériels de transport;2553.0;2448.0;2706.0;2711.0;2752.0;2542.0;2014.0;1871.0;1738.0;1597.0;1778.0;1832.0;2222.0;2376.0;3177.0;2926.0;3139.0;3891.0;5184.0;4958.0;5049.0;5999.0;6141.0;6530.0
        351 Construction navale;699.0;691.0;646.0;660.0;936.0;780.0;758.0;736.0;750.0;802.0;786.0;950.0;1159.0;1131.0;1179.0;953.0;1131.0;1055.0;1044.0;826.0;815.0;826.0;743.0;603.0
        352 Construction de matériel ferroviaire roulant;696.0;597.0;770.0;718.0;590.0;590.0;147.0;144.0;143.0;;153.0;10.0;195.0;195.0;146.0;;;534.0;603.0;488.0;296.0;339.0;420.0;372.0
        353 Construction aéronautique et spatiale;248.0;305.0;275.0;302.0;305.0;307.0;289.0;229.0;212.0;279.0;334.0;391.0;405.0;602.0;1113.0;1491.0;1539.0;1802.0;3049.0;3184.0;3577.0;4463.0;4562.0;5157.0
        354 Fabrication de motocycles et de bicyclettes;785.0;779.0;907.0;966.0;857.0;821.0;754.0;704.0;497.0;441.0;449.0;428.0;411.0;388.0;680.0;429.0;405.0;411.0;424.0;401.0;303.0;314.0;374.0;358.0
        355 Matériels de transport n.c.a;125.0;76.0;108.0;65.0;64.0;44.0;66.0;58.0;136.0;75.0;56.0;53.0;52.0;60.0;59.0;53.0;64.0;89.0;64.0;59.0;58.0;57.0;42.0;40.0
    36 Fabrication de meubles, industries diverses;3690.0;3164.0;3119.0;3643.0;3693.0;3277.0;3295.0;3084.0;4903.0;5450.0;4764.0;5793.0;5609.0;6226.0;7028.0;7484.0;7924.0;6726.0;6398.0;7302.0;8753.0;8683.0;8619.0;8498.0
        361 Fabrication de meubles;3144.0;2681.0;2555.0;3106.0;3105.0;2731.0;2925.0;2658.0;3271.0;3844.0;3279.0;4252.0;4157.0;4214.0;4949.0;5253.0;5625.0;4566.0;4311.0;5295.0;6798.0;6725.0;6622.0;6446.0
        362 Bijouterie;;;;5.0;29.0;29.0;29.0;29.0;345.0;308.0;346.0;361.0;370.0;593.0;763.0;831.0;923.0;982.0;1001.0;1172.0;1150.0;1119.0;1104.0;1036.0
        363 Fabrication d'instruments de musique;;;;;;;;23.0;;;;;;;;;;;;;;;;
        364 Fabrication d'articles de sport;58.0;;87.0;13.0;25.0;30.0;;;18.0;22.0;17.0;8.0;5.0;3.0;6.0;13.0;13.0;14.0;21.0;15.0;19.0;9.0;7.0;7.0
        365 Fabrication de jeux et de jouets;111.0;111.0;111.0;111.0;120.0;120.0;;;126.0;94.0;15.0;;28.0;29.0;39.0;124.0;140.0;140.0;123.0;147.0;92.0;104.0;129.0;150.0
        366 Autres industries diverses;377.0;372.0;366.0;408.0;414.0;367.0;341.0;374.0;1143.0;1182.0;1107.0;1172.0;1049.0;1387.0;1271.0;1263.0;1223.0;1024.0;942.0;673.0;694.0;726.0;757.0;859.0
    37 Récupération;;;;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;39.0;42.0;54.0;70.0;67.0;50.0;50.0;44.0;44.0;24.0;50.0;70.0;44.0
