;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
    25 Industrie du caoutchouc et des plastiques;2706.788;3036.692;3000.84;3033.746;3239.441;3516.881;3999.55;4519.29;4409.452;4505.584;4769.435;4557.499;4982.529;4577.915;4658.055;5184.731;5804.421;7073.924;7997.013;8045.866;7211.89;8962.579;9916.085;9999.997;10325.311;10409.864;9817.55
        251 Industrie Du caoutchouc;1239.813;1360.931;1252.918;1187.366;1226.393;1353.712;1422.758;1583.866;1187.333;1094.815;899.482;634.03;784.841;660.666;229.523;273.54;549.791;245.535;237.821;267.27;210.634;315.32;392.606;406.773;;;
        252 Transformation des matières plastiques;1466.975;1675.761;1747.922;1846.38;2013.048;2163.169;2561.41;2917.085;3201.15;3389.888;3848.631;3900.26;4176.749;3894.149;4406.005;4889.493;5229.122;6798.473;7722.062;7704.548;6930.569;8647.259;9523.479;9593.224;;;
    26 Fabrication D'autres produits minéraux non métalliques;8482.558;9592.769;10297.995;9959.274;10227.694;10281.136;12294.632;12711.324;10856.349;12058.203;12897.625;13385.281;13136.772;15018.358;14798.626;16785.553;24461.933;27707.558;31567.478;32233.17;33191.414;35852.319;35008.206;37092.568;38095.099;38774.111;33944.048
        261 Fabrication De verre et d'articles en verre;466.359;511.62;538.256;452.461;442.772;471.492;476.428;589.276;414.711;465.61;494.529;542.975;579.972;576.216;599.187;626.61;718.659;724.847;797.198;844.791;935.326;961.188;1062.913;1039.035;;;
        262 Fabrication De produits céramiques;773.173;789.894;888.989;902.783;982.749;1196.397;1344.742;1391.039;450.686;521.914;547.253;596.448;612.197;809.773;805.292;617.966;725.213;742.441;920.458;935.685;1431.459;1504.178;1510.282;1569.763;;;
        263 Fabrication De carreaux en céramiques;;;;;;;;0.873;977.643;1078.84;1213.051;1616.338;1415.435;1236.28;1343.124;2034.292;2776.349;2526.241;2679.135;2470.529;2641.542;2598.667;2596.844;2549.561;;;
        264 Fabrication De tuiles et briques en terre cuite;482.586;483.103;574.281;606.469;586.162;595.332;565.991;657.742;517.462;557.823;575.101;531.863;618.25;714.935;732.314;807.664;932.387;1183.803;1482.696;1704.099;1572.143;1702.61;1753.303;1486.714;;;
        265 Fabrication De ciment, chaux et plâtre;3838.926;4113.248;4437.159;4377.831;4630.31;5012.743;5372.818;5411.767;3791.346;5302.621;5960.544;5900.431;5095.056;6296.258;5885.137;6114.909;10831.238;12383.131;13058.024;14074.339;14481.115;15776.284;15305.992;17054.105;;;
        266 Ouvrages en Béton ou en plâtre;2157.463;2782.91;2820.305;2749.111;2865.374;2529.16;3985.758;4051.563;4039.633;3538.28;3577.402;3550.455;4141.085;4563.349;4532.936;5768.925;7135.882;7456.475;9658.036;9667.706;9632.656;10471.84;10616.351;10577.457;;;
        267 Travail de la Pierre;522.319;616.116;562.99;506.164;329.123;285.287;316.646;317.853;327.825;330.215;326.167;428.825;447.676;446.641;490.808;531.277;1018.301;742.996;668.79;653.064;657.757;722.909;650.273;617.624;;;
        268 Fabrication De produits minéraux divers;241.732;295.878;476.015;364.455;391.204;190.725;231.64;290.546;336.288;262.245;202.873;217.197;214.838;362.765;395.835;269.035;306.235;1916.863;2359.833;1899.335;1788.171;2114.643;2167.222;2198.309;;;
4 Industrie mécanique et métallurgique;19201.796;22250.848;22768.522;23328.52;25000.755;25722.174;25852.769;27101.518;26438.129;26479.631;25968.95;27689.455;29175.943;31056.649;28986.395;35354.476;39943.221;47121.443;54655.936;51612.544;53636.087;62668.321;62898.635;72438.831;77502.172;83444.435;91398.074
    27 Métallurgie;2807.418;2645.042;2726.879;2720.353;2761.27;2842.791;2929.437;3253.878;5409.952;5205.898;6086.244;5886.542;6612.737;8071.092;8620.861;11197.07;13458.305;15643.269;18856.187;16630.968;18528.417;23068.533;20856.428;17856.235;16602.412;15822.725;17781.662
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;4138.126;3605.56;3817.922;4068.208;4654.379;6027.556;6266.794;8514.128;10242.328;11629.01;14523.885;12728.094;13244.139;17195.089;14950.16;13310.133;;;
        272 Fabrication de tubes en fonte ou en acier;13.733;19.917;5.534;2.523;2.523;4.734;4.93;5.191;516.508;1050.637;1446.585;767.972;423.389;651.16;677.009;869.285;877.419;1035.085;1381.631;1158.842;1615.648;1421.884;1448.245;1471.504;;;
        273 Première transformation de l'acier;2140.099;1928.496;1984.713;1980.689;2085.832;2221.713;2149.933;2409.537;26.571;37.8;90.334;210.773;338.177;299.309;459.088;286.411;317.395;294.511;338.793;419.133;376.61;415.584;308.112;257.605;;;
        274 Production de métaux non ferreux;124.194;175.088;218.812;217.926;218.223;218.661;245.174;210.862;727.563;509.461;701.431;750.92;1127.175;1009.429;1135.396;1438.998;1807.622;2373.875;2274.368;1851.637;2720.801;3623.812;2718.133;1870.23;;;
        275 Fonderie;529.392;521.541;517.82;519.215;454.692;397.683;529.4;628.288;1.184;2.44;29.441;88.057;68.979;82.959;81.744;87.352;212.394;306.711;332.748;467.527;562.599;412.164;1431.778;946.763;;;
    28 Travail des métaux;6976.29;8223.419;8568.103;9418.185;9868.784;10140.86;9310.909;9710.233;7282.895;7469.581;6545.942;6859.929;6933.039;7652.107;8318.895;10091.23;11864.911;13141.862;14625.877;14165.927;14664.777;16549.726;17002.036;16989.671;16287.325;16949.45;17976.938
        281 Fabrication d'éléments en métal pour la construction;1151.382;1831.053;1840.516;2241.681;2141.207;2268.399;1563.286;1847.275;1876.296;2346.587;2305.134;2629.172;2477.03;2932.402;3149.732;3751.125;4791.844;5416.012;5793.207;6388.047;6108.879;7602.697;8228.997;8178.949;;;
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;807.708;1035.466;904.297;551.866;485.459;576.195;608.943;746.703;650.409;741.252;631.382;656.925;752.532;636.209;758.356;827.365;;;
        283 Chaudronnerie;1347.917;1291.406;1439.481;1508.103;2019.754;2222.987;2518.51;2255.348;89.345;72.711;65.879;117.78;87.294;10.07;12.109;108.254;18.973;16.176;15.147;48.684;48.386;70.199;15.142;14.567;;;
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;0.226;0.235;0.923;0.936;405.413;597.609;164.366;127.622;134.713;485.366;450.249;434.422;539.5;688.858;716.488;720.146;744.981;795.937;370.768;464.914;;;
"        285 Traitement des métaux ; mécanique générale";145.795;162.078;122.333;129.347;144.414;118.177;105.52;124.573;1151.746;564.051;484.078;984.828;1362.718;1481.134;1350.058;2484.786;2973.093;789.116;814.743;864.524;862.629;880.341;845.863;780.446;;;
        286 Fabrication de coutellerie, d'outillage et de quincailler;898.151;787.335;811.025;972.199;760.557;561.325;566.138;729.333;276.492;276.985;319.508;303.474;297.904;264.915;268.699;448.806;456.702;512.138;280.699;239.125;235.471;296.349;301.022;309.842;;;
        287 Fabrication d'autres ouvrages en métaux;3433.045;4151.547;4354.748;4566.855;4802.626;4969.737;4556.045;4752.318;2675.405;2575.693;2264.938;2107.291;2046.871;1855.831;2427.77;2050.999;2345.357;4878.869;6195.921;5044.081;5722.983;6267.994;6481.888;6413.588;;;
    29 Fabrication de machines et équipements;2399.719;2508.507;2516.261;2456.576;2887.021;2760.36;2584.302;2522.277;2174.454;2067.176;1948.615;1972.394;2512.013;2449.654;2185.226;3106.337;2800.012;3787.004;4177.191;4164.7;3555.229;3858.662;3641.298;3672.052;3419.907;2981.715;2755.26
        291 Fabrication d'équipements mécaniques;731.837;822.374;859.848;965.179;891.263;910.487;744.279;773.694;427.93;455.801;435.335;594.633;625.717;572.561;417.866;546.384;552.559;864.392;991.367;883.221;761.425;750.686;684.666;600.432;;;
        292 Fabrication de machines d'usage général;916.403;802.553;827.911;810.268;980.053;928.598;822.23;811.631;487.098;477.976;512.707;495.198;542.169;640.374;711.048;757.052;894.746;956.911;1085.884;1166.045;1136.587;913.258;997.573;1061.829;;;
        293 Fabrication de machines agricoles;403.581;426.434;347.436;286.849;378.623;327.479;418.277;441.423;420.261;202.57;192.035;182.866;211.057;196.822;128.569;838.846;327.988;506.387;681.979;824.913;492.817;1012.708;840.809;987.257;;;
        294 Fabrication de machines-outils;39.35;37.163;39.648;46.432;56.459;42.778;26.294;22.98;20.707;11.476;0.509;14.209;24.615;21.167;45.635;45.381;42.749;47.295;51.142;50.225;43.402;82.418;60.385;72.106;;;
        295 Fabrication d'autres machines d'usage spécifique;146.098;215.693;260.873;187.184;199.175;181.582;172.765;136.062;165.297;174.622;64.593;56.743;66.585;63.674;73.096;52.914;66.623;79.043;78.74;77.303;56.519;47.82;26.373;36.004;;;
        297 Fabrication d'appareils domestiques;162.45;204.29;180.545;160.664;381.448;369.436;400.457;336.487;653.161;744.731;743.436;628.745;1041.045;953.958;807.95;864.834;914.241;1331.852;1286.663;1161.328;1062.834;1051.772;1031.492;914.424;;;
    30 Fabrication de machines de bureau et de matériel informatique;175.756;212.151;200.589;177.29;186.567;157.816;315.05;293.897;127.949;75.086;47.667;24.664;17.358;80.976;121.528;152.04;130.509;164.757;274.133;274.787;205.957;211.498;219.126;226.678;192.621;129.122;131.876
        300 Fabrication de machines de bureau et de matériel informatique;175.756;212.151;200.589;177.29;186.567;157.816;315.05;293.897;127.949;75.086;47.667;24.664;17.358;80.976;121.528;152.04;130.509;164.757;274.133;274.787;205.957;211.498;219.126;226.678;;;
    34 Industrie automobile;5503.305;7489.472;7276.806;6827.86;7521.776;8364.94;9320.057;9861.674;8903.702;8620.589;8582.576;9497.679;9819.566;9330.212;6125.407;6304.92;6085.992;8612.122;10079.609;9111.465;8913.771;10650.324;11728.812;23797.148;30464.075;37267.314;42571.326
        341 Construction de véhicules automobiles;3522.504;5094.405;4508.99;4184.283;4900.941;5480.959;6158.106;6440.088;6340.967;6205.247;6304.257;7002.496;7148.624;6804.207;3509.659;3961.687;2537.108;4422.513;5841.077;6773.535;6047.936;7785.104;8768.213;19621.677;;;
        342 Fabrication de carrosserie et remorques;914.157;1066.876;1460.188;1403.415;1135.587;1207.151;1503.893;1582.988;2083.759;1905.043;1763.831;1871.641;1861.234;1760.817;1827.961;1659.866;2878.346;3594.317;3785.515;1830.276;2343.279;2232.32;2131.964;2135.611;;;
        343 Fabrication d'équipements automobiles;1066.644;1328.191;1307.628;1240.162;1485.248;1676.83;1658.058;1838.598;478.976;510.299;514.488;623.542;809.708;765.188;787.787;683.367;670.538;595.292;453.017;534.606;551.898;632.9;828.635;2039.86;;;
    35 Fabrication d'autres matériels de transport;579.379;572.524;767.632;862.287;840.329;686.247;602.259;666.489;705.253;839.171;1118.273;1107.017;1107.314;1171.285;1237.5;1480.882;2181.296;2771.43;3779.799;3319.121;3636.819;4102.62;4942.145;5100.229;5451.502;6044.684;6660.962
        351 Construction navale;119.397;91.065;90.516;124.016;213.386;176.12;173.14;204.975;177.408;197.629;214.608;277.362;272.689;330.317;292.818;255.225;284.253;336.677;281.981;258.428;216.109;206.649;191.565;159.876;;;
        352 Construction de matériel ferroviaire roulant;90.693;83.369;160.679;158.086;123.972;96.698;9.124;35.318;38.922;;93.296;36.959;48.838;38.041;35.762;;;268.375;496.778;184.105;170.839;155.002;454.073;226.768;;;
        353 Construction aéronautique et spatiale;48.954;67.429;65.804;78.405;76.602;88.008;76.523;69.299;72.009;333.813;519.317;475.77;485.38;490.922;606.463;936.745;1431.199;1699.426;2432.755;2338.911;2803.006;3272.373;3820.617;4183.133;;;
        354 Fabrication de motocycles et de bicyclettes;306.104;318.431;413.25;474.236;413.961;293.125;330.719;344.781;401.271;294.621;274.127;308.241;291.959;304.874;295.369;281.336;456.985;457.077;556.388;526.566;434.775;458.395;465.955;522.685;;;
        355 Matériels de transport n.c.a;14.231;12.23;37.383;27.544;12.408;32.296;12.753;12.116;15.643;13.108;16.925;8.685;8.448;7.131;7.088;7.576;8.859;9.875;11.897;11.111;12.09;10.201;9.935;7.767;;;
    36 Fabrication de meubles, industries diverses;759.929;599.733;712.252;847.906;916.945;751.097;772.692;775.007;1815.861;2184.067;1621.57;2320.446;2144.654;2279.077;2349.706;2989.978;3388.078;2966.64;2830.234;3912.599;4095.948;4188.447;4467.036;4752.542;5042.711;4208.691;3475.73
        361 Fabrication de meubles;711.54;547.828;648.702;776.476;836.916;685.861;715.495;709.68;1171.58;1537.287;1056.667;1726.348;1541.737;1459.123;1615.079;2176.509;2578.538;2013.747;1822.335;2911.717;3138.36;3178.773;3470.332;3691.753;;;
        362 Bijouterie;;;;4.945;5.593;5.593;5.593;5.872;168.241;160.55;159.043;167.753;274.657;325.919;354.987;389.034;347.931;474.687;510.071;478.051;494.294;564.027;526.29;518.951;;;
        363 Fabrication d'instruments de musique;;;;;;;;1.777;;;;;;;;;;;;;;;;;;;
        364 Fabrication d'articles de sport;1.599;;4.657;3.182;4.987;2.73;;;4.507;4.526;1.689;1.858;0.676;1.225;1.105;2.111;2.531;3.225;4.009;4.775;6.199;4.157;4.57;3.799;;;
        365 Fabrication de jeux et de jouets;2.751;2.781;2.789;2.789;3.944;3.313;;;24.565;22.153;1.36;;3.368;2.988;9.827;33.132;43.137;48.819;47.559;48.331;59.378;63.719;67.324;70.812;;;
        366 Autres industries diverses;43.875;48.951;55.979;60.38;65.358;53.43;51.463;57.539;446.822;459.214;402.387;424.032;323.296;488.983;367.805;388.062;414.606;424.61;444.993;468.386;393.029;377.771;398.52;467.227;;;
