;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2019
        193 Chaussures;8851.0;8752.0;8705.0;7896.0;9267.0;9473.0;9612.0;10020.0;12071.0;12591.0;12263.0;13149.0;13371.0;13854.0;14429.0;14218.0;15173.0;14950.0;14246.0;14499.0;17818.0;17937.0;16995.0;16459.0;;;;
3 Industrie chimique et parachimique;91290.0;95997.0;97815.0;99627.0;97651.0;103589.0;112077.0;113929.0;113985.0;106651.0;103997.0;100883.0;98904.0;101998.0;103448.0;109983.0;119296.0;100083.0;101304.0;106821.0;108870.0;114559.0;110680.0;105477.0;124239.0;117458.0;125636.0;64961.0
    20 Travail du bois et fabrication d'articles en bois;9477.0;8701.0;8715.0;10388.0;9639.0;11179.0;10078.0;10794.0;10090.0;10144.0;10005.0;10786.0;10550.0;10855.0;10483.0;10272.0;10216.0;10166.0;9507.0;9602.0;9436.0;8500.0;8324.0;8703.0;10002.0;9485.0;10480.0;
        201 Sciages, rabotage, imprégnation du bois;599.0;724.0;669.0;576.0;589.0;658.0;734.0;1250.0;1456.0;1442.0;1277.0;2132.0;1419.0;1317.0;1414.0;1627.0;1437.0;1264.0;1377.0;1297.0;1248.0;1202.0;1098.0;1101.0;;;;
        202 Fabrication de panneaux de bois;1597.0;1059.0;826.0;1830.0;1927.0;1553.0;1777.0;1760.0;1943.0;1627.0;1586.0;1585.0;1467.0;1264.0;1080.0;1016.0;1076.0;1107.0;788.0;884.0;853.0;758.0;818.0;595.0;;;;
        203 Fabrication de charpentes et de menuiseries;2883.0;2903.0;3374.0;4046.0;3872.0;5809.0;4668.0;4812.0;4379.0;4664.0;4679.0;4440.0;5101.0;5309.0;5561.0;5434.0;5443.0;5289.0;5123.0;4946.0;4847.0;4550.0;4326.0;4971.0;;;;
        204 Fabrication d'emballages en bois;2989.0;2469.0;2247.0;2291.0;1761.0;1687.0;1704.0;1789.0;1196.0;1188.0;915.0;754.0;1503.0;1883.0;1315.0;1126.0;1092.0;1136.0;980.0;1159.0;1206.0;1063.0;1035.0;978.0;;;;
        205 Fabrication d'objets divers en bois, liège ou vannerie;1409.0;1546.0;1599.0;1630.0;1472.0;1455.0;1172.0;1162.0;1094.0;1202.0;1527.0;1854.0;1016.0;1038.0;1068.0;1025.0;1120.0;1197.0;1017.0;1092.0;989.0;927.0;1047.0;1058.0;;;;
    21 Industrie du papier et du carton;8536.0;7249.0;7755.0;8450.0;8200.0;9655.0;9204.0;9400.0;8496.0;7747.0;6634.0;7676.0;7693.0;6783.0;6345.0;5478.0;5094.0;4737.0;4520.0;4840.0;4475.0;5155.0;6601.0;5219.0;6667.0;6986.0;7277.0;
        211 Pate a Papier, de papier et de carton;3225.0;2418.0;3101.0;3350.0;3845.0;3423.0;2791.0;2893.0;2782.0;2936.0;2452.0;2804.0;1862.0;1570.0;1266.0;1145.0;1105.0;2120.0;1084.0;1122.0;1180.0;1275.0;2128.0;1120.0;;;;
        212 Articles en papier ou en carton;5311.0;4831.0;4654.0;5100.0;4355.0;6232.0;6413.0;6507.0;5714.0;4811.0;4182.0;4872.0;5831.0;5213.0;5079.0;4333.0;3989.0;2617.0;3436.0;3718.0;3295.0;3880.0;4473.0;4099.0;;;;
    22 Edition, imprimerie, reproduction;6267.0;6023.0;6358.0;7064.0;7058.0;7740.0;8030.0;8155.0;8519.0;8388.0;8682.0;8757.0;8734.0;9359.0;9072.0;9196.0;9486.0;9531.0;9328.0;9385.0;9768.0;9383.0;8684.0;8538.0;9370.0;8890.0;9092.0;
        221 Edition;55.0;56.0;54.0;57.0;63.0;63.0;70.0;72.0;2270.0;1579.0;1522.0;2327.0;1737.0;2141.0;1889.0;1900.0;1857.0;1882.0;1927.0;1913.0;1908.0;1921.0;1528.0;1506.0;;;;
        222 Imprimerie;6164.0;5919.0;6259.0;6959.0;6942.0;7624.0;7902.0;8017.0;6182.0;6739.0;7084.0;6330.0;6919.0;7138.0;7098.0;7213.0;7531.0;7549.0;7294.0;7365.0;7733.0;7462.0;7156.0;7032.0;;;;
        223 Reproduction d'enregistrements;;;;;;;;;;;;22.0;;;;;;;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;1523.0;1523.0;1998.0;1998.0;1998.0;2018.0;2021.0;2066.0;3318.0;3636.0;3309.0;3514.0;3429.0;3297.0;3140.0;3321.0;3226.0;3258.0;3308.0;2929.0;3579.0;4705.0;4820.0;4670.0;4283.0;1802.0;2242.0;
        231 Cokéfaction;;;;;;;;;;4.0;6.0;;;64.0;63.0;63.0;108.0;120.0;141.0;145.0;114.0;45.0;60.0;65.0;;;;
        232 Raffinage de pétrole;1523.0;1523.0;1998.0;1998.0;1998.0;2018.0;2021.0;2066.0;3318.0;3632.0;3303.0;3514.0;3429.0;3233.0;3077.0;3258.0;3118.0;3138.0;3138.0;2755.0;2777.0;4660.0;4760.0;4605.0;;;;
    24 Industrie Chimique;25484.0;26749.0;26398.0;25595.0;27372.0;31149.0;35249.0;34551.0;31784.0;26325.0;24090.0;23383.0;25413.0;26708.0;30207.0;29604.0;30076.0;24194.0;24477.0;27769.0;28381.0;30275.0;31077.0;28031.0;32452.0;31865.0;34708.0;
        241 Industrie Chimique de base;12831.0;14011.0;12991.0;12231.0;13588.0;14996.0;13772.0;14008.0;12105.0;13807.0;12411.0;10043.0;11657.0;10007.0;11106.0;9257.0;8685.0;8524.0;9127.0;11069.0;10871.0;11372.0;12215.0;9454.0;;;;
        242 Produits Agro-chimiques;740.0;567.0;651.0;493.0;615.0;669.0;506.0;457.0;457.0;336.0;314.0;178.0;248.0;212.0;207.0;232.0;215.0;181.0;176.0;170.0;108.0;125.0;145.0;133.0;;;;
        243 Peintures et vernis;1962.0;2134.0;2209.0;2394.0;1977.0;1902.0;1982.0;2075.0;2012.0;2090.0;2286.0;1894.0;2000.0;2341.0;2633.0;2889.0;2818.0;3059.0;3025.0;3437.0;3967.0;3791.0;3544.0;3615.0;;;;
        244 Industrie Pharmaceutique;4290.0;4344.0;4727.0;4845.0;4819.0;6491.0;6789.0;6525.0;7298.0;5081.0;4359.0;5968.0;5896.0;6262.0;6651.0;7047.0;6835.0;7096.0;7625.0;8120.0;8224.0;8492.0;9000.0;9128.0;;;;
        245 Fabrication de savons, de parfums et de produits d'entretien;3760.0;3787.0;3778.0;3956.0;4436.0;4200.0;9391.0;9092.0;7674.0;3242.0;2856.0;2794.0;3076.0;5444.0;7793.0;7919.0;8481.0;3660.0;2839.0;3211.0;3320.0;4714.0;4144.0;3816.0;;;;
        246 Fabrication d'autres produits chimiques;1901.0;1906.0;2042.0;1676.0;1937.0;2891.0;2809.0;2394.0;2238.0;1675.0;1751.0;2393.0;2424.0;1986.0;1352.0;1260.0;2368.0;1298.0;1375.0;1566.0;1611.0;1754.0;2002.0;1885.0;;;;
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;94.0;91.0;93.0;92.0;418.0;425.0;955.0;630.0;302.0;251.0;137.0;157.0;27.0;27.0;;;;;
    25 Industrie du caoutchouc et des plastiques;9153.0;9821.0;10601.0;11093.0;11108.0;12008.0;12227.0;12605.0;13973.0;13507.0;13740.0;12584.0;12639.0;12139.0;12695.0;14645.0;12394.0;13652.0;13736.0;15241.0;14575.0;16094.0;15453.0;16081.0;18983.0;17985.0;18925.0;
