;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
        201 Sciages, rabotage, imprégnation du bois;407.848;254.916;314.617;329.933;329.378;192.466;200.399;339.735;369.466;396.661;681.398;810.532;801.371;899.031;839.881;920.291;539.591;583.592;625.374;515.152;454.827;426.374;322.851;328.147;;;;;;;
        202 Fabrication de panneaux de bois;567.814;434.01;454.818;687.788;832.327;670.366;721.03;742.184;693.553;670.878;666.489;765.652;755.158;709.847;799.777;738.84;793.336;907.558;845.909;502.04;654.172;857.351;707.304;323.616;;;;;;;
        203 Fabrication de charpentes et de menuiseries;593.895;440.681;429.228;476.969;501.732;509.083;580.847;597.411;636.037;647.379;638.814;652.76;890.602;850.711;867.467;975.85;1141.109;1231.874;1245.83;1194.525;1230.216;1245.002;1134.602;1245.449;;;;;;;
        204 Fabrication d'emballages en bois;443.223;514.088;536.763;397.971;445.332;327.828;449.344;421.216;481.644;395.528;464.089;402.736;439.968;457.988;459.199;483.592;628.587;673.335;587.15;575.023;596.35;505.551;632.205;561.17;;;;;;;
        205 Fabrication d'objets divers en bois, liège ou vannerie;303.258;319.327;330.593;277.109;265.663;170.196;154.015;196.81;230.11;275.922;377.681;343.923;263.624;279.902;313.937;273.495;278.943;264.089;247.756;275.58;223.838;213.995;201.134;191.455;;;;;;;
    21 Industrie du papier et du carton;3389.833;3441.011;3703.854;3840.375;3963.511;4357.466;4332.689;4687.868;4170.722;4915.174;4588.154;6147.113;6200.174;4011.409;3676.588;3646.751;3778.687;4153.286;3983.93;3774.947;4680.464;4917.995;6294.455;5726.04;5916.728;6049.227;6117.613;;;;
        211 Pate a Papier, de papier et de carton;1635.951;1589.992;1824.231;1792.013;1934.793;2215.291;2022.039;2229.673;1846.807;2226.395;1757.387;1739.352;1490.956;1199.437;1074.7;1063.839;1241.308;2655.363;1074.611;982.953;1643.311;1402.701;2176.203;1234.55;;;;;;;
        212 Articles en papier ou en carton;1753.882;1851.019;1879.623;2048.362;2028.718;2142.175;2310.65;2458.195;2323.915;2688.779;2830.767;4407.761;4709.218;2811.972;2601.888;2582.912;2537.379;1497.923;2909.319;2791.994;3037.153;3515.294;4118.252;4491.49;;;;;;;
    22 Edition, imprimerie, reproduction;1088.993;1295.543;1464.548;1511.544;1632.83;1656.797;1804.847;2266.42;2042.109;2018.934;2096.792;2172.31;2395.689;2664.152;2608.362;2764.431;2893.14;3110.783;3087.448;3312.995;3427.881;3306.407;3162.979;3272.756;3303.849;3259.046;3859.906;;;;
        221 Edition;4.813;5.31;6.343;7.15;7.342;7.907;8.071;8.713;344.465;400.115;366.212;475.137;343.807;433.706;402.574;405.432;377.808;379.582;413.934;558.106;562.642;517.064;457.063;485.758;;;;;;;
        222 Imprimerie;1068.153;1272.618;1437.226;1480.696;1601.062;1622.634;1769.916;2228.51;1660.731;1585.598;1697.273;1654.06;2016.379;2190.835;2161.777;2316.466;2466.913;2680.599;2618.52;2700.199;2805.102;2789.343;2705.916;2786.998;;;;;;;
        223 Reproduction d'enregistrements;;;;;;;;;;;;8.5;;;;;;;;;;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;12787.961;12787.961;14071.278;14071.278;14071.278;14082.262;14083.416;15591.85;15904.928;15771.133;15276.857;16473.142;17939.593;12962.194;19831.962;27883.235;31589.413;29973.318;33884.255;20764.389;35724.873;53390.201;57905.83;51052.369;42571.915;3987.972;1663.991;;;;
        231 Cokéfaction;;;;;;;;;;0.039;5.028;;;130.317;150.012;166.407;98.182;77.273;152.944;223.496;59.662;66.78;93.404;89.18;;;;;;;
