;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        242 Produits Agro-chimiques;10.803;9.541;17.09;15.032;13.752;11.929;7.376;8.043;7.488;2.227;4.958;0.988;1.386;11.013;5.683;16.184;12.666;11.115;4.05;4.986;2.68;15.156;5.196;14.78;;;;;;
        243 Peintures et vernis;28.35;470.203;37.357;42.404;77.143;54.728;47.367;25.942;46.036;30.402;71.95;75.072;53.942;121.433;99.899;108.851;64.295;128.85;119.977;151.346;248.263;141.372;86.47;88.354;;;;;;
        244 Industrie Pharmaceutique;96.972;125.346;121.926;116.873;134.258;123.082;218.798;187.04;206.581;227.563;290.296;293.169;282.526;301.017;356.575;284.79;324.935;286.15;409.118;469.742;466.124;328.775;492.062;461.811;;;;;;
        245 Fabrication de savons, de parfums et de produits d'entretien;42.943;49.92;118.401;175.633;223.184;94.821;90.731;149.046;192.422;44.795;80.852;97.577;70.821;152.28;103.037;137.45;67.182;60.6;96.781;88.343;205.978;218.853;341.137;561.066;;;;;;
        246 Fabrication d'autres produits chimiques;33.034;27.69;14.74;33.042;49.217;59.037;57.496;68.268;73.699;24.149;30.532;29.679;33.519;33.822;35.517;49.518;46.034;48.133;52.418;43.33;24.285;22.994;44.187;54.364;;;;;;
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;0.708;0.734;0.8;0.835;0.01;11.674;4.91;1.044;1.906;7.972;2.291;1.421;0.058;;;;;;;;
    25 Industrie du caoutchouc et des plastiques;176.785;261.476;253.93;260.036;245.285;261.302;311.692;356.188;283.297;403.967;322.666;270.551;275.518;261.062;303.972;335.33;277.925;414.657;592.048;608.423;314.221;410.09;383.218;551.1;896.278;527.577;470.37;;;
        251 Industrie Du caoutchouc;34.628;33.211;54.654;57.055;29.769;46.668;69.292;68.211;68.109;69.865;35.89;32.691;22.667;5.855;10.38;10.409;4.662;4.728;18.083;33.998;19.902;8.228;13.103;16.87;;;;;;
        252 Transformation des matières plastiques;142.157;228.265;199.276;202.981;215.516;214.634;242.4;287.977;215.188;334.102;286.776;237.86;252.851;255.207;293.592;324.921;273.263;409.929;573.965;574.425;294.319;401.862;370.115;534.23;;;;;;
    26 Fabrication D'autres produits minéraux non métalliques;706.413;1179.965;2505.715;3407.763;1304.7;1188.49;1307.443;2020.844;1241.159;1241.972;1509.301;1416.413;1473.606;1319.32;1385.781;1770.471;4059.094;4072.11;4476.003;4318.352;4452.475;3916.334;2628.801;1948.137;2851.502;1430.488;1662.225;;;
        261 Fabrication De verre et d'articles en verre;16.401;82.988;11.222;9.251;42.611;49.622;68.619;55.453;14.143;28.743;96.676;97.066;65.77;64.737;32.779;125.423;60.777;48.074;139.751;235.896;181.052;135.892;63.322;80.783;;;;;;
        262 Fabrication De produits céramiques;71.216;157.279;331.025;384.509;449.447;597.595;520.159;472.906;104.31;24.305;34.669;80.834;38.233;65.791;43.396;49.101;50.197;479.399;103.196;121.027;286.774;115.487;96.589;69.164;;;;;;
        263 Fabrication De carreaux en céramiques;;;;;;;;;426.575;376.008;379.921;470.133;429.207;412.735;38.864;293.902;113.391;167.745;137.656;169.674;131.018;317.532;281.01;379.079;;;;;;
        264 Fabrication De tuiles et briques en terre cuite;71.279;412.107;92.362;52.657;230.491;117.912;189.638;119.184;142.106;133.151;198.258;65.454;77.087;194.967;184.307;217.59;149.615;121.272;187.441;454.843;449.238;197.95;241.82;72.401;;;;;;
        265 Fabrication De ciment, chaux et plâtre;372.314;353.457;1857.536;2740.082;338.299;215.187;181.191;1074.671;345.9;487.17;556.458;500.647;631.574;212.836;667.375;745.323;3268.385;2565.926;3217.097;2404.46;2749.619;2511.84;1208.724;886.369;;;;;;
        266 Ouvrages en Béton ou en plâtre;119.141;99.83;123.208;147.532;141.37;125.772;243.718;244.099;155.163;138.382;198.026;143.019;191.723;233.543;336.467;287.235;354.25;461.497;619.031;691.007;411.108;386.896;475.594;283.165;;;;;;
        267 Travail de la Pierre;38.85;27.116;31.984;14.155;19.733;57.622;44.507;18.369;23.802;28.251;37.602;42.19;31.18;46.942;35.855;46.837;52.518;53.956;28.949;35.775;25.928;15.109;20.567;26.848;;;;;;
        268 Fabrication De produits minéraux divers;17.212;47.188;58.378;59.577;82.749;24.78;59.611;36.162;29.16;25.962;7.691;17.07;8.832;87.769;46.738;5.06;9.961;174.241;108.392;207.26;269.123;235.628;241.175;150.328;;;;;;
4 Industrie mécanique et métallurgique;762.0;766.0;625.0;627.0;653.0;764.0;715.0;841.0;980.0;1015.0;1250.0;1911.0;1594.0;1120.0;880.0;2811.0;2505.0;1815.0;3810.0;3336.0;6064.0;7882.0;5161.0;2677.0;1583.0;2105.0;2095.0;2 888;4 135;8 812
    27 Métallurgie;41.376;36.506;16.059;20.868;22.1;20.36;21.535;16.488;74.143;145.34;430.616;630.029;561.598;223.678;208.714;1979.3;1430.058;502.416;1084.783;729.022;666.691;437.036;604.139;1173.197;207.949;385.394;413.226;;;
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;41.886;69.146;85.65;452.738;477.295;135.719;124.257;1810.009;1227.783;415.405;849.693;535.077;439.699;312.71;349.798;506.214;;;;;;
