;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020
        203 Fabrication de charpentes et de menuiseries;117.483;135.839;136.648;158.856;150.56;149.369;197.455;205.197;224.109;243.184;192.876;203.09;266.793;246.048;237.03;249.964;291.481;291.729;311.046;313.552;317.84;309.8989;330.9764;347.2368;;;;;;
        204 Fabrication d'emballages en bois;103.249;123.98;139.923;97.843;112.008;95.218;102.099;106.756;109.852;102.512;120.473;93.133;102.461;98.991;111.923;114.24;130.984;134.361;128.912;117.295;128.556;113.8426;155.2204;129.5893;;;;;;
        205 Fabrication d'objets divers en bois, liège ou vannerie;64.27;56.097;76.021;78.091;68.495;56.819;51.713;56.127;69.943;81.59;162.737;78.442;61.107;90.565;98.067;84.667;78.447;71.851;70.591;79.174;63.25;126.8471;74.9208;90.9929;;;;;;
    21 Industrie du papier et du carton;883.8081;729.05365;752.14585;745.10478;934.80633;1432.3131;1140.39908;1271.4814;1343.1817;1511.1478;1578.2807;1522.59563;1533.7676;1224.7646;1317.6019;1085.6293;1130.8642;1134.3702;965.39417;860.34853;1249.23525;1185.394;1590.6313;1394.4702;1572.089;1613.564;1721.4867;;;
        211 Pate a Papier, de papier et de carton;530.364;357.834;379.514;361.624;531.899;918.505;600.782;609.794;696.597;776.557;816.227;519.909;460.669;455.876;514.187;358.055;405.801;759.984;223.51;118.569;481.332;258.0776;539.8442;333.7704;;;;;;
        212 Articles en papier ou en carton;353.449;371.228;372.635;383.486;402.911;513.81;539.618;661.693;646.585;734.593;762.053;1002.691;1073.101;768.889;803.416;727.576;725.065;374.389;741.889;741.781;767.909;927.3164;1050.7871;1060.6998;;;;;;
    22 Edition, imprimerie, reproduction;415.1224;439.8534;492.3511;593.0241;653.06668;699.46615;669.98542;836.3188;782.4223;851.2273;840.5504;906.3573;876.4789;974.3457;967.566;1019.6394;1034.8087;1021.8366;1027.3415;1067.2768600000002;1114.2674;1089.8326;1043.2494;1178.4694;1104.405;1135.254;1257.1536;;;
        221 Edition;3.003;3.052;2.988;3.18;3.509;3.515;3.847;3.997;166.838;173.029;172.61;248.15;146.383;179.18;177.55;188.139;184.956;187.162;196.134;205.352;207.582;258.2964;243.4667;370.4667;;;;;;
        222 Imprimerie;397.914;421.835;473.218;572.12;630.682;676.339;645.412;810.233;590.008;653.781;643.041;629.845;703.944;767.143;759.319;801.851;818.087;801.652;796.424;827.577;870.161;831.5362;799.7827;808.0027;;;;;;
        223 Reproduction d'enregistrements;;;;;;;;;;;;2.53;;;;;;;;;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;1594.1472;1594.1472;1729.389;1729.389;1729.389;1731.6442;1732.0921;1881.6379;2274.7383;2121.3633;1936.7887;2099.9637000000002;2277.2842;1498.618;1910.9853;2742.9566;2037.5028;2256.0108;1227.6234;3018.5117;4421.114;4001.8753;4814.4995;4142.1277;357.328;584.5881;1032.1246;;;
        231 Cokéfaction;;;;;;;;;;-0.001;1.05;;;17.515;25.116;9.422;29.098;44.766;70.712;90.817;23.282;13.6468;25.7226;26.6591;;;;;;
