Date,POISSON PELAGIQUE,CEPHALOPODES
2016-09-01,867964.0,1536141.7718580742
2016-10-01,1023097.0,1589371.868657331
2016-11-01,1149534.0,1668267.5498155663
2016-12-01,1225914.0,2229365.351220182
2017-01-01,69123.0,456022.1327967806
2017-02-01,139732.0,697768.8442211056
2017-03-01,207550.0,951828.8016112789
2017-05-01,456081.0,1075486.4593781345
2017-06-01,525933.0,1294425.0
2017-07-01,656991.0,1687723.6180904522
2017-08-01,739593.0,1920031.0621242486
2017-09-01,832823.0,1940681.9085487078
2017-10-01,980710.0,1985781.0945273633
2017-11-01,1098197.0,2003026.7326732674
2017-12-01,1165003.0,2648812.2529644268
2018-01-01,66571.0,373645.9566074951
2018-02-01,120105.0,786497.5222993061
2018-03-01,200687.0,1126567.3267326732
2018-04-01,291032.0,1192104.4334975372
2018-05-01,395378.0,1243476.9833496574
2018-06-01,471625.0,1266908.203125
2018-08-01,655466.0,2274781.0650887573
2018-09-01,793726.0,2517159.135559921
2018-10-01,970340.0,2556020.6692913384
2018-11-01,1069446.0,2567628.7952987268
2018-12-01,1189229.0,2627855.0295857987
2019-03-01,232322.0,1239420.218037661
2019-04-01,329185.0,1294478.8177339903
2019-06-01,513397.0,1618728.0701754387
2019-07-01,635735.0,1892601.7699115041
2019-08-01,688155.0,2021816.8462291872
2019-09-01,841543.0,2198023.5525024533
2019-10-01,1025940.0,2257774.7306562196
2019-11-01,1121981.0,2301027.317073171
2019-12-01,1253281.0,2378075.1219512196
2020-01-01,76473.0,606326.4907135875
2020-03-01,190946.0,1070123.9024390245
2020-05-01,331755.0,1218318.9823874754
2020-06-01,457984.0,1280479.8822374875
2020-08-01,630341.0,1777342.7184466019
2020-09-01,779410.0,1998808.325266215
2020-10-01,899316.0,2057639.2649903288
2020-11-01,1042482.0,2131258.0331061343
2020-12-01,1139197.0,2220840.508806262
2021-01-01,50357.0,740834.7996089932
2021-02-01,107903.0,1035625.0
2021-03-01,191733.0,1468377.1929824562
2021-04-01,273447.0,1733440.2697495183
2021-05-01,333178.0,1798044.1882804995
2021-06-01,435339.0,2237226.3056092844
2021-07-01,496866.0,2507478.8053949904
2021-08-01,589290.0,3082972.0616570325
2021-09-01,727331.0,3278913.8755980865
2021-10-01,869844.0,3333847.908745247
2021-11-01,1018146.0,3416682.163187856
2021-12-01,1149315.0,3983546.91943128
2022-01-01,25050.0,886903.3175355451
2022-02-01,76951.0,1357332.7049952876
2022-03-01,140313.0,1808572.222222222
2022-04-01,246132.0,1860456.7788898998
2022-05-01,396011.0,1926656.9872958255
2022-06-01,558960.0,1965587.545126354
2022-07-01,625419.0,2243734.347048301
2022-08-01,785533.0,2687999.1079393397
2022-09-01,969351.0,2819725.265017668
2022-10-01,1118988.0,2917614.775725594
2022-11-01,,2977245.1838879157
2022-12-01,1347813.0,3425769.028871391
2023-01-01,14036.0,623589.2080069626
2023-02-01,84112.0,1137484.589041096
2023-03-01,158722.0,1398859.7091531223
2023-04-01,228456.0,1544007.5949367087
2023-05-01,342654.0,1785918.6440677966
2023-06-01,431428.0,1932899.0590248075
2023-07-01,494386.0,2428272.8047740837
2023-08-01,612228.0,2871025.4885301613
2023-09-01,742007.0,3021840.7750631846
2023-10-01,905765.0,3115576.728499157
2023-11-01,1034225.0,3241892.6458157226
2023-12-01,1120671.0,3373329.10321489
2024-01-01,13434.0,742368.5106382979
2024-02-01,55109.0,1143661.2627986348
2024-03-01,126056.0,1541922.0338983051
2024-04-01,201303.0,1669850.8845829822
2024-05-01,312936.0,1820811.8143459915
2024-06-01,378849.0,1929590.756302521
2024-07-01,515559.0,2695365.31986532
2024-08-01,637390.0,3091972.431077694
2024-09-01,774976.0,3382795.3216374265
2024-10-01,921184.0,3457525.9631490787
2024-11-01,1026701.0,3574161.912751678
2024-12-01,1116000.0,3684757.142857143
2025-01-01,8921.0,942106.7556296914
2025-02-01,29565.0,1405899.4181213633
2025-03-01,80713.0,1783607.1726438699
2025-04-01,138631.0,1832327.1966527195
2025-05-01,237118.0,1927668.067226891
2025-06-01,300581.0,1967392.4686192467
2025-07-01,412542.0,2592419.59798995
2025-08-01,538865.0,3024409.166666667
2025-09-01,649464.0,3200233.7770382697
2025-10-01,757613.0,3298134.728033473
2025-11-01,836341.0,3401162.457912458
2025-12-01,909750.0,3468336.98399326
2026-01-01,3854.0,1072965.5462184874
2026-02-01,18462.0,1523553.5117056856
2026-03-01,41237.0,1900881.8181818184
2026-04-01,135436.0,1973106.9958847736
2026-05-01,195241.0,2154956.810631229
