,Taux d’Utilisation des Capacités,Evolution de la production au cours des trois prochains mois,Evolution de la production par rapport au mois précédent,Evolution des nouvelles commandes par rapport au mois précédent,Evolution des ventes au cours des trois prochains mois,Evolution des ventes par rapport au mois précédent,Niveau des carnets de commandes par rapport au mois précédent,Niveau des stocks de PF,Evolution de la production au cours des trois prochains mois (2),Evolution de la production par rapport au mois précédent (2),Evolution des nouvelles commandes par rapport au mois précédent (2),Evolution des ventes au cours des trois prochains mois (2),Evolution des ventes par rapport au mois précédent (2),Niveau des carnets de commandes par rapport au mois précédent (2),Niveau des stocks de PF (2),Evolution de la production au cours des trois prochains mois (3),Evolution de la production par rapport au mois précédent (3),Evolution des nouvelles commandes par rapport au mois précédent (3),Evolution des ventes au cours des trois prochains mois (3),Evolution des ventes par rapport au mois précédent (3),Niveau des carnets de commandes par rapport au mois précédent (3),Niveau des stocks de PF (3),Evolution de la production au cours des trois prochains mois (4),Evolution de la production par rapport au mois précédent (4),Evolution des nouvelles commandes par rapport au mois précédent (4),Evolution des ventes au cours des trois prochains mois (4),Evolution des ventes par rapport au mois précédent (4),Niveau des carnets de commandes par rapport au mois précédent (4),Niveau des stocks de PF (4),Evolution de la production au cours des trois prochains mois (5),Evolution de la production par rapport au mois précédent (5),Evolution des nouvelles commandes par rapport au mois précédent (5),Evolution des ventes au cours des trois prochains mois (5),Evolution des ventes par rapport au mois précédent (5),Niveau des carnets de commandes par rapport au mois précédent (5),Niveau des stocks de PF (5),Evolution de la production au cours des trois prochains mois (6),Evolution de la production par rapport au mois précédent (6),Evolution des nouvelles commandes par rapport au mois précédent (6),Evolution des ventes au cours des trois prochains mois (6),Evolution des ventes par rapport au mois précédent (6),Niveau des carnets de commandes par rapport au mois précédent (6),Niveau des stocks de PF (6),Utilisation des capacités de production (cumulé),PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL,DEMI PRODUITS 
2011-09-01,72.6582,30.9956,19.8732,7.9679,34.1807,28.6553,1.6012,-3.5731,38.7867,-8.2266,20.7033,27.9229,39.0526,-9.6649,12.2275,39.6786,-43.6388,34.8956,11.9072,68.0156,-8.8423,35.3905,43.3688,29.3834,1.6975,49.3998,-3.6093,-39.4571,1.0763,44.9088,10.1861,20.3969,39.8187,15.5836,-14.7988,0.3519,46.4465,11.7775,20.8406,47.9683,9.9358,15.53,-41.9239,,,
2011-10-01,75.0973,18.8345,34.657,27.5035,30.712,30.6863,-2.6365,-1.2141,23.0384,40.5998,13.2368,15.865,3.4484,-15.6891,16.4492,25.303,47.2667,-13.3919,3.4259,-37.6348,-27.8356,36.58,33.8747,38.8365,62.1193,43.4518,62.9434,-9.9238,-3.463,2.3632,20.0759,-1.3916,4.0165,-2.7496,-17.9637,1.263,17.8787,42.8946,36.968,-14.4971,41.9556,5.5313,10.97,,,
2011-11-01,73.4786,32.8059,-11.7913,-35.7082,34.1588,-22.5999,-16.2805,-1.1297,37.5453,-10.825,-25.1891,2.1191,-37.5511,-24.0164,14.1755,72.4362,-11.2316,-32.8064,-12.0215,-72.8636,-35.8866,29.7983,-6.0496,4.8169,15.4552,7.844,35.4773,-6.9765,-3.004,17.5899,-12.9627,-15.6058,16.8784,-14.9679,-22.7835,-7.1414,-56.3034,-40.6083,-39.9423,-58.7556,-57.3207,-16.8234,31.9011,,,
2011-12-01,73.8659,29.0529,51.2817,24.1255,30.3785,41.3528,-4.6028,-4.2018,15.7553,9.8961,17.8884,31.954,23.6272,-2.1697,1.5421,-8.3206,-18.2103,13.8104,25.1787,13.0889,1.6065,2.6409,56.3214,20.7198,34.2341,61.5224,38.1914,-13.6619,10.8004,14.3113,17.2052,15.5049,17.0837,14.6972,-17.1226,-6.4043,25.4606,-0.4678,-15.7252,26.0594,-2.3125,23.6613,2.2081,,,
2012-01-01,72.8814,42.4149,23.3319,24.3088,47.8111,1.9221,11.7892,-4.4388,32.6314,-9.9174,-0.5935,21.9029,-7.8523,-12.6917,3.3757,23.3196,-44.9658,-23.0025,-10.3917,-17.3989,-25.9208,3.4851,66.0547,-3.8175,28.0361,76.1318,-12.3456,-10.5285,6.4359,10.2698,20.8584,0.9935,9.6944,17.3733,-39.572,4.8845,0.6509,51.9671,-14.7846,22.2607,4.8201,2.3962,23.3335,,,
2012-02-01,74.4409,41.1598,-44.1383,7.6377,46.2938,-0.9967,5.2142,-9.6706,38.2372,23.5801,18.953,56.3646,23.5857,-5.5189,-2.3367,43.7107,60.8941,26.0654,71.2614,28.1583,-6.4856,1.9592,58.1645,23.6521,15.8063,58.6803,40.4651,-12.8358,0.8397,5.2189,18.9054,-4.6365,6.2734,2.7504,-22.7397,-3.6489,-20.5916,40.3858,44.0081,38.8438,69.832,-8.0876,-8.2278,,,
2012-03-01,74.0696,21.0521,59.6836,43.9902,22.034,65.0447,-2.4261,-5.5875,40.8916,32.3331,16.6031,41.4728,61.4681,4.4388,-2.7306,74.196,7.9699,-18.1974,72.5817,67.5928,17.2873,-0.9236,0.2731,66.7694,60.1961,7.5823,71.3848,-10.2931,5.4785,7.7076,-1.4271,-4.7277,8.2792,2.3124,-24.8512,-2.4733,22.6984,40.2712,59.9935,20.6592,40.2712,7.6578,-22.8228,,,
2012-04-01,74.7715,34.5575,-14.6836,-1.3963,32.6383,-8.0268,-7.7509,0.7751,53.5983,15.5648,-10.6902,55.6745,21.5072,0.1383,5.3591,75.7999,56.7921,-24.5098,74.3602,60.7101,17.704,4.4248,38.2177,-23.609,9.5671,58.4064,-3.4847,-13.1212,1.789,16.9371,-10.599,-9.351,13.6776,-13.7981,-24.5435,-9.2657,52.3387,-21.4388,-4.3413,56.0221,-28.9176,-29.7788,50.7655,,,
2012-05-01,73.9808,31.4836,53.4688,55.8898,37.2217,42.5718,6.2364,0.9465,31.7739,28.7755,25.3164,20.4629,31.7614,-10.46,1.8448,59.4883,13.7597,6.7914,22.8942,16.3608,-12.3224,3.2183,-8.2911,3.6328,10.9725,3.6138,37.3136,-28.1447,-9.0652,6.8044,32.486,24.6374,2.3025,28.1672,-25.0635,-2.8832,0.7718,70.6997,42.6535,-0.0223,63.9158,-8.9935,27.8146,,,
2012-06-01,71.1743,30.4922,7.2468,31.4694,38.2708,49.7182,-8.8187,-9.0207,30.7534,22.8907,-1.1584,20.6326,5.527,-30.8497,-2.8906,56.6103,47.5407,-24.1226,13.2343,-22.1252,-42.6566,3.3787,11.8079,-4.1246,-5.6982,40.6423,-5.3967,-41.3984,-8.2178,-13.2013,17.0147,7.2058,-13.6361,18.4776,-21.1068,-5.2993,-24.2082,16.6589,0.6212,-20.9854,-1.343,-36.3724,1.1033,,,
