,"Crédits à l’immobilier 
 (MDH) (Jan 18)",Crédits à l'habitat (MDH) (Jan 18),Crédits aux promoteurs immobiliers (1),Dont: Financement participatif à l'habitat
2016-11-01,247033.7471,188002.1821,56393.8244,
2016-12-01,246897.7467,188723.2292,55507.2648,
2017-01-01,249985.7503,189282.4154,57608.7484,
2017-02-01,249963.277,189993.4507,57280.321,
2017-03-01,251511.5873,191188.0371,57602.6631,
2017-04-01,251389.9119,191706.2938,57165.7557,
2017-05-01,252380.7474,192856.4772,57324.5673,
2017-06-01,254314.1123,193519.5819,58375.5528,
2017-07-01,255071.6753,194075.2728,58855.7887,
2017-08-01,255215.4933,194531.1762,58727.2088,
2017-09-01,255204.1892,194966.0096,58466.8857,
2017-10-01,257725.5186,195734.149,59722.6642,12.0
2017-11-01,257484.1374,195367.8737,59670.8578,31.0
2017-12-01,257814.803,195985.5379,60101.6769,159.0
2018-01-01,259095.0075,196308.9029,59198.3042,194.0
2018-02-01,259243.5839,197060.4985,58222.4672,322.0
2018-03-01,260301.9278,198219.0434,59205.4001,609.0
2018-04-01,261537.9409,199352.2621,59125.1003,1110.6
2018-05-01,262606.0624,200555.0915,59329.1884,1461.0
2018-06-01,264901.2435,201856.776,60258.7822,2031.0
2018-07-01,265741.9302,202523.1227,59744.1839,2420.0
2018-08-01,266144.443,202926.8261,60166.6103,2646.0
2018-09-01,266111.1835,203923.9749,60208.957,2932.0
2018-10-01,266921.0789,204738.6533,58368.1599,3300.696
2018-11-01,267626.8985,205891.7929,57761.4174,3576.584
2018-12-01,267714.1586,207085.0954,58405.6034,4084.156
2019-01-01,267732.1706,207795.5436,55721.6296,4343.191
2019-02-01,268517.6779,207828.8335,56472.393,4667.554
2019-03-01,269759.9475,209344.2432,57805.687,5166.013
2019-04-01,271517.6542,209904.7958,58606.9513,5477.965
2019-05-01,273791.9782,211939.1016,58379.3434,5860.979
2019-06-01,273804.5447,211651.1755,60059.2308,6112.703
2019-07-01,273875.3606,211669.0155,59784.8767,6385.524
2019-08-01,274100.7533,212086.1107,59707.0432,6575.292
2019-09-01,275156.1142,213087.7636,59023.2561,6879.69
2019-10-01,275751.2419,214012.6943,57271.7179,7140.485
2019-11-01,276251.8016,214816.7743,57276.0788,7385.549
2019-12-01,277095.4814,214966.3763,59804.4591,7795.948
2020-01-01,276786.5209,215303.7397,55988.0169,8065.297
2020-02-01,277920.0678,216530.3494,56378.0686,8259.317
2020-03-01,278676.2716,216557.0038,56695.6152,8150.961
2020-04-01,277228.0139,214569.3233,57404.0008,8502.657
2020-05-01,276879.7053,214373.0472,58828.4402,8671.486
2020-06-01,278557.1118,215489.4407,60758.2816,8981.898
2020-07-01,279271.3079,216072.5346,60950.3905,9238.503
2020-08-01,279229.9953,216698.6807,59864.5252,9400.222
2020-09-01,280280.7198,217832.7646,59744.5748,9793.073
2020-10-01,281553.6205,219479.3502,57787.7897,10246.924
2020-11-01,282811.6616,220577.485,57714.7225,10706.659
2020-12-01,285326.8988,222381.5006,60045.5817,11328.067
2021-01-01,284127.0027,222809.1021,56789.1722,11554.228
2021-02-01,284799.5151,224090.9027,55998.3641,11950.012
2021-03-01,286424.7964,225763.9841,56888.0049,12394.582
2021-04-01,287991.0085,227654.2672,56083.1743,12832.591
2021-05-01,289786.7231,228929.2479,56870.8145,13241.843
2021-06-01,291302.244,230690.179,56554.1264,14039.861
2021-07-01,289814.555,230582.4312,55013.1137,14258.178
2021-08-01,289751.7207,229993.4714,54590.976,14560.514
2021-09-01,290496.4392,231020.2653,53934.1922,14950.262
2021-10-01,290374.8457,231276.6979,53773.163,15270.853
2021-11-01,291103.2826,232088.1728,55597.2865,15531.969
2021-12-01,292730.8351,232826.785,55958.6991,15924.095
2022-01-01,294035.2394,233439.8151,54962.7593,16131.446
2022-02-01,293582.2328,233739.3957,55534.7223,16355.173
2022-03-01,294922.6276,234540.3128,56319.2816,16653.207
2022-04-01,295324.088,234954.6843,55093.3463,16885.067
2022-05-01,296152.8313,235529.262,57215.4165,17114.17
2022-06-01,298051.1252,236379.4673,57312.7368,17430.34
2022-07-01,297009.8496,236485.7788,55520.8897,17654.273
2022-08-01,297507.2367,236917.0201,54318.1857,17962.198
2022-09-01,298036.4733,237442.2513,53678.2906,18239.018
2022-10-01,298952.1753,238012.3356,54015.9016,18489.233
2022-11-01,299268.6553,238802.9637,53460.7947,18716.76
2022-12-01,301105.4515,239384.5793,56025.9627,18934.249
2023-01-01,301122.308,239646.3759,52945.3057,19076.875
2023-02-01,301112.8885,239920.3531,53470.4644,19301.626
2023-03-01,301336.7435,240800.9316,52572.494,19606.85
2023-04-01,301966.9131,240695.3384,53212.1332,19817.318
2023-05-01,301846.7172,241307.1068,53502.6206,20036.204
2023-06-01,304230.3681,242172.7528,54833.3294,20333.987
2023-07-01,302621.6753,242036.325,53860.297,20471.81
2023-08-01,303003.8705,242256.795,53437.9722,20722.0
2023-09-01,303107.6864,242518.2323,53555.8901,20892.942
2023-10-01,303465.4835,242914.0941,53524.2664,21117.312
2023-11-01,303721.8503,243542.2595,53937.0533,21365.775
2023-12-01,303934.6842,243935.0304,54740.4964,21616.079
2024-01-01,303290.7816,244094.6761,53664.4773,21751.192
2024-02-01,303214.1872,243834.4542,53106.5704,22001.223
2024-03-01,304901.3116,244256.7456,55033.3431,22219.431
2024-04-01,304405.9665,244158.4482,54339.9901,22477.417
2024-05-01,305988.8378,244924.1688,55631.3708,22777.107
2024-06-01,307964.2755,245538.9544,56646.0717,23076.639
2024-07-01,307705.2967,245615.7838,56157.1116,23259.777
2024-08-01,307637.099,245876.5584,55995.622,23468.883
2024-09-01,308687.9785,246170.0529,57421.0086,23765.339
2024-10-01,309697.0496,246892.5328,57592.6673,24102.981
2024-11-01,310263.5063,247790.2258,57571.224,24458.398
2024-12-01,310922.4206,248164.5585,57885.5301,24888.537
2025-01-01,311807.002,248610.6045,57789.182,25108.995
2025-02-01,311567.5819,248849.1668,56727.1538,25470.372
2025-03-01,312878.4106,249535.3734,58105.1466,25829.415
2025-04-01,314354.6042,250293.5816,58924.9188,26211.564
2025-05-01,315688.656,251069.674,59491.9351,26597.988
2025-06-01,317283.6724,251720.7961,60559.1804,27016.035
2025-07-01,318247.6638,252785.9743,60510.6415,27390.698
2025-08-01,317921.2555,253247.7803,60246.6625,27736.851
2025-09-01,318253.9069,253723.2794,60030.5865,28230.802
2025-10-01,319511.9142,254956.7988,60161.7278,28673.45
2025-11-01,319673.6833,255640.4098,59791.5552,29078.888
2025-12-01,321187.8874,256575.2162,60961.5103,29686.651
2026-01-01,322685.4727,256132.4554,60739.1106,30023.736
2026-02-01,322729.9796,256764.305,60665.003,30410.157
2026-03-01,323423.5882,256741.6635,60874.334,30607.942
2026-04-01,325688.5305,257809.8366,60978.5714,31046.562
2026-05-01,325826.3753,257038.2698,61113.345,31282.482
