,Crédit bancaire Activités financières (MDH),Comptes débiteurs et crédits de trésorerie — Finances et assurances (MDH),Crédits à l'équipement — Finances et assurances (MDH),Primes versées (MDH),Prestations (MDH)
2022-04-01,159313.9428,5862.0604,7474.2159,14361.9,9340.8
2022-07-01,148941.085,7492.8438,7112.9789,12433.6,8204.8
2022-10-01,158742.4402,5587.1365,5883.965,12543.9,9230.4
2023-01-01,154320.1923,7818.0908,7096.8579,16611.2,8497.1
2023-04-01,163448.3574,5764.7572,8767.4922,14435.7,0.0
2023-07-01,174044.7207,7831.7553,10844.9091,11910.2,8500.0
2023-10-01,186117.7602,7758.3884,17076.6807,14057.0,12000.0
2024-01-01,186132.8469,9460.558,18009.6652,17244.9,9377.8
2024-04-01,186357.1394,7898.3075,19110.4272,15147.5,10700.0
2024-07-01,194805.1172,9256.7321,21413.8039,12382.2,8700.0
2024-10-01,211356.1434,7680.4928,37437.0684,14703.8,10600.0
2025-01-01,207209.6406,11628.5951,37807.4477,18186.7,10028.4
2025-04-01,212339.7142,15793.5055,39465.3264,16722.0,11800.0
2025-07-01,216621.4664,14846.7939,39082.5485,13189.1,10100.0
2025-10-01,256142.612,18515.0232,53501.7582,16062.4,11200.0
2026-01-01,234262.8861,13317.8775,56787.6049,21317.6,10491.3
