,Crédit bancaire Industries alimentaires et tabac (MDH),Crédit bancaire Industries textiles-habillement-cuir (MDH),Crédit bancaire Industries chimiques-parachimiques (MDH),Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),Crédit bancaire Industries manufacturières diverses (MDH),IPI — Industries manufacturières hors raffinage de pétrole,IPI — Industries alimentaires,IPI — Fabrication de boissons,IPI — Fabrication de produits à base de tabac,IPI — Fabrication de textiles,IPI — Industrie d’habillement,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Industrie du papier et du carton,IPI — Imprimerie et reproduction d’enregistrements,IPI — Industrie chimique,IPI — Industrie pharmaceutique,IPI — Fabrication de produits en caoutchouc et en plastique,IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements","IPI — Fabrication de produits informatiques, électroniques et optiques",IPI — Fabrication d’équipements électriques,IPI — Fabrication de machines et équipements n.c.a.,IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Fabrication de meubles,IPI — Autres industries manufacturés,IPI — Réparation et installation de machines et équipements,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),Crédits à l'équipement — Industrie de transformation (MDH),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (2),Crédits à l'équipement — Industrie de transformation (MDH) (2),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (3),Crédits à l'équipement — Industrie de transformation (MDH) (3),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (4),Crédits à l'équipement — Industrie de transformation (MDH) (4),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (5),Crédits à l'équipement — Industrie de transformation (MDH) (5)
2012-04-01,24062.4989,8880.1036,14071.3151,17318.2724,24578.7899,,,,,,,,,,,,,,,,,,,,,,,,,15300.3629,6878.4746,4511.6247,2235.4678,9665.2809,3054.9481,10728.1228,4907.2095,15278.5963,8012.2968
2012-07-01,24130.3001,8895.5628,13565.4761,18267.4263,23573.7096,,,,,,,,,,,,,,,,,,,,,,,,,14730.4124,7124.999,4370.3241,2223.4373,9134.2682,3218.9714,11130.6169,5062.8423,16448.7998,5545.679
2012-10-01,23941.9401,8514.2193,13514.2637,16949.8004,24014.457,,,,,,,,,,,,,,,,,,,,,,,,,15300.1727,6499.3927,4591.2934,1821.4774,8759.3001,3031.0081,10635.8334,4471.4993,15965.2835,6891.3456
2013-01-01,23798.7515,7812.797,12907.4074,17341.4507,23265.5652,,,,,,,,,,,,,,,,,,,,,,,,,15142.3739,6306.2585,4195.2491,1512.1845,8367.2046,3223.8903,10562.1681,4534.3281,16229.9975,5766.641
2013-04-01,25350.6846,8031.0766,13848.3434,17510.6163,21066.0135,,,,,,,,,,,,,,,,,,,,,,,,,16640.0112,6220.8562,4534.7919,1357.7629,9483.223,3099.7397,10639.3011,4433.3344,14145.5396,5453.8392
2013-07-01,25051.9634,8022.6204,12624.6183,17200.1281,19661.001,,,,,,,,,,,,,,,,,,,,,,,,,16503.5742,6011.919,4583.2883,1263.2517,7869.9198,3349.9761,10392.2664,4266.4894,12920.752,5264.3209
2013-10-01,26995.3445,7754.2317,12855.1743,16302.0126,25086.2825,,,,,,,,,,,,,,,,,,,,,,,,,17063.5234,7442.0736,4306.3128,1216.9173,7877.5402,3430.8679,8759.4625,4892.5865,17099.4464,6378.3159
2014-01-01,25951.7026,8166.2685,12850.992,16730.405,24540.3968,,,,,,,,,,,,,,,,,,,,,,,,,16111.6546,7404.4093,4413.3697,1261.139,8049.1068,3237.5009,9219.8625,4718.829,16646.3458,4954.1798
2014-04-01,26494.3467,8212.5252,13616.9458,16878.8128,26041.0931,,,,,,,,,,,,,,,,,,,,,,,,,16841.5281,7079.2436,4470.7841,1285.5888,9006.3046,3174.3125,9595.0821,4663.7593,18352.8916,5002.7587
2014-07-01,28289.4008,7589.9244,12545.1541,16573.1878,26086.0347,,,,,,,,,,,,,,,,,,,,,,,,,18034.0623,7291.0262,4069.1187,1155.0173,8112.8324,2898.4078,9268.4149,4481.0807,18181.7366,4554.8953
2014-10-01,27139.2052,6801.0225,11823.0501,16165.6453,25977.6235,,,,,,,,,,,,,,,,,,,,,,,,,17304.1592,6728.7164,3797.6906,898.9712,7555.5577,2475.7379,8830.3641,4318.5671,19208.377,4029.8911
2015-01-01,27961.3963,6641.3075,11559.6899,16341.9611,21681.346,,,,,,,,,,,,,,,,,,,,,,,,,17002.7892,8158.2062,3777.9666,1002.9431,7182.7156,2543.0738,9165.3133,4551.4103,14736.2091,4177.6195
