PIB trimestriel SCN93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aux prix chaînés 1998, CVS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4
 Bâtiment et travaux publics  ,3708.48987743285,3688.91801771627,3658.99672614672,3602.59537870416,3591.91659888458,3624.68269761338,3716.00458201587,3854.39612148617,3943.67982827203,3956.9079893059,4016.95468016442,4106.45750225765,4363.15842043382,4357.70426640515,4303.77176830739,4387.36554485364,4313,4400,4462,4411.51129539235,4510.83889634629,4701.35929281446,4871.6802787892,4901.12153205004,5044.72807401446,5103.79664484221,5110.95383214095,5251.52144900238,5263.13909251753,5372.20390879935,5503.93853541183,5613.71846327129,5705.80056462002,5772.66548550039,5981.00306511469,6182.5308847649,6344.89102308989,6584.58421758433,6678.28887052795,6790.23588879784,7098,7186,7469,7139,7243.2080752447,7437.5954097451,7538.8555739054,7642.34094110479,7699.55563563476,7802.95923131855,7607.31398134637,7536.17115170032,7856.95339212858,7933.20686869023,8068.75452471322,8064.08521446797,8335.29351067817,8298.07039511628,8017.40922398545,7957.22687022009,8110.71159260141,8188.87774613009,8325.14486444756,8438.26579682093,8135.043727379214,8201.979950523899,8363,8488.895391601854
Tertiaire,42215.511148909754,43996.18316667498,45236.62590326826,45986.67479423402,43620.542807529106,46305.46649323528,47782.52105328099,48482.4696459547,48303.68483300167,48689.37260646277,49144.320688512256,49826.22614453917,50953.753702388865,51567.91063444299,52025.9643133517,52713.85268195455,52303.83323194877,53012.00859678404,53533.08589290702,54155.16486604174,54501.899652731736,55189.84590833786,56067.691429911676,56893.38045737804,57485.336506365304,58314.93925744358,58991.14887338056,60226.7960466498,61022.82360853946,61928.22540711034,63055.473770197415,63770.46141180792,64101.596841275736,65485.693150278355,66062.68541494416,67152.48316184992,67678.54488757777,69222.00978779468,70201.06048927773,71663.31028815068,70601,71830,73545,74176,72702.33048363899,75151.70351985711,75279.5434280715,77358.50225544487,76215,77560,78287,78295,81304.47188480636,82216.01431000952,83085.89999964458,82244.61975581679,85668.96547367203,87050.94814158912,87895.8012537369,87337.28513100198,88265,90118.27271990267,89735.78923305088,89120.85498447655,91319.57232414732,93289.24240396365,92635.00538103496,
 Commerce  ,11168.2871477161,11489.379504148,11666.2990435489,11887.034304587,11695.3761873617,11982.7687829136,11964.1292280359,11982.7258016889,11997.8401247625,12114.3004078506,12139.2362936302,12162.6231737567,12448.6710801322,12517.8553627982,12476.2859883996,12642.1875686699,12764.4560890264,12956.9416848636,13011.2633374129,13084.3388886971,13331.9604282578,13128.0585163966,13249.5046387592,13384.4764165864,13720.4868625439,13913.9256597456,13858.0283918286,14247.5590858819,14272.7607437003,14448.2388240409,14558.1920969881,14699.8083352708,14914.7541631406,15234.4542199802,15224.1867119273,15253.6049049519,15210,15569,15597,15740,15624.8567059117,15711.2617837816,16840.4620859137,16735.419424393,16293.2672332208,16937.4797678722,16481.26788259,17461.985116317,16743.9484827797,16852.2471492424,17066.4129907176,16234.3913772604,17532,17640,17854,17022,18086,18110,18210,17264,18116.878,18394.97,18389.41,17586.724000000002,18370.514292,18707.68449,18702.02997,17920.871756
 Hôtels et restaurants  ,1840.98557151299,1858.38645113562,1885.78939559348,1952.8385817579,1932.47104613971,1987.97799459935,2041.01516940761,2046.53578985333,2086.630977525,2106.13698798016,2077.71714912261,2074.51488537224,2191.39102153977,2040.09581609989,1975.32641235159,2109.18675000875,2049,2091.22984904525,2100.2431416868,2092.21095989936,1978.63282080615,2059.35777466505,2136.39610570717,2122.61329882163,2249.93887971995,2180.28418702638,2274.81107478183,2340.96585847184,2408.99248706994,2389.20339299366,2493.5285013337,2455.27561860269,2558.16039433004,2737.17214899126,2599.85764344072,2696.80981323799,2730,2787,2724.01248602556,2784,2745,2822,2755,2789,2585,2765,2758,2869,2862.39168229161,2957.32328636586,2991.12127303143,3050.16375831111,3031.55112764897,2841.55053714105,2907.7137101382,2844.18462507176,2882.83464950679,2949.44846667857,3017.19014353843,3069.52674027619,3039.61236474545,3131.2716539869,3113.45771419611,3182.65826707152,3239.04326863968,3253,3130.2703858527693,3073.493088510967
 Transports  ,4114.346,4121.732,4238.706,4379.216,4395.809,4555.74,4565.275,4721.176,4822.335,4885.368,4942.644,4958.653,5034.567,4965.231,4962.811,4869.39,4951.297,5015.157,4971.029,5004.517,4875.808,4908.054,5036.632,5214.506,5409.061,5569.379,5744.902,5874.659,6073.586,6170.131,6215.887,6285.396,6315.401,6491.376,6564.965,6661.257,6785.911,6942.124,7138.858,7339.108,7098.1578,7223.865482265469,7289.968362120001,7329.345050452001,7112.1321,7436.1659,7481.6959,7736.0061000000005,7943.496347,7937.43927092,7948.831124,8077.726413490001,8529.70739474773,8449.63250871052,8415.9691285628,8393.03941534614,8684.33776923464,8716.05008629272,8541.577030467542,8750.272703829658,8657.96230650759,8977.526279439706,8822.28179827226,9004.88624273166,9092,9481.620544153226,9104.594815816974,9252
 Postes et télécommunications  ,1520.00182987275,1622.99349109344,1769.73514753238,1926.26953150143,2040.35836158098,2230.51166622089,2470.74462836417,2719.38534383396,2955.3476092059,3308.19534405251,3620.61319857139,3930.8438481702,4518.50799627559,4795.15712857744,5000.49457061413,5137.84030453283,4994.72169807446,5046.45726066372,5152.27625606584,5294.54478519598,5432.84084528491,5627.13527850203,5803.38154498308,5963.64233122998,6147.18001161245,6273.02619443802,6382.4756764192,6474.31811753033,6497.10370529375,6591.99740563394,6708.07557358924,6844.82331548308,7102.65420956699,7266.19799455098,7432.77391743506,7600.37387844697,7853.36042908402,8028.55623961501,8202.4469608781,8374.63637042287,8641,9046,8870,8720,8885,9348,9217,8816,9070,9590,9530,9665,10251.88,11080.49,11824.49,11889,12684.530231012499,13565.1159300125,15025.3568550125,15285.9969839625,13428.841534040599,13995.146344201301,15233.953607049,15507.044718551202,14084,14981,16225,16421.96035694572
 Activités financières et assurances  ,4784.28,4656.616,4578.444,4539.66,4497.942,4492.823,4504.758,4568.478,4601.23,4656.982,4708.835,4770.954,4865.884,4875.71,4842.97,4846.437,4772.132,4731.808,4891.973,4882.087,5010.49,5051.696,5078.143,5159.671,5175.401,5224.819,5313.249,5417.531,5670.523,5925.832,6179.157,6094.487,6203.609,6340.282,6574.9,6877.209,7207.995,7478.623,7829.358,8343.024,7567,7831,8104,8565,7794.52809154,7966.60905415,8182.16854328,8464.756953,7888.65730027388,8102.11848384282,8213.41310825352,8355.79058636831,8402.01484617548,8640.93,8805.584494152801,9182.47225210504,8858.82981966122,9198.329939000001,9171.594523222422,9508.23682532535,8829.79219210217,9151.028268939,9131.603393364223,9569,8903,9270,9254,9712.535
 Services rendus aux entreprises et services personnels  ,9758,9444,9329,9384,9603.38121244671,9889.321049501481,10008.5840274733,10127.7137105785,10185.8394818869,10276.2327202363,10326.1268398241,10447.3439480526,10488,10591,10685,10864,11066.977655556799,11272,11458,11663,11878.7249940678,12091.7071792471,12285.9902610333,12459.1950456518,12736,12878,12964,13134,13473,13657,13872.0158518662,14052.6,14361.078222148699,14646.3566092685,14807.1337923097,15086.087536273099,15410,15772.501298387,16000,16324,15815.1203234817,15943.0524757925,16099.6010683226,16053.4044824032,15894.9150941908,16325.2603809213,16323.4811695189,16633.3433553689,16539.5628698103,16693.2263310137,16776.3597639643,16742.3543052117,17194.3234447108,17289.9920815998,17461.1483677169,17504.5758459726,17991.7997049269,18155.8101536552,18311.7441158853,18360.6460255324,18279.6799827306,18540.7879180386,18573.0723348129,18711.4597644177,18773.231342264324,19078.470767661718,19165,19104.400419470472
 Administration publique générale et sécurité sociale  ,6476.827599807918,8107.442720297921,9035.940316593493,9108.783376387692,6562.714,8214.952,9155.762,9229.571,8633.884,8295.946,8145.471,8181.699,8406,8635,8729.486,8773.433,8755,8718.335,8731.003,8791,8824.524,8973.361,9081.345,9145.77,9244.508,9406.537,9469.231,9592.724,9699.015,9798.145,9972.153,10057.69,10121.96,10157.23,10232.09,10264.71,10323.21875,10395.15625,10477.21875,10569.40625,10641,10766,10913,11082,11588.663730569999,11814.469626260001,11969.936381689999,12055.947886740001,12006.86,12118.46,12253.05,12410.62,12786,12898,12955,12973,13726,13792,13777,13763,14554,14624,14016,13761,14932.404,14945.728000000001,14296.32,14036.22
" Education, santé et action sociale  ",6566.918,6739.937,6825.642,6960.504,7077.808,7178.139,7332.029,7400.024,7386.275,7479.087,7681.545,7850.093,8233.197,8369.061,8518.278,8529,8272,8350.026,8405,8434.567,8703.503,8825.355,8844.359,8911.784,8826.745,8894.702,8986.919,9102.634,9371.763,9479.252,9633.821,9684.164,9579.552,9702.24,9849.094,10020.11,10253.8407482031,10457.7870186719,10670.4990402344,10891.9768128906,11130,11366,11607,11855,11551.937854799999,11720.78139282,11942.975525580001,12220.43025645,12132.28,12306.54,12512.88,12747.3,13494.36,13583.12,13511.13,13281.38,14140.5,14229.5,14174.5,13972.5,14790,14846,14656,14395,15535.8564462,15603.145999999999,15418.112000000001,15175
