PIB trimestriel SCN93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aux prix chaînés 1998, CVS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hôtels et restaurants,1840.98557151299,1858.38645113562,1885.78939559348,1952.8385817579,1932.47104613971,1987.97799459935,2041.01516940761,2046.53578985333,2086.630977525,2106.13698798016,2077.71714912261,2074.51488537224,2191.39102153977,2040.09581609989,1975.32641235159,2109.18675000875,2049,2091.22984904525,2100.2431416868,2092.21095989936,1978.63282080615,2059.35777466505,2136.39610570717,2122.61329882163,2249.93887971995,2180.28418702638,2274.81107478183,2340.96585847184,2408.99248706994,2389.20339299366,2493.5285013337,2455.27561860269,2558.16039433004,2737.17214899126,2599.85764344072,2696.80981323799,2730,2787,2724.01248602556,2784,2745,2822,2755,2789,2585,2765,2758,2869,2862.39168229161,2957.32328636586,2991.12127303143,3050.16375831111,3031.55112764897,2841.55053714105,2907.7137101382,2844.18462507176,2882.83464950679,2949.44846667857,3017.19014353843,3069.52674027619,3039.61236474545,3131.2716539869,3113.45771419611,3182.65826707152,3239.04326863968,3253,3130.2703858527693,3073.493088510967
Transports,4114.346,4121.732,4238.706,4379.216,4395.809,4555.74,4565.275,4721.176,4822.335,4885.368,4942.644,4958.653,5034.567,4965.231,4962.811,4869.39,4951.297,5015.157,4971.029,5004.517,4875.808,4908.054,5036.632,5214.506,5409.061,5569.379,5744.902,5874.659,6073.586,6170.131,6215.887,6285.396,6315.401,6491.376,6564.965,6661.257,6785.911,6942.124,7138.858,7339.108,7098.1578,7223.865482265469,7289.968362120001,7329.345050452001,7112.1321,7436.1659,7481.6959,7736.0061000000005,7943.496347,7937.43927092,7948.831124,8077.726413490001,8529.70739474773,8449.63250871052,8415.9691285628,8393.03941534614,8684.33776923464,8716.05008629272,8541.577030467542,8750.272703829658,8657.96230650759,8977.526279439706,8822.28179827226,9004.88624273166,9092,9481.620544153226,9104.594815816974,9252
Postes et télécommunications,1520.00182987275,1622.99349109344,1769.73514753238,1926.26953150143,2040.35836158098,2230.51166622089,2470.74462836417,2719.38534383396,2955.3476092059,3308.19534405251,3620.61319857139,3930.8438481702,4518.50799627559,4795.15712857744,5000.49457061413,5137.84030453283,4994.72169807446,5046.45726066372,5152.27625606584,5294.54478519598,5432.84084528491,5627.13527850203,5803.38154498308,5963.64233122998,6147.18001161245,6273.02619443802,6382.4756764192,6474.31811753033,6497.10370529375,6591.99740563394,6708.07557358924,6844.82331548308,7102.65420956699,7266.19799455098,7432.77391743506,7600.37387844697,7853.36042908402,8028.55623961501,8202.4469608781,8374.63637042287,8641,9046,8870,8720,8885,9348,9217,8816,9070,9590,9530,9665,10251.88,11080.49,11824.49,11889,12684.530231012499,13565.1159300125,15025.3568550125,15285.9969839625,13428.841534040599,13995.146344201301,15233.953607049,15507.044718551202,14084,14981,16225,16421.96035694572
Activités financières et assurances,4784.28,4656.616,4578.444,4539.66,4497.942,4492.823,4504.758,4568.478,4601.23,4656.982,4708.835,4770.954,4865.884,4875.71,4842.97,4846.437,4772.132,4731.808,4891.973,4882.087,5010.49,5051.696,5078.143,5159.671,5175.401,5224.819,5313.249,5417.531,5670.523,5925.832,6179.157,6094.487,6203.609,6340.282,6574.9,6877.209,7207.995,7478.623,7829.358,8343.024,7567,7831,8104,8565,7794.52809154,7966.60905415,8182.16854328,8464.756953,7888.65730027388,8102.11848384282,8213.41310825352,8355.79058636831,8402.01484617548,8640.93,8805.584494152801,9182.47225210504,8858.82981966122,9198.329939000001,9171.594523222422,9508.23682532535,8829.79219210217,9151.028268939,9131.603393364223,9569,8903,9270,9254,9712.535
Services rendus aux entreprises et services personnels,9758,9444,9329,9384,9603.38121244671,9889.321049501481,10008.5840274733,10127.7137105785,10185.8394818869,10276.2327202363,10326.1268398241,10447.3439480526,10488,10591,10685,10864,11066.977655556799,11272,11458,11663,11878.7249940678,12091.7071792471,12285.9902610333,12459.1950456518,12736,12878,12964,13134,13473,13657,13872.0158518662,14052.6,14361.078222148699,14646.3566092685,14807.1337923097,15086.087536273099,15410,15772.501298387,16000,16324,15815.1203234817,15943.0524757925,16099.6010683226,16053.4044824032,15894.9150941908,16325.2603809213,16323.4811695189,16633.3433553689,16539.5628698103,16693.2263310137,16776.3597639643,16742.3543052117,17194.3234447108,17289.9920815998,17461.1483677169,17504.5758459726,17991.7997049269,18155.8101536552,18311.7441158853,18360.6460255324,18279.6799827306,18540.7879180386,18573.0723348129,18711.4597644177,18773.231342264324,19078.470767661718,19165,19104.400419470472
Administration publique générale et sécurité sociale,6476.827599807918,8107.442720297921,9035.940316593493,9108.783376387692,6562.714,8214.952,9155.762,9229.571,8633.884,8295.946,8145.471,8181.699,8406,8635,8729.486,8773.433,8755,8718.335,8731.003,8791,8824.524,8973.361,9081.345,9145.77,9244.508,9406.537,9469.231,9592.724,9699.015,9798.145,9972.153,10057.69,10121.96,10157.23,10232.09,10264.71,10323.21875,10395.15625,10477.21875,10569.40625,10641,10766,10913,11082,11588.663730569999,11814.469626260001,11969.936381689999,12055.947886740001,12006.86,12118.46,12253.05,12410.62,12786,12898,12955,12973,13726,13792,13777,13763,14554,14624,14016,13761,14932.404,14945.728000000001,14296.32,14036.22
"Education, santé et action sociale",6566.918,6739.937,6825.642,6960.504,7077.808,7178.139,7332.029,7400.024,7386.275,7479.087,7681.545,7850.093,8233.197,8369.061,8518.278,8529,8272,8350.026,8405,8434.567,8703.503,8825.355,8844.359,8911.784,8826.745,8894.702,8986.919,9102.634,9371.763,9479.252,9633.821,9684.164,9579.552,9702.24,9849.094,10020.11,10253.8407482031,10457.7870186719,10670.4990402344,10891.9768128906,11130,11366,11607,11855,11551.937854799999,11720.78139282,11942.975525580001,12220.43025645,12132.28,12306.54,12512.88,12747.3,13494.36,13583.12,13511.13,13281.38,14140.5,14229.5,14174.5,13972.5,14790,14846,14656,14395,15535.8564462,15603.145999999999,15418.112000000001,15175
Branche fictive,-4014.135,-4044.304,-4092.93,-4151.631,-4185.317,-4226.767,-4259.776,-4313.14,-4236.932,-4271.047,-4311.871,-4371.149,-4506.667,-4526.83,-4506.002,-4509.501,-4433.552,-4393.056,-4516.814,-4497.579,-4565.839,-4595.064,-4620.135,-4698.961,-4783.832,-4831.195,-4897.982,-4964.991,-5084.909,-5274.291,-5472.095,-5399.705,-5528.063,-5647.345,-5845.913,-6098.679,-6373.129,-6595.768,-6882.9,-7303.204,-6611,-6862,-7083,-7460,-6820,-7006.101999999999,-7192,-7420,-6700,-6901,-7009,-7202,-7170.41,-7407.9421,-7563.2438,-7983.41,-7403.6,-7686.75797654,-7689.8769011800005,-8088.6,-7258.55656,-7515.344734516539,-7519.235765771299,-7997.66574,-7172.179736936,-7463,-7474,-7949.67974556
impôt_sub,11345.81640247186,10649.93031195388,10403.65867688565,11205.59460868861,10915.08868850709,11406.21419424193,11539.962380024688,11258.73473722629,10866.4232326792,10442.24229847417,12336.420397969398,11233.91407087723,10904,12873,12032,12811,12329,12641,13032,13426,13047.991213881443,12445.885125307685,12830.203484576123,13076.920176234755,13577.976516537836,13721.340505131635,14171.452197713466,12083.230780617065,13374,13677,13779,14003,14795.75,15340.75,15258.75,15372.75,16576,17228,16495,16912,17563,18270,17341,17423,18261,18828,18470,18305,19504.44532,20064.010924000002,19676.653347999996,19589.95512,20213,20496.323784072003,20370,19870.076404800002,21390,21703,21336.5,20855.5,22481.9,23090.234197140686,22796.111557210428,22064.692075295676,23077.707521,23940.557175204485,23389.367135005938,22596.4976587367
PIB,95259.01653650784,95607.85096354666,95597.28846806896,97920.83904496358,93076.49956862125,96111.51256645539,98237.23495711884,98994.7529078046,97175.62871706982,95869.98826102748,100188.00723399027,99341.74843463325,103089.2212329274,105435.80619336937,105526.67626914861,108168.59723793693,107214.4444444,108330.79828567144,109537.1129084993,111140.01483381099,112090.75597873516,117691.22052331692,116849.36083673072,117146.17460439069,118800,122973.58639427918,122450.97751764911,121817.53671975648,121576.22587754944,123901.25142992694,126635.3694767864,128412.17130767499,131367,135420.06273333394,134467.7483418509,138110.12831238774,135821,138423.46276190237,139101.06388740498,140613.6348806913,143813,146229.71838747727,147716.17781285004,147148.99053145284,146333.80915492508,153418.5794448396,153222.7746543547,159766,153711.90083663474,158547.6276335909,159740.6438231022,163062.82413555632,162707.10109041492,165609.90308605356,167692.7308397653,170715.4348156704,167505.8618081407,170148.15124138579,172743.07240616466,174123.91454430885,173855.3754539068,178734.17936298792,179746.14257167326,182177.70712874449,177362.3343362762,183067.20291256573,184011.11465904283,185404.22081155053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB non agriocle,79169.13772757654,79340.53905562416,80145.21746691107,81544.10076297527,79229.82496170727,83115.02654159382,84682.90809417881,85665.2404025202,85214.826726677,85296.5760536939,88159.42316542973,87991.4368395688,89411.5886866045,91762.21263242846,91638.16884602144,93452.20857075532,92129.52638830947,93457.50756665997,94637.49674164694,95520.46737112368,95575.08885650423,96473.12460785938,98120.023178261,99077.35270744302,100614.59074474162,101358.9284984098,102987.86473253169,102702.11818906205,104650.48787190136,106909.75399850006,108732.9510548379,110151.41929694991,110981.40368165953,113622.7719324823,113593.17199993454,115405.97935941079,117870.09060694132,121363.85232147945,120907.1851781296,123169.22714425495,124085.57396696451,126181.34246534668,127257.66469652278,126263.65242099125,122070.21664354923,127127.66858987678,128069.52392923408,132890.85500760295,129262.88602434298,132794.58499756228,134394.05152676348,136718.563495216,136656.70796812393,138598.1691721378,140896.76067628976,143119.49062074866,142742.21561291855,144865.4788985444,147484.00332869028,148951.30215984682,145761,149086.0078606642,150388.19760877057,152338.0228193663,149599.46408603154,153782.38095331605,155809.92229862476,155842.20242668947
somme_va,83913.20013403599,84957.92065159278,85193.62979118331,86715.24443627497,82161.41088011416,84705.29837221347,86697.27257709413,87736.01817057833,86293.15388841448,85400.04310891734,87868.2655732315,88105.99234969479,92150.45,92574.42340599395,93485.35279331407,95371.08321446854,94880.36616151217,95682.33182437505,96512.14628399862,97735.5704599963,99047.8401591438,105156.12231881662,103961.47866510908,104028.65356216651,105209,109210.25981495924,108270.86965417507,109586.26581180391,108135.01127602787,110167.63085670055,112761.93259028778,114375.10060800551,116523.4885641019,120047.75595612427,119161.46,122724.82340007585,119320.26659532219,121311.61875708785,122625.09962448715,123807.97798039138,126326.68322237051,128086.71775706022,130384.4384547258,129820.71273826147,128227.36630738752,134660.5633033541,134851.827503577,141562.10571998946,134386.3,138600.4,140188.7811462793,143637.99266492782,142448.11530828156,145343.30929769392,147410.30257982295,150795.71759151982,146328.8815751538,148979.09084866723,151628.4690915486,153426.74673637265,151720.50519429112,156337.80497776024,157448.27141122028,160386.41841672838,154692.3050997078,159944.4158873915,161999.44896492088,
va_h_agr,67823.32132510468,68690.60874367028,69741.55879002542,70338.50615428666,68314.73627320018,71708.8123473519,73142.94571415412,74406.5056652939,74326.40523414852,74822.87638747747,75830.91915481,76749.6538869388,78468.91890820491,78903.50665740875,79593.04635973964,80655.2752350353,79802.26669288674,80814.38595679156,81612.036830292,82119.26101133498,82548.1319006994,83982.02896185558,85249.49087181507,85969.04598276402,87043.26272053382,87651.27600177925,88839.6494474657,90452.2903352891,91183.76019034865,93143.52957123621,94826.76315800978,96101.60390275191,96154.18170845312,98272.83169182809,98291.68808592772,100055.98275956538,101368.30418551264,104229.37051741347,104397.08166760376,106340.6825036857,106610.59652926403,108038.92208530518,109899.08267824638,108933.06016312847,104110.07406473314,108517.05774032562,109793.02145951017,114676.74428218817,110105.02461642625,113019.57010517291,114964.28356552147,117321.5683456317,116702.7445383664,118288.8744118145,120720.94908222492,123302.45495394077,121728.53313934471,123494.76804009534,126356.44897189258,128218.24984866737,123975,126699.38784476949,128294.05584768024,130736.95970236229,127237.48992638076,130616.05778134306,133060.09602955927,133729.02614961858
industrie d-d23,15396.32447976615,14573.937411274921,14620.58006252787,14342.15804643104,14529.10077746547,15044.935692517041,15142.120767075958,15370.84276294153,15306.066047861708,15347.497977102537,15499.62518828094,15702.660954426046,16276.22042950468,16060.423637704987,16283.66625339993,16517.069262547884,16589.74460663684,17035.42803753283,17163.099672901473,17333.53683165628,17540.847024854906,17809.7905497498,17961.792230614756,17717.97238711284,17783.98976133948,17494.91271748786,17669.92781650728,17936.35665301343,17754.70773911737,18114.847897651758,18596.693449497678,18932.089750965915,19094.99739766858,19037.991749246525,18891.681465687274,19194.73942351921,19664.198041002994,19797.886242415316,19564.62588755257,20060.213469723967,20448.409620020702,20425.028250891966,20302.004483853005,19557.80324475746,20245.841791036648,20413.274166275998,20355.803356281536,20463.18673157998,20777.610770891748,20828.319598919865,21128.6781496651,21246.41469129776,21281.181916592002,21540.0383221119,21342.03720337131,21739.50867522314,21899,21590.088673524926,21949.44956647253,21759.965920112358,22039,21814.317361137095,21770.457628531996,22254.66937818334,22228.92237756886,22088.310066229573,22424.854674085705,
industrie globale D00,15940.92459922332,15054.884940542592,15089.307400265785,14822.883059968284,15099.642458565699,15645.44030648516,15763.83271464885,16033.084520300292,15998.03291961123,16016.332275546021,16102.123262227298,16299.142732870707,16509.290188642262,16314.348955672247,16612.27332764528,16878.34917243459,16742.63351094045,17228.289030484455,17426.587306635814,17481.732872821278,17375.890257602194,17655.878826862976,17918.152298980003,17740.17592326932,17865.78880764993,17530.867973200373,17855.701593462978,18043.819029647097,17827.462780532707,18230.866814449575,18754.224658625248,19149.76484338822,19019.834588750557,19142.970345567755,18931.20771393593,19194.66031443739,19647.798495941704,20042.044161784514,19751.345687816513,20174.78289276475,20450.67364144336,20635.933924959983,20460.33398251779,19660.300331185903,20096.372209380486,20405.737066522437,20391.32993390397,20428.74618272733,20463.307377255467,20794.928235360865,21163.204635221344,21195.621275010337,21372.290084688488,20971.012446913304,21837.981296734513,21928.481362115454,22027,21144.88370072191,22218.73265129167,21959.250712717287,22170,21371.169864398245,22055.473293129693,22471.56682971567,22365.99829442784,21640.035241693065,22707.11452107751,22827.842997919724
