"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4
Construction ,,,,,-0.030550713702921298,0.11788844745522506,0.06390550142282397,0.18112987389124358,0.10872403931769274,-0.029784991489071273,-0.03358595413074021,-0.03087726220601614,0.07819461011420036,0.005082165592332019,0.10592770250295318,-0.046558463639620074,0.15577321649629017,0.042631637534008435,-0.10891521966626375,-0.2794013980606826,0.08716003359078761,0.2636224097019786,0.06878157151604744,-0.14555977175473025,0.0011273355906704168,-0.5444836173188644,0.2103483099597145,0.4044168422332299,-0.027427804856431173,-0.01314957748034324,0.05656991173279032,0.040588212748057434,-0.14054239613550681,-0.021681072988830284,-0.17305078048532146,-0.07825654886653824,0.15205953511326284,0.01404444640851729,0.013936507917894997,0.027480846290193407
Secteur tertiaire,,,,,0.7028881127620519,0.46790540646579687,-0.023995191729994075,0.44891443663857494,0.38739716425203674,0.2551069908116574,1.0664810545003258,0.5579249962252719,0.15062461116792958,0.48514258844391855,0.17366999224891144,0.4658122283295211,0.22641596625517335,0.7053056314293359,0.10463967422481898,0.5623839730721075,0.6724914978296338,1.3704785100413768,-0.5823916469162314,0.015166048962596556,-1.7806119687514967,-5.4715685557035885,2.6587553137638893,1.4605776488088367,0.8858283886478626,0.5491221686949003,1.140345918175583,0.7175367965501092,0.6474406206477206,1.3038640017030123,1.0588949575225568,0.44308253169375705,0.7166195071168148,0.706379882209628,0.4706374227524357,0.4940022629914493
Commerce de gros et de détail; réparation de véhicules automobiles et de motocycles,,,,,0.3237681340894631,0.1653898740289447,-0.019219889034891694,0.07321916802594275,-0.15718194081717557,0.13514059782954552,0.27754950940763906,0.3251915903076538,0.09551999458613654,-0.03648664950264859,-0.11458016417755901,0.16552478662936973,-0.23472242923499592,0.08769671478388358,0.09647902415293177,0.16714462702360847,-0.19483958132098345,0.341606541530046,-0.05300269348520003,-0.06950864409929926,-0.16365990482252646,-1.405295994331325,1.0722217144168182,0.20007983118105482,0.26032413349680444,0.09881300636677949,0.2051814628366768,0.1640504117744806,-0.3511473658513651,0.07927890290523354,-0.0770139217602625,0.12138394790675798,0.17867967342976096,0.07108194343572798,0.025793396767323715,0.09095593891186238
Transports et entreposage,,,,,0.0974127902285606,0.08399656786795198,-0.0014100051022888894,0.04859110687774199,-0.008000074675333197,-0.10976817649968579,0.14558088255055807,-0.002923254734432925,0.018892853398700053,-0.031132938036188062,0.010969965877464774,0.009294274962163939,-0.026154694086687608,0.1277143946835071,-0.1810629386427212,0.007845761325084558,0.18612747225910176,0.3687234943939629,-0.3751803067242654,-0.1300253953086628,-0.0412686127139819,-1.3931498307810568,0.3330595686435368,0.35511043975011025,0.16842150816672932,0.0020959171567889443,0.2195763539594824,-0.07441914815023767,-0.05172154424312209,0.09431587752646586,0.08607515171337568,-0.015159036405276077,0.10302613286700034,0.03157004724950509,0.008956552627986985,0.04348529646726567
Activités d’hébergement et de restauration,,,,,0.044240865449152934,0.05169531429471824,-0.13116358934070496,0.05769052263117802,0.021946607602508033,-0.028208624231719475,0.19379297075838758,0.06984330907939412,0.10246691400516177,0.10566985067409664,0.040200117435868925,0.07475315562286008,0.10144542576180078,0.06010761841243401,-0.080684790874024,0.13231509611567727,0.044364202683739855,0.1718136233814933,-0.27393046460344983,0.15650528197988525,-1.1686358370130325,-1.774901255026496,0.2449303043753649,0.31950395873909887,0.21766093099249426,0.06434282311888341,0.1921877690305931,0.14328478075307702,0.4213026560812952,0.5560355162571218,0.6027607800752145,0.13016234848042396,0.137991922635364,0.11359719573802901,0.053566850657618244,0.018473192243173495
Information et communication,,,,,0.012734194763500746,-0.06323106287444814,-0.07242926836106907,-0.03203204821040889,0.11842628963213456,0.0912012048865029,0.04446120095524108,0.03329097627394386,-0.1985579473973076,0.06763854280527257,0.038592264293116164,0.025148928356496552,-0.026505292777510556,0.06353604346537871,0.02236394594644645,0.004400796187797099,0.0021569353020204065,0.015101798420609349,0.023807891449054278,0.028036263913658533,0.10935201180053129,-0.05720376828569744,-0.006162960477363825,0.11816907680590764,-0.1466318772368991,0.00477738489469031,0.024142434413344047,0.07994014948221086,0.014801192639966373,0.004155568575200995,0.028259564798426437,-0.044335356802702626,0.133482149809583,0.026631008675730972,-0.011451862444659696,-0.002093052324420066
Activités financières et d’assurances,,,,,0.01138248539288446,-0.0012083380055025433,0.023133051249089757,0.08985712348980313,0.04852208946179082,0.056462623374505645,0.17535394369556317,-0.04345500432954193,0.02337781890734417,0.09878580493064569,-0.006395762314292742,-0.015312450917814498,0.055258511603163966,-0.019044843216154413,0.03216162226126987,0.04854446389543348,0.14079514489752498,0.0019039100590428535,0.0542623962347062,0.034508350165526544,-0.08803449830952255,0.048455682184338024,0.03281612361182346,0.05227379866481644,-0.032778870576210165,0.12327291235720438,0.026231575506558476,0.07386820246606846,0.1840570878513446,0.14456479344017067,0.05578787291099628,0.037347253195689975,0.08141874632590237,0.06515738573520678,0.06387683911021776,0.09456560123938235
Activités immobilières,,,,,0.0007761738254402439,0.01840339849313832,0.02638736746084065,0.02966345914478292,0.0858632994392693,0.04505644197546471,0.03780244453725832,0.02651824565518353,0.0007943895102532398,0.03670036192945996,0.036989039315392935,0.037162923559939054,0.09766693508771664,0.0488698907336956,0.03767860254065331,0.029859038998628934,0.048951753744219124,0.02861603093254975,0.008368765288040073,-0.00745568881963036,-0.08539520433944019,0.011015073999715332,0.02005105546253407,0.018991929155329206,0.13918165577650818,0.04183167862357439,0.03508842548747815,-0.0013017334372180632,-0.04232539273784917,0.006863654051811607,0.013185652345327875,0.019181315458334423,0.12457432504334336,0.028096645323181468,0.006030179934357487,0.023179772229205906
Recherches et développement et services rendus aux entreprises,,,,,0.11256163670922163,0.11763233688949112,0.047182780140341066,0.07657573542842164,0.13600685878880875,-0.04892907395616524,0.07908465831230103,0.04456120732972052,0.027976660678890222,0.11993447515217127,0.03393191238222144,0.02718284255586278,0.06516826094083975,0.16739012703583506,0.016690780002703947,0.00412427131231752,0.15892944829766564,0.30749138141383014,-0.09000954678265834,-0.07866381567890508,-0.2260686361163446,-1.0590414975410012,0.8313162691949437,0.25089866171109926,0.1096403003084493,-0.10988174193383239,0.1899185751640407,0.1123957418321863,0.2191558068792985,0.05435976500775584,0.11139557959538901,0.06171055645211632,0.09322228136271168,0.08263079467788424,0.10408072463560182,0.0625262519864129
Administration publique et défense; sécurité sociale obligatoire,,,,,0.07937341129625788,0.07881761971016459,0.08030876966477235,0.08219229129755845,0.08900180318957018,0.0862994232336893,0.08629423945771839,0.08522742589928163,0.08369875538720285,0.0844228486320261,0.08456756266903576,0.0856089742644309,0.04774840461787864,0.10047941990651338,0.11539901751273736,0.13070609691361545,0.1993357719092442,0.13875833132049878,0.12927477660277623,0.12508611051281168,0.10605395587698409,0.12412752275797012,0.14093323693908938,0.13279634366971135,0.12797670777978123,0.12344569470978761,0.1243773887479059,0.12203614399168296,0.16388341758984795,0.10612574531485411,0.08620637783439467,0.06782078874103267,-0.022121886375760177,0.06071597356485232,0.07182618083744342,0.0818806939550613
"Education, santé humaine et activités d’action sociale",,,,,0.01412221593929105,0.014689242185755636,0.015600680479336586,0.016572574108827436,0.01852317148365965,0.018563504010575622,0.01914214477698473,0.0194739316492778,-0.012554053479657044,0.03305655775640528,0.04602977333391879,0.0593726579264177,0.12733118449427797,0.0622397233333738,0.05310306134704394,0.04436046089907279,0.02719943264408855,0.030284845819891076,0.024464215184849786,0.019713411882700142,-0.028339163436469465,0.027681086445149654,0.045382019248209386,0.05576850331333326,0.06186018642672829,0.07720282402290955,0.0910780621145679,0.10218662830364032,0.16263778800749784,0.10874570073871859,0.0987347549719812,0.08991073909790805,0.04022692567838753,0.08879878522170344,0.09704076838102088,0.1040395332731455
Autres services,,,,,0.005971950289168645,0.007381246312067727,0.008911689685191373,0.010463697866643949,0.018893933082151287,0.011083304855041297,0.009856742174207631,0.008534899924396537,0.005385983549168188,0.006831228835174823,0.006408934710034886,0.006058122014796071,0.007860042789084016,0.004353909190235431,0.003102016368036619,0.0018738130352190542,0.05306352831493548,-0.021382208940743365,-0.042237139384507905,-0.06443251493789896,-0.20594612277102903,-0.06340431380604511,-0.04228919058003331,-0.01198559907504798,0.07887573817561234,0.015680554779468614,0.016914703400227018,0.017668928292280093,0.028919579174214092,0.015709132263823502,0.012215950807227606,0.008985809392601435,-0.007813829094508343,0.008213407451006014,0.010543490881715642,0.01268834086441444
Total valeur ajoutée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impots net subventions,,,,,0.9385118359203498,0.13802439357330631,0.06688125095940889,0.1925317211412108,0.06144331526975897,0.2052200236199528,0.20154387564154,0.006238908978192632,0.040263493664000616,0.1378820485192027,0.16605570903784225,0.11581693150352913,-0.08269773870308574,0.08404190016112184,0.06275583642482528,0.11610938064685383,0.03302898966388897,0.0803223518182907,-0.020444202157781415,0.07691399720924419,-0.11547464079130318,-1.8123579172035125,0.8574799410801109,0.45465029300104676,0.9431093069481024,-0.40191640090093456,0.21800914077990297,0.06559063828114038,-0.192617346000656,0.29001673031980146,-0.00394025682346874,0.04323822297049594,0.2990776555715667,0.07049351039291946,0.05990610898203551,0.2573654447079159
