"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4
Fabrication de produits chimiques,,,,,5.252014691165741,-2.5357346353531374,0.6576347711827468,-0.053920297640730475,-3.082080677613608,-6.524725544790333,7.266106884970425,4.101597239813315,3.870654672499141,3.9344269054078174,-1.4944485978653943,0.06861624388241339,2.059106725701443,3.475235744705385,0.6685538764320098,1.197136679974209,1.0975097572288428,3.294970086300908,-1.5501560877622667,2.035544834979097,3.1135911763974233,1.2751755543937815,2.396187999860011,0.7669073337133181,-1.3205354745468911,-1.3488190600858596,-2.76846732141528,1.0179098076512405,-2.5868007225584466,-0.5322564385253359,0.1327189245247551,-5.5799114554920815,1.5762783450790296,-3.8749926426752235,5.910554813193092,17.874918563087782
Fabrication de produits pharmaceutiques de base et de préparations pharmaceutiques,,,,,7.462455903962462,-3.1792101235841974,2.431286457456805,-4.057106624703977,6.177985372248385,3.0805301006280983,-3.546821715472359,-3.2253095850600766,1.9002175186227266,3.3110996308830076,2.2261571191147578,2.0846388846761155,3.038474351854048,-3.1910040165562092,-0.9284375623290764,2.3411929275457766,-3.033878425109071,9.14958008502158,-1.4253350818256405,-1.3138283147035357,10.69760415473242,-16.142467134559467,5.9766032067881225,9.817753942743334,2.9172944445833515,-1.0475932237813623,-4.316937281945843,2.0117621155847365,14.001204903439657,-10.327127365328026,15.788340667685063,-2.6759963348382376,-0.05048513230061502,13.68693512667245,1.4013348344604548,-6.0062513215839
"Fabrication d’articles en caoutchouc et en matières plastiques, et autres produits minéraux non métalliques",,,,,1.5519634986449038,3.3781934838959415,-3.583189331256642,2.732866963683267,-0.24677342985675033,-1.6879147693748986,3.4122974570412357,-2.7340434665478086,0.2450935814152233,-2.034406114167897,3.1146542228456253,0.9842522357596639,-0.01005266782699854,3.0827021090838347,-1.248388962530278,-0.24055269284091185,6.630713871746563,3.2047792056114854,-3.3370646991859654,-0.27138559546773244,-5.124943403387006,-22.573597693988024,29.07533385497716,-1.0786291788456137,3.64260044092628,-0.19895651898718114,3.4498010928681655,0.9013743269053576,-3.0365015747701007,-4.7646572735990045,-2.0038932542129184,2.7334292236851354,2.653062773917725,-0.7727022065912692,6.452304216531868,-3.803577545112713
"Fabrication de produits métallurgiques de base et d’ouvrages en métaux, sauf machines et matériel",,,,,10.015567757960241,-4.205622078594084,-2.490204184054745,4.677626229668652,-1.052463295785211,3.6286471947070353,-7.743044297697866,3.8317141470344485,-8.959695052865557,16.405734481833868,-3.364738542743173,-8.422335249642199,3.830635304186014,2.5286206371538444,0.3118532605755897,-11.330762342147615,7.136770570209294,4.251252842852926,-2.356200883004922,-8.790434755987775,10.634119051622726,-34.01573654163796,35.57368155190428,4.310936481847172,6.484236112803665,-2.3335095358526403,-1.4845234524018314,19.39926599624777,-16.149463793079487,6.603129261565299,-0.499730429964218,-2.3803464506685468,-1.4120054238945356,-4.854131751202917,0.555753594787034,4.347177443127381
"Fabrication d’ordinateurs, d’articles électroniques et optiques",,,,,-1.270022292381856,0.423459985993091,-0.9001380929547498,0.9565428558087063,1.0119833252886234,-0.7603364212439345,0.0665067009278486,-2.9571943473873374,-1.0790618927244644,4.045239869819373,0.43640084214269237,0.0017473027173586786,3.732291062264892,2.0822525337677034,2.431296710831332,-0.47768005948042314,5.901953371169033,-3.3508164854111677,1.2538567304764658,-2.561679037390008,0.5699534215980684,-0.8496823130821451,-5.068608922193551,-8.10337066704041,46.17400212470899,10.660063138042775,-6.813481673205102,-20.955785834805674,26.33448774022853,4.795493849450949,0.38706895348925574,3.3669864848771214,-0.4201651353781033,1.6204028179419572,16.830637761000112,3.268375956482017
Fabrication de matériel électrique ,,,,,2.5070683294827756,-0.7614069600347717,10.279043352668115,-9.545715488784767,4.960516522527003,-2.5341397502108842,3.285778607348089,-6.217312864725488,11.640157636245995,-4.264441478827141,1.622594024640911,1.99627828932607,-4.58677117383457,7.522217803836906,-5.258370711278504,8.137357965061431,-1.5729500556943221,-1.691909880775344,2.914200313273385,7.366920657833775,-7.225241804820004,-42.332777531286844,65.216944855495,-2.694432357022525,13.536155891176382,-4.868502747872327,13.797829153474028,-17.085280166963756,9.799689733382234,20.47578530844294,-16.656702134224368,13.944703583850583,0.9467791313756635,3.0134948957962315,-6.678106496672576,1.999143982703644
"Fabrication de machines et de matériel, n.c.a. ",,,,,-2.404257447168834,6.1697533877092425,1.579764641653325,-2.4726078235594584,7.007948119868201,-0.7406947968641608,0.1276328982249053,3.883366397482302,4.258773081437872,-6.802426145231699,-2.238644923649613,-1.2172160590922299,13.650945974457551,-10.637551722971562,-0.14855080015642175,6.351704083022791,-2.692664353069718,2.7561065291895392,-0.23423941587888963,-4.490863639453979,-0.3291982787227421,-45.559941684810624,81.64720417531174,2.569137524161591,-5.209631413973415,0.6917734372912321,2.0532711605476983,-7.999396259851865,11.889451683751195,-6.404500802231716,-2.7519477811300597,6.7434255821355205,-0.46338335671974873,-6.196027753351996,0.8969282320163474,6.420612803157266
Fabrication de matériel de transport,,,,,5.22471043657271,10.475674842297655,9.38814260819909,-4.271710200097035,3.1100595765125583,1.0035121888437581,15.081382808729927,-9.796671558203018,4.9550315694624425,2.2697926424767534,-0.4593079636598496,5.747878930754813,5.719411728284252,-1.3292391573118678,3.811650677903322,1.35696712530875,11.0018514812261,-1.5217306994215307,-1.6384838949528469,-1.9695742455972942,-2.8144701805949635,-45.042187361378126,84.74111501670525,-9.186453958158792,27.468171665676877,-0.9153672855275685,0.5610910558220494,0.8210095608048196,-2.4685950427776104,14.29239480321629,3.812772576287693,-2.14780114579578,12.361906051907123,-11.561932458294354,8.245076581103339,17.489893200419935
"Autres activités de fabrication (y.c fabrication de meubles),  réparation et installation",,,,,7.230614872498231,5.463697348509133,0.9637522174843705,-2.287711748914989,1.0929319784161118,-10.754961181162148,5.328844472824157,3.535363041446704,-4.297618246832324,6.503322852113902,-5.102374476229321,0.9680706554490381,11.886963660589656,-17.15347818101889,9.397853360947984,-1.2920537119154307,3.0229240199828755,3.56613853173513,-3.4151521960133047,-4.005999863872489,-2.2879195592581003,-30.67891561575895,36.13802323533075,-2.7281906561177016,-2.9352775014729438,-1.9044475031297914,0.0932843569431574,15.655719171104998,-12.23135868910501,7.607654432498467,-0.22315243392042605,-0.5788996380728162,-1.9217077847828556,8.65193164119875,1.5623802555613908,-3.340791022424039
"Distribution d’électricité et de gaz- Distribution d’eau, réseau d’assainissement, traitement des déchets ",,,,,4.467991933897952,0.6123514996847712,1.0402886424545343,-0.45523381486148873,0.014725587544806018,-1.702862108634151,7.374129149866548,-3.5326886053202555,-0.713529077660624,2.5620892480436197,0.4833775617808067,3.955338438874967,2.2586116259503575,-1.6032511081177536,4.2058689568440055,6.436626146403057,9.69862765736178,-1.232045930106318,-1.5109208387426798,-0.6249822277102135,2.158266098981332,-9.245835370444954,12.121423578889123,-1.58961127178332,2.199524008931908,2.562878759776299,1.600010756535064,1.3913425114796096,-6.160975882863518,0.9063665825550737,-0.4794525959685103,-3.0366203261224634,-11.520129729181306,4.835098068351273,0.20757287920722955,-1.0422706952199823
