"Valeurs ajoutées en volume (prix chaînés, base 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007:1,2007:2,2007:3,2007:4,2008:1,2008:2,2008:3,2008:4,2009:1,2009:2,2009:3,2009:4,2010:1,2010:2,2010:3,2010:4,2011:1,2011:2,2011:3,2011:4,2012:1,2012:2,2012:3,2012:4,2013:1,2013:2,2013:3,2013:4,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4
Transports,6305.654734897542,6444.180820059819,6554.440765501888,6650.723679540753,6893.638526891542,6466.254563640934,6585.801391268511,6235.305518199011,6371.071071938047,6599.071071938047,6674.071071938047,7257.071071938047,6863.182697955515,7002.471355665969,7099.952373625108,7245.271889746959,7411.66930374029,7497.236396333578,7592.216291067382,7683.803812262253,7780.445940465712,7704.891751249711,7678.916597374711,7742.270937662712,7740.112979792238,7768.991884317237,7869.467108171238,7845.906506898237,8042.816958773884,8132.276693479884,8084.815559617884,8081.628974398885,8261.844600594306,8373.630438759306,8338.551768785306,8391.823383480305,8322.95454452847,8368.85682061847,8538.09107716347,8594.73968222747,8600.158439424353,8603.961202954351,8851.546951990353,9033.938986730353,8943.86793516947,9071.71999118547,9124.470287285469,9236.51515003147,9500.324719342476,9675.878659208476,9786.918531343477,9831.932695221476,8716.819161971955,3829.307185069357,6239.078213640275,7588.747405170349,7766.685873317012,5456.7627387238335,7093,8006.1285124547185
Postes et télécommunications,5651.39512129175,5901.41075699975,6188.57845158775,6264.61567012075,6408.823921638,6351.580177602,6260.33986098,6527.256039779999,6953.624416030148,6822.553035866148,6762.254147586148,6695.667455998148,6835.462872494277,6888.048438729276,7364.899348139277,7549.214566794277,8302.811433700877,8189.836415448877,7595.308175435876,7266.0949312058765,9785.59835801195,9998.25848430995,10334.39084472595,10499.57619513195,10263.92027154723,10336.15934732723,10500.65241289523,10702.99123194723,10781.708060111107,10793.667633147108,11074.369348752107,11340.695987250107,11858.43808140337,11446.57355572737,11098.51318826137,10805.40565272637,11836.108791312068,12082.855949237068,12210.958038795068,12197.230953181068,11977.63633548327,12174.643576368113,12282.653958903802,12263.109548591588,12375.364897589068,12577.350093029097,12589.807677122173,12514.696367230237,12820.70518338414,12783.20920014526,12783.114258577461,12860.540176993945,12824.097639480493,12440.52886776919,12272.453776225559,12738.318647061356,12311.133733901273,12191.718290413806,12137.456784687078,12485.816425758489
Activités financières et assurances,7657.260991012103,7919.632643744537,8178.489451697544,8410.616913545817,8262.419641549071,8243.544498296473,8318.668557405706,8534.36730274875,8312.25105253069,8432.50878361145,8655.33553290585,8803.898154454495,9388.4098218177,9605.67770212821,9891.851313300554,9773.467836557229,10060.82358488949,10437.335754251932,10640.591275741588,10837.389103062995,10766.374931115442,10958.140790304846,10995.291601479024,11018.619218777629,10730.884161275826,10901.630362684726,11045.166786434664,11134.280586821627,11108.880387261137,11193.40793983885,11380.085823675465,11215.994766433314,11312.333840237376,11555.211494989795,11496.40406625187,11691.494041378306,11462.495744658223,11451.955153375702,11548.77424906619,11694.415234351956,11831.881620138298,11918.376642660009,12034.341259626788,12127.154011156741,12252.35574399331,12318.58984326305,12421.400855159698,12526.739332062374,12823.795786147355,12861.944273738838,12900.070249284212,12902.434269430341,12949.539446888752,12850.515865850957,12750.958106065627,12615.524164121463,12535.154184588311,12872.46261559922,12769.6,12375.829205003156
Administration publique générale et sécurité sociale,12471.37102125675,12631.051887540749,12792.65044107575,12806.926650126748,13220.76936961375,13379.44926579475,13599.75859710575,13777.02276748575,14849.206889271343,15053.503600650343,15166.788529685344,15074.862413615345,14883.853821768853,14965.607593386852,15228.931336573853,15531.441614560852,16067.695348922225,16438.490577638226,16914.514824328224,17209.127833892224,17117.741386430407,17223.837340248407,17688.864755178405,18023.006156807405,18068.352535178004,18225.841650896007,18133.293406816007,18228.569716378006,18562.23190905102,18626.48344413302,18602.21120924002,18717.77391837602,18650.529966697908,18709.04049758591,18720.853319074908,18793.04247934491,18862.560907299572,18981.984492620573,19085.186191527573,19150.14906855257,19338.767155609505,19379.5619903635,19488.266543779504,19669.268504669504,19699.89410746241,19811.43157785241,19952.01945749441,20163.51813458241,20514.317908886736,20724.504447740735,20989.438138788737,21366.376537185737,21456.91014468733,21560.69421839733,21587.334443638327,20920.42629258433,21916.08802178364,22185.95435073085,22709.87583470752,22050.129312383884
"Education, santé et action sociale",13975.743439652,14114.59619113,14120.390997673,14195.269371545,14459.820725720252,14503.591154167252,14587.181507382253,14636.406612730252,14622.16055351566,14679.92711028866,14821.75933526966,14995.05610704466,15230.535439798872,15379.007449397872,15518.232873315872,15619.633002186873,15563.785390945677,15662.947318240678,15727.781382569678,15750.248465974679,16313.87534816217,16589.84197749717,16958.97440164017,17267.14201402617,17386.125015420657,17570.02076049466,17704.69144966966,17819.844763962657,17899.92314398155,17917.25784057555,17862.15574985555,17801.89050237055,17922.258354809157,17962.438588386154,17897.259863201158,17799.807855343155,18086.497729800863,18185.935607547864,18247.773570296864,18049.332911802863,17956.38062945315,17939.39977499615,17956.09090594915,18089.21801290415,18037.544808064,18064.785466657,18126.828582616,18233.698165444,18334.222575583783,18432.221410504782,18631.42923736378,18821.503937760783,18488.950199259525,18931.247582419524,19268.817811212524,18409.367549755527,18681.235281331825,19290.941286485493,19808.344709926474,18961.648576248193
Services rendus aux entreprises et services personnels,20123.652897328,20441.118904321902,20763.219274956802,20831.008923393303,20841.813788240997,20508.7734906163,20628.7110840688,20554.701637073897,21264.96074910833,21508.573775579032,21691.89557580653,21875.13684126513,21608.193329848094,21757.053532238897,22142.465447040195,22388.523220965297,22655.712000793075,23140.921274886176,23193.386891649276,23429.119772457176,23453.379110930484,23921.76041640848,24289.639963326383,24722.18339569148,24147.026203811747,24406.715748255647,24612.226124138946,24793.305476650847,24793.992989259652,25004.512435207052,25195.20929867155,25321.592062264153,25779.81876345096,26066.88242725646,26167.34338336966,26395.39742110126,26783.81329427292,27066.16020550732,27432.74137935722,27582.87211118652,27591.1297258581,27994.919309839697,28267.131743887297,28633.4141807831,29018.394455085454,29302.237657574056,29650.109091782953,30001.794319283654,30584.97201311645,30735.65267357501,31047.229518425815,31343.64498619252,32504.096486306007,28115.0361915927,30259.612264810312,30904.398554501713,32712.122703818364,32838.36227178027,31621.294816726775,31646.104119809756
Total valeur ajoutée,141460.96339081324,142923.2458267309,145010.07641092903,147224.7113155371,153007.28543113262,152911.03493958694,155190.07168227667,153378.63085976135,154030.91141861997,157079.31830919135,160313.49661162027,163453.54665582525,161385,164332.0668677545,167865.87420189206,170865.67254412422,172007,175480.16055781624,177355.3599313866,181404.6798503058,177097.09488843632,179659.23694599865,182061.88177364515,186420.1389936456,,,,,188476.89842920515,191799.08075835498,192166.32660774246,194445.08369886503,193810.78031187065,196929.5191142227,197765.4149448196,201388.0752553763,,,,,,,,,,,,,,,,,,,,,,,,
impôt-sub,15689.525893865031,17962.803675278938,18525.753948944053,18732.91648191199,16427.73685129197,18224.56553464974,17652.87274052468,19092.824873533642,18257.08691651838,21900.64131657043,20492.008979507285,19692.708206493702,18764.351812741512,20261.751404956765,19335.641081052618,19696.566668693602,18964.109221246657,19500.808804240267,18206.934919407246,18425.863878714263,18463.241264300035,20572.133171248464,20474.459821541914,20659.482946126194,21932.844957363697,23662.276123015534,23658.33340766545,22657.073486775782,22747.842320393847,25272.25825753724,26611.051577535287,26174.502379110654,27272.74284325313,29751.158602860676,31204.861790172217,30869.66540622083,29476.395071395673,32276.847336381757,34349.51516647608,33434.065078220796,30426.085984812056,33093.985805553086,35240.58985415646,34773.82014180567,32058.522692600513,34664.07202391308,36731.69516187498,36202.85890602489,32878.65680895967,35345.054124480994,37491.71139426435,36637.508656675884,33376.93671037441,29098.67125148863,34462.73662891437,34558.60912608612,33242.27896963619,33323.17987850467,37118.74370450126,35593.299749200516
pib aux prix de l'année precedente chainés,156857.31636965665,160833.85880144415,163688.3384926165,166150.48633628272,169173.89600329928,171122.23195562352,172995.9494419421,172592.92259913508,172014.41724158073,178930.3487987891,180872.5697280556,183174.95908386048,179964.24140585764,184618.52172212314,187253.33744893735,190438.28343568428,191543.32575362117,195314.33379145924,195477.33956670403,198876.85223749746,195824.32024289374,200141.878338908,202365.59416037114,206394.23268918393,205417.98927658252,210136.8371004497,211599.97299013563,214068.96490721378,210937.78105282885,216030.13449323695,217749.52902071373,219009.57980659802,220599.63748225998,225505.4963233172,227374.25626410852,229429.97397553336,222866.3827217363,225854.29542128101,230369.42551132987,233388.02504652584,231328.19062017542,236926.38363315025,239215.49741653114,243779.1624739418,239973.18140875452,243855.10515711096,246455.57485416753,250915.48007274256,247375.5720336625,250224.24392040394,252410.67831895588,256777.89310028602,249490.90946231238,214788.0166370722,235557.96797984105,243591.7513118704,251866.72819413777,247494.84704544613,253881.6559909797,259741.8384403102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
