(En QX/ ha),80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/2000,2000-01,2001-02,2002-03,2003-04,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blé tendre,5.850851682592439,13.420480055258158,10.608147289069295,11.157779899086323,13.070069426587812,17.670340293890177,11.049567136309625,18.595725367222315,14.800575460711105,13.58975231355471,19.500035803795203,7.722456140350878,8.003144386844564,18.55930917789836,5.681188463884291,18.568933027756557,9.434968437664388,14.461067455862842,8.390197050439955,5.230891632373114,13.21184523464238,13.327104946409124,17.830274261603375,17.99646733565431,11.026118424503068,20.76458324114989,6.182349028227674,13.107438943935538,21.594949228471876,16.621329370163483,19.56764298279489,12.586452048115534,22.29340326649847,17.803909986582255,24.909736365004797,11.779015738037822,21.301595526950646,25.959379844141566,15.893142891009305,9.557235421166308,26.966568744315026,11.822343717482262,18.588440424204617,14.838202821035438,,
Orge,4.66325568870338,11.403664793549963,5.707876139111028,6.606914393226717,10.666414840930077,14.414030261348003,6.66800604882264,13.820542573623563,12.499979157113676,8.851877924551742,13.79999151427723,4.839849523041784,4.77417705039985,14.40485594795539,3.8497941083306935,15.763938608402253,6.634468937875751,8.12028029678483,7.1213643830321764,2.073881558487716,5.433866415804327,8.334898122253295,11.561394220163248,11.87702766662364,5.05621786847475,11.582776640933456,3.825371225042641,6.203826655794452,17.34474335715595,13.37040896066684,11.439923423632843,6.3461437263197915,13.840788572009558,10.33362494258713,16.983263131696443,5.133476316661145,12.323233938204512,18.26170403082543,11.056751095029517,4.31400481540931,18.66937674289931,6.122947638909875,10.87357004183709,9.502508514931169,,
Maïs ,2.4802213001383127,6.170707323169208,5.9420423183072675,6.881126173096975,8.000997008973082,8.182933333333333,6.515200868621064,9.031029263370334,9.934401972872996,11.59797657082002,8.700077901843677,4.753086419753086,2.064862446879893,6.261124845488256,1.3033040784718637,9.273767258382643,10.981231671554252,6.4788368336025846,4.1202416918429,3.999157894736842,2.1070023603461845,7.493594574227582,5.211998378597487,9.151898734177216,2.0357432981316004,12.197703035274815,4.155059132720105,5.5160304647238565,9.150782997762864,12.13168187744459,11.532701367464352,7.645881355932204,6.633119034250422,7.087256186317322,7.506449447077409,9.276851585014407,9.361852579890167,7.989040208398007,6.39652448657188,4.20393811533052,5.306683540989329,3.112413991075079,1.2939068100358422,7.226311946160373,,
Autres,6.928669410150931,9.727886563133083,8.244883556810143,8.181818181818196,7.793339862879545,13.635382955771332,12.057988165680447,12.050223214285673,10.160353535353405,9.460526315789552,12.163720930232715,8.556806550665398,10.55058191584612,15.479219677693008,3.2664092664092976,13.101295641931946,9.394459102902333,9.415220293724973,9.806722689075514,9.565502183406045,11.774305555555616,10.8,12.203454894433472,13.850427350426965,12.421333333333333,15.109619686801151,10.870629370629443,15.079834417504564,17.473572815533302,19.123616236162427,9.338675060809921,20.924387917329216,21.314053003388644,14.554366972477066,21.64039229422053,20.181581920903902,22.58032128514055,36.4627206645901,29.836575875486062,29.727272727272513,27.337841889595225,10.394060536836072,36.836683706807065,3.898214028329217,,
Légumineuses,2.1941428101349127,7.51831750339213,6.933155080213904,5.536640360766629,7.5869140625,9.334463502193858,5.923527190332326,9.325186412593206,7.0972619534123425,6.704617834394905,10.077286003145359,3.4309195912927586,2.400868755817561,7.978373702422146,2.7649478013286934,8.753762407941082,5.891280353200884,6.408638743455497,3.8695001496557913,2.4942277691107644,5.145767027371101,6.19109947643979,6.460896187030337,6.606301369863014,4.238255561025579,8.903779147681586,3.8218808946375638,5.245642263341378,7.330497208189312,7.091536916122552,7.904629864622901,6.799043008048289,7.326114885114885,8.387626723223754,6.442398097439545,3.431634404803956,7.296314893617021,8.528713949742658,7.231711247180148,5.499448326590659,11.496941793573459,4.487552219846672,6.197772628746543,7.316417526676874,,
Oléagineuses ,5.678800856531049,9.4989898989899,11.034965034965033,10.023941068139964,9.044293015332197,9.872648335745298,12.667277726856096,15.410437235543016,8.790748898678412,9.37027027027027,6.916344916344917,8.248062015503876,3.143767423337316,9.303991811668372,3.5445682451253484,11.902662993572083,8.512195121951219,8.266460108443068,8.145873320537428,9.882960413080896,9.942381562099873,10.501424501424504,8.939200000000001,11.964370546318289,9.116083916083916,10.708502024291498,14.400857632933107,15.590814196242171,15.392857142857144,12.774390243902438,16.015336705488455,19.466433566433565,17.15457227138643,17.570875331564984,16.893449612403103,12.387422018348623,16.58082191780822,19.98701133144476,16.288659793814432,16.28368794326241,19.049798731808448,15.63243590086357,15.255028430790123,20.31565272671992,,
Tournesol ,5.8389261744966445,4.906249999999999,8.040816326530612,6.498293515358362,6.930835734870317,8.91958762886598,11.706214689265536,14.187615526802217,8.577402135231317,9.862562189054726,6.318082788671025,7.439633214467651,1.9390774586597042,8.985228951255538,1.7737341772151898,11.599791013584115,7.099597585513078,6.072906403940887,5.387055837563452,4.661654135338346,5.868794326241135,6.70281124497992,8.756521739130434,7.862619808306709,3.496153846153846,2.8620689655172415,8.930747922437671,12.670588235294119,11.685581395348837,9.571532258064515,13.339539468280263,15.141880341880343,11.17,13.09483253588517,14.194634146341462,7.95690765171504,12.570039116185644,17.328179723502306,13.270270270270272,12.108108108108109,15.104998157927053,11.460961922338143,13.143999193710945,19.34098639455782,,
Arachides,5.60377358490566,11.100817438692097,13.553648068669528,14.155999999999999,12.1,12.11650485436893,16.796116504854368,19.348214285714285,9.798319327731091,6.099173553719008,11.570621468926555,15.14782608695652,16.140845070422536,10.023333333333333,16.558139534883722,14.09848484848485,12.423398328690809,16.333333333333332,16.70472440944882,21.32967032967033,20.52995391705069,19.774509803921568,9.81860465116279,23.85185185185185,24.102564102564102,22.3,25.181218274111675,19.716346153846153,22.769162995594716,28.58165938864629,22.258968609865473,23.45032258064516,23.797546012269937,23.836024844720495,24.25179856115108,23.644155844155843,25.412517780938835,24.924031007751935,25.928104575163395,26.235714285714288,27.377585950290218,26.559510141599695,26.938181818181818,27.762039660056658,,
Cultures industrielles,363.90860927152323,349.11042944785277,341.92441266598564,386.0151515151516,308.51805985552113,377.5855263157895,321.9955673758865,325.70546318289786,310.0605577689243,306.8112633181126,283.0956340956341,260.13721413721413,282.01509951956075,269.69867549668874,238.8210191082802,237.4343302990897,206.14601226993867,242.06187389510904,278.32930513595164,272.69695003244647,224.39859762675297,169.17060593038246,188.9646288209607,186.3389908256881,214.734243697479,207.94010782934836,211.73708079723116,222.89779326364695,256.49674149167265,223.95562043795616,195.62615859938208,144.12599734042556,177.46170634920637,574.2345436622032,616.6335691642652,661.7415256410255,627.8574561403509,690.0523141945774,614.8613138686131,637.4639769452449,582.6782449725777,412.8315699744271,319.2961710257933,239.6962265643541,,
Betterave,370.3427065026362,406.20175438596493,390.4313725490196,475.60075329566854,398.6785079928952,475.5144927536232,453.0988467874794,487.79445350734096,455.94770206022184,464.01088646967344,438.7528901734104,528.6122840690979,506.7820512820513,499.82352941176475,467.71084337349396,484.93650793650795,415.39586645469,566.8012048192771,504.10903426791276,532.9759704251386,536.0926275992439,501.99159663865544,528.2758089368258,527.2743801652892,475.04172661870507,517.7310719792258,491.4005934718101,508.5520597948896,482.2014010507881,476.6951076320938,587.0676982591876,523.0450160771704,575.8658602150537,605.3993490566038,636.3936781609195,705.5054364548495,647.4182384495588,687.1323000000001,657.0960854092527,630.4774305555555,569.4668141592921,489.2612259627778,469.21939850584243,522.0500000000001,,
