trimestre,Appartement - prix (var. trim. %),Appartement - transactions (var. trim. %),Bureau - prix (var. trim. %),Bureau - transactions (var. trim. %),Foncier - prix (var. trim. %),Foncier - transactions (var. trim. %),Global - prix (var. trim. %),Global - transactions (var. trim. %),Local commercial - prix (var. trim. %),Local commercial - transactions (var. trim. %),Maison - prix (var. trim. %),Maison - transactions (var. trim. %),Professionnel - prix (var. trim. %),Professionnel - transactions (var. trim. %),Résidentiel - prix (var. trim. %),Résidentiel - transactions (var. trim. %),Villa - prix (var. trim. %),Villa - transactions (var. trim. %),Appartement - prix (var. annuelle %),Appartement - transactions (var. annuelle %),Bureau - prix (var. annuelle %),Bureau - transactions (var. annuelle %),Foncier - prix (var. annuelle %),Foncier - transactions (var. annuelle %),Global - prix (var. annuelle %),Global - transactions (var. annuelle %),Local commercial - prix (var. annuelle %),Local commercial - transactions (var. annuelle %),Maison - prix (var. annuelle %),Maison - transactions (var. annuelle %),Professionnel - prix (var. annuelle %),Professionnel - transactions (var. annuelle %),Résidentiel - prix (var. annuelle %),Résidentiel - transactions (var. annuelle %),Villa - prix (var. annuelle %),Villa - transactions (var. annuelle %)
T3-2021,-0.6,-46.0,,25.2,1.5,,,-40.9,-1.0,-3.4,0.0,,-0.9,,-0.5,-45.1,-2.1,,-7.4,-19.0,,62.5,-3.7,,,-10.1,-8.7,2.8,-1.3,,-9.5,,-6.3,-17.1,-7.1,
T4-2021,0.3,44.8,-0.4,,-0.2,20.9,0.2,35.1,2.7,26.8,0.9,24.0,2.3,20.6,,43.2,-1.4,33.1,-8.8,-17.6,-0.6,,-3.7,-16.5,-6.0,-14.7,-6.3,7.0,-3.2,4.4,-5.2,6.5,,-16.8,-7.1,-32.3
T1-2022,-0.2,-10.2,-5.8,,0.0,-11.2,-0.3,,-0.6,,-0.6,-10.2,-2.5,,,-9.8,0.5,16.5,-6.6,-6.7,-13.5,,-2.9,-15.7,-4.9,,-6.8,,-2.4,-4.6,-8.6,,,-6.6,-6.6,-8.2
T2-2022,0.2,,8.5,,0.1,-3.7,0.2,4.6,,-0.8,-0.2,,1.1,-1.9,,8.1,3.7,5.8,-0.5,,1.9,,1.8,-37.7,0.4,-22.5,,6.2,0.5,,-0.4,7.2,,-20.4,1.2,-15.8
T3-2022,0.4,11.1,1.9,,0.8,13.8,0.6,,1.8,4.5,1.6,14.6,2.0,4.9,,11.3,-2.8,12.7,0.6,61.7,3.0,,2.3,19.8,1.3,,2.4,15.1,1.7,40.7,2.5,11.4,,60.8,0.3,92.7
T4-2022,-0.7,,0.1,-12.4,-0.7,-1.3,-0.7,-4.8,0.0,-4.9,-1.5,,0.0,-6.1,-0.8,-5.5,-2.2,,-0.3,,2.4,-12.5,1.2,-5.1,0.3,-5.2,0.5,-16.8,0.5,,0.5,-16.2,-0.1,-3.5,0.3,
T1-2023,0.0,,-0.6,18.5,0.9,-10.6,0.3,-14.8,1.3,-7.4,,,1.1,-3.7,-0.2,-17.3,-1.2,,0.0,,7.1,12.0,2.0,0.0,0.8,2.5,2.1,1.8,,,3.7,3.5,-0.1,3.0,-0.5,
T2-2023,-0.5,,0.5,-7.2,0.3,-15.7,-0.3,-12.0,-0.3,-18.8,,,-0.4,-16.9,-0.5,-10.3,-1.5,,-0.4,,0.6,21.0,0.9,-6.9,0.1,-4.9,2.4,-7.5,,,2.1,-3.2,-0.5,-4.7,-5.7,
T3-2023,,,3.5,-9.2,0.3,,0.7,-4.5,0.8,-15.9,,,1.3,-14.7,,,,,,,3.5,4.0,1.1,,0.3,-7.2,1.2,-16.5,,,1.7,-13.2,,,,
T4-2023,,,,-3.1,0.3,13.2,,2.0,-1.4,11.3,,-4.7,,8.6,,-1.4,,3.7,,,,14.2,2.1,1.6,,-3.1,0.4,-1.3,,-10.7,,1.0,,-4.8,,-11.9
T1-2024,,-13.9,,-1.6,-0.1,,,-13.8,0.7,-19.9,,-21.3,,,,-14.3,-2.3,-18.5,,-2.2,,-7.5,1.2,,,-3.1,-1.5,-16.3,,-13.7,,,,-3.1,-0.2,-21.6
T2-2024,,,,,0.5,-10.2,,-8.2,,-17.2,,,-0.3,-15.9,,-6.7,,3.0,,,,,-0.6,25.6,,12.1,,-3.0,,,0.4,-2.3,,11.1,,-2.6
T3-2024,,-31.4,-4.0,-29.2,-0.4,-15.9,,-28.9,-0.4,-43.7,,-11.2,,-41.1,,-30.4,-0.9,-22.8,,-14.9,-2.4,-17.7,-0.6,3.4,,-13.1,-0.7,-31.8,,-12.0,,-29.2,,-14.8,-1.9,-20.1
T4-2024,,,2.2,,1.4,35.2,,43.9,,74.4,,24.2,,79.9,,42.7,,46.1,,,0.1,,1.0,16.5,,17.7,,1.2,,6.8,,10.8,,18.9,,16.9
T1-2025,,-29.0,,-40.5,-2.5,-33.1,,-30.3,,-28.9,,-34.6,,-31.4,,-29.3,-1.1,-31.8,,-14.5,,-9.5,-0.1,-16.4,,-15.2,,-20.0,,-15.3,,-18.2,,-14.5,-0.7,-8.9
T2-2025,,,,,,,,-10.8,,-13.3,,-16.2,-0.2,-13.3,,-15.1,,23.7,,,,,,,,-21.2,,-22.5,,-26.9,-0.3,-20.9,,-25.9,,11.4
T3-2025,,15.7,-0.8,12.3,1.3,9.3,,14.0,0.7,11.9,,19.3,,12.0,,15.7,-0.8,9.7,,26.7,0.9,43.6,1.0,21.0,,26.6,1.7,59.4,,1.9,,56.2,,25.7,1.8,62.3
T4-2025,0.1,15.4,,49.2,0.4,25.4,,18.4,0.4,25.2,0.5,8.5,,29.6,0.1,15.0,2.3,13.8,0.3,0.4,,4.7,0.0,12.0,,3.6,0.2,8.2,0.1,-0.9,,7.5,0.2,0.6,2.4,23.0
T1-2026,,,,,-3.0,,,-40.2,-1.1,-40.4,,-51.6,,-40.2,,-38.4,,-53.1,,,,,-0.6,,,-9.3,0.0,-4.9,,-25.3,,-3.6,,-10.7,,-13.6
