trimestre;categorie;indicateur;variation_trimestrielle;variation_annuelle;confiance;fichier_source
T1-2018;Maison;transactions;4.0;3.6;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Professionnel;transactions;13.8;6.2;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Résidentiel;transactions;-3.3;-3.0;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Villa;transactions;7.1;-13.6;haute;DERI-IPAI T1 2018VF .pdf
T2-2018;Appartement;prix;-0.1;0.1;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Bureau;prix;-0.5;1.8;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Foncier;prix;1.0;2.4;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Global;prix;0.0;0.9;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Local commercial;prix;-1.9;1.0;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Maison;prix;-2.0;-1.4;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Professionnel;prix;-1.7;1.4;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Résidentiel;prix;-0.3;0.1;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Villa;prix;3.6;3.6;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Appartement;transactions;4.2;-5.5;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Bureau;transactions;-12.8;-7.3;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Foncier;transactions;-7.2;13.4;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Global;transactions;0.4;-0.5;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Local commercial;transactions;-9.1;8.6;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Maison;transactions;-1.1;8.5;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Professionnel;transactions;-9.6;6.3;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Résidentiel;transactions;4.2;-4.4;haute;DERI-IPAI T2 2018 .pdf
T2-2018;Villa;transactions;17.9;12.3;haute;DERI-IPAI T2 2018 .pdf
T3-2018;Appartement;prix;0.1;-1.1;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Bureau;prix;-13.5;-9.7;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Foncier;prix;-1.5;-0.9;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Global;prix;-0.3;-0.7;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Local commercial;prix;2.3;3.8;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Maison;prix;1.6;0.4;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Professionnel;prix;-1.0;1.0;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Résidentiel;prix;0.4;-0.6;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Villa;prix;0.9;1.8;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Appartement;transactions;0.9;-1.7;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Bureau;transactions;-1.7;14.8;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Foncier;transactions;-4.8;4.7;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Global;transactions;-1.1;0.3;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Local commercial;transactions;-9.1;-0.4;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Maison;transactions;5.3;10.0;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Professionnel;transactions;-8.2;1.5;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Résidentiel;transactions;0.8;-1.0;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T3-2018;Villa;transactions;-17.9;8.0;haute;DERI-IPAI T3 2018VF 15 nov.pdf
T4-2018;Appartement;prix;0.1;0.6;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Bureau;prix;12.0;-3.3;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Foncier;prix;0.8;-2.4;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Global;prix;0.3;-0.4;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Local commercial;prix;-1.1;-0.5;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Maison;prix;-1.2;0.8;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Professionnel;prix;1.4;-1.2;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Résidentiel;prix;0.0;0.8;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Villa;prix;1.5;5.9;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Appartement;transactions;8.1;14.6;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Bureau;transactions;14.8;30.7;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Foncier;transactions;15.7;-0.7;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Global;transactions;11.2;12.4;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Local commercial;transactions;21.3;16.6;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Maison;transactions;17.1;30.7;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Professionnel;transactions;20.5;18.3;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Résidentiel;transactions;9.1;16.0;haute;DERI-IPAI T4 2018vf .pdf
T4-2018;Villa;transactions;32.0;39.7;haute;DERI-IPAI T4 2018vf .pdf
T1-2019;Appartement;prix;-0.9;-0.2;haute;IPAI T1 2019.pdf
T1-2019;Bureau;prix;3.6;-3.2;haute;IPAI T1 2019.pdf
T1-2019;Foncier;prix;-0.4;0.3;haute;IPAI T1 2019.pdf
T1-2019;Global;prix;-0.7;-0.2;haute;IPAI T1 2019.pdf
T1-2019;Local commercial;prix;0.1;-0.2;haute;IPAI T1 2019.pdf
T1-2019;Maison;prix;-1.3;-1.4;haute;IPAI T1 2019.pdf
T1-2019;Professionnel;prix;0.9;-0.5;haute;IPAI T1 2019.pdf
T1-2019;Résidentiel;prix;-1.1;-0.3;haute;IPAI T1 2019.pdf
T1-2019;Villa;prix;-5.1;0.0;haute;IPAI T1 2019.pdf
T1-2019;Appartement;transactions;-13.0;4.4;haute;IPAI T1 2019.pdf
T1-2019;Bureau;transactions;8.2;11.0;haute;IPAI T1 2019.pdf
T1-2019;Foncier;transactions;-12.2;-7.4;haute;IPAI T1 2019.pdf
T1-2019;Global;transactions;-12.7;1.1;haute;IPAI T1 2019.pdf
T1-2019;Local commercial;transactions;-11.0;-6.3;haute;IPAI T1 2019.pdf
T1-2019;Maison;transactions;-15.8;6.6;haute;IPAI T1 2019.pdf
T1-2019;Professionnel;transactions;-8.5;-4.0;haute;IPAI T1 2019.pdf
T1-2019;Résidentiel;transactions;-13.4;4.5;haute;IPAI T1 2019.pdf
T1-2019;Villa;transactions;-21.5;2.7;haute;IPAI T1 2019.pdf
T2-2019;Appartement;prix;-0.3;-0.2;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Bureau;prix;-1.0;-4.3;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Foncier;prix;-0.8;-1.9;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Global;prix;-0.6;-0.9;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Local commercial;prix;-1.6;-1.0;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Maison;prix;-1.1;-1.0;haute;DERI-IPAI T2 2019 VF.pdf
