,POISSON PELAGIQUE,CEPHALOPODES,POISSON BLANC,COQUILLAGES,CRUSTACES,POISSON PELAGIQUE (2),CEPHALOPODES (2),POISSON BLANC (2),COQUILLAGES (2),CRUSTACES (2),ALGUES,ALGUES (2),MEDITERRANEE,CALA IRIS,FNIDEQ,AL HOCEIMA,JEBHA,M'DIQ,NADOR,RAS KEBDANA,SIDI H'SAINE,TANGER,ATLANTIQUE,AGADIR,AMEGRIOU,BOUJDOUR,CASABLANCA,DAKHLA,EL JADIDA,ESSAOUIRA,IMESSOUANE,IMI OUADDAR,JORF LASFAR,LAAYOUNE,LABOUIRDA,LACRAA (CAP 7),LAKRAA,LARACHE,LMHIRIZ,SAFI,SID ELGHAZI,SIDI IFNI,SOUIRIA KDIMA,TAGHAZOUT,TAN TAN,KSAR SGHIR,DAKHLA (STOCK C),LASSARGA,MOHAMMEDIA,NTIRIFT,Imoutlan,TARFAYA,ASILAH,MEHDIA,MARTIL,AGLOU,OUED LAOU,RKOUNTE,AINBIDA,CHMAALA,INOUAREN,TIFNIT,Sidi ABED,KAA ASRAS,TAFEDNA,TARGHA,Lahdida,AMTAR,BHIBEH,SALE,BELYOUNECH,TAROUMA
2011-10-01,1430264.0,1377715.0,1003120.0,7001.0,241328.0,631721.0,25926.0,59141.0,1421.0,7210.0,20472.0,51823.0,22574.0,242.0,55.0,8001.0,402.0,3870.0,7417.0,1164.0,417.0,6885.0,723365.0,45170.0,318.0,2809.0,16168.0,105300.0,7668.0,8085.0,1402.0,140.0,14329.0,181967.0,3155.0,947.0,794.0,17792.0,1129.0,21015.0,825.0,8451.0,694.0,88.0,69120.0,99.0,188309.0,3975.0,1698.0,1992.0,811.0,902.0,25.0,5202.0,12.0,68.0,994.0,17.0,23.0,,,,,,,,,,,,,
2011-11-01,1542714.0,1582510.0,1058816.0,7161.0,251974.0,696563.0,28772.0,62458.0,1463.0,7599.0,20673.0,52325.0,24015.0,264.0,63.0,8475.0,429.0,4071.0,7982.0,1248.0,434.0,7176.0,793570.0,47207.0,335.0,2974.0,16957.0,113057.0,7768.0,8257.0,1434.0,149.0,15911.0,211602.0,3643.0,1029.0,794.0,18524.0,1262.0,22828.0,948.0,8598.0,724.0,93.0,79149.0,102.0,200434.0,4772.0,2017.0,2424.0,900.0,949.0,25.0,5403.0,14.0,71.0,1035.0,17.0,23.0,,,,,,,,,,,,,
2011-12-01,1700318.0,1813087.0,1179887.0,7621.0,274834.0,781730.0,32445.0,70014.0,1523.0,8449.0,20705.0,52488.0,25771.0,308.0,72.0,8972.0,466.0,4382.0,8727.0,1325.0,465.0,7596.0,889169.0,51449.0,369.0,3195.0,18165.0,130010.0,8673.0,8469.0,1498.0,157.0,18016.0,234707.0,4128.0,1211.0,797.0,20452.0,1446.0,24861.0,1064.0,9076.0,787.0,100.0,100242.0,105.0,217982.0,5259.0,2457.0,2774.0,1045.0,1063.0,29.0,5829.0,20.0,74.0,1035.0,18.0,23.0,,,,,,,,,,,,,
2012-01-01,131346.0,179069.0,115373.0,101.0,23044.0,65442.0,2936.0,6510.0,17.0,926.0,50.0,200.0,1523.0,11.0,9.0,322.0,21.0,360.0,681.0,98.0,14.0,819.0,74381.0,3838.0,43.0,304.0,1393.0,14605.0,810.0,492.0,73.0,17.0,1062.0,17120.0,320.0,94.0,2.0,1992.0,118.0,993.0,54.0,1524.0,63.0,7.0,11273.0,2.0,15305.0,381.0,355.0,239.0,75.0,90.0,2.0,876.0,6.0,2.0,,3.0,,,,,,,,,,,,,,
2012-02-01,213897.0,322911.0,197211.0,462.0,42942.0,98055.0,5320.0,10755.0,77.0,1744.0,102.0,615.0,2747.0,23.0,13.0,563.0,32.0,582.0,1320.0,165.0,37.0,1504.0,113356.0,6830.0,81.0,557.0,2518.0,20821.0,1149.0,1481.0,110.0,37.0,1242.0,23157.0,561.0,109.0,2.0,3461.0,170.0,2226.0,83.0,2402.0,143.0,15.0,12155.0,4.0,29302.0,593.0,446.0,381.0,141.0,185.0,5.0,1410.0,11.0,5.0,,5.0,2.0,,,,,,,,,,,,,
2012-03-01,354431.0,445063.0,307704.0,1511.0,71591.0,161502.0,7477.0,16294.0,207.0,2791.0,151.0,1058.0,3842.0,32.0,18.0,740.0,39.0,830.0,1911.0,201.0,44.0,2437.0,184654.0,15354.0,84.0,754.0,3995.0,40878.0,1282.0,2022.0,176.0,62.0,1481.0,25407.0,841.0,132.0,9.0,5348.0,356.0,3128.0,132.0,5953.0,183.0,22.0,22512.0,9.0,47032.0,875.0,709.0,493.0,204.0,267.0,7.0,2355.0,17.0,7.0,,6.0,59.0,,,,,,,,,,,,,
2012-04-01,497369.0,490028.0,405385.0,3769.0,91803.0,233354.0,8706.0,20759.0,695.0,3483.0,444.0,2532.0,5358.0,40.0,19.0,1003.0,43.0,1208.0,2381.0,228.0,45.0,3539.0,262157.0,22985.0,84.0,1046.0,5334.0,60527.0,1520.0,2302.0,206.0,67.0,1749.0,42529.0,1470.0,160.0,50.0,6884.0,489.0,4741.0,173.0,7285.0,205.0,25.0,29715.0,11.0,62812.0,998.0,843.0,512.0,211.0,296.0,10.0,3205.0,17.0,8.0,364.0,6.0,64.0,,,,,,,,,,,,,
2012-05-01,700585.0,600438.0,517054.0,4263.0,118591.0,335135.0,11580.0,26637.0,777.0,4323.0,590.0,3843.0,7499.0,63.0,32.0,1383.0,69.0,1760.0,3135.0,503.0,135.0,4618.0,371618.0,32143.0,89.0,1492.0,6508.0,87966.0,2113.0,3262.0,446.0,86.0,2309.0,68760.0,2174.0,251.0,212.0,9397.0,709.0,7392.0,245.0,8997.0,293.0,33.0,44751.0,21.0,79397.0,1349.0,987.0,791.0,277.0,365.0,18.0,3928.0,34.0,18.0,364.0,8.0,73.0,,,,,,,,,,,,,
2012-06-01,856853.0,803945.0,625916.0,4595.0,148667.0,410458.0,15893.0,32648.0,819.0,5040.0,1537.0,5528.0,10488.0,163.0,43.0,2168.0,163.0,2510.0,3999.0,764.0,234.0,5170.0,455981.0,36332.0,148.0,1976.0,7621.0,101459.0,3194.0,3818.0,521.0,113.0,3196.0,85468.0,2487.0,411.0,318.0,10579.0,895.0,10229.0,440.0,9292.0,383.0,42.0,58397.0,31.0,103540.0,1920.0,1222.0,1181.0,402.0,461.0,30.0,4397.0,48.0,25.0,364.0,12.0,87.0,,,,,,,,,,,,,
2012-07-01,1021008.0,992745.0,762833.0,4662.0,175866.0,484264.0,19978.0,47679.0,822.0,5606.0,3260.0,11214.0,13711.0,281.0,54.0,3276.0,265.0,3204.0,4728.0,1003.0,362.0,5735.0,547972.0,39363.0,151.0,2427.0,9103.0,116726.0,3389.0,4421.0,587.0,150.0,5297.0,116560.0,2797.0,534.0,384.0,11346.0,1018.0,13470.0,493.0,11477.0,504.0,54.0,61194.0,111.0,128482.0,2366.0,1384.0,1360.0,501.0,553.0,46.0,5301.0,59.0,39.0,364.0,15.0,102.0,,,,,,,,,,,,,
2012-08-01,1174115.0,1099723.0,850787.0,4666.0,199893.0,557609.0,22493.0,52264.0,822.0,6130.0,10162.0,33646.0,15750.0,347.0,60.0,3822.0,311.0,3515.0,5439.0,1185.0,500.0,6209.0,633805.0,45891.0,181.0,2678.0,10165.0,124862.0,4326.0,5629.0,750.0,168.0,10195.0,139232.0,2927.0,630.0,499.0,12654.0,1137.0,15901.0,529.0,13161.0,644.0,59.0,69854.0,137.0,150278.0,2478.0,1502.0,1400.0,528.0,618.0,50.0,5976.0,67.0,46.0,364.0,19.0,118.0,2.0,3.0,77.0,1878.0,,,,211.0,,,,,
2012-09-01,1446748.0,1137077.0,956044.0,4802.0,225061.0,699666.0,23362.0,58294.0,866.0,6905.0,16764.0,54652.0,18355.0,441.0,60.0,4572.0,341.0,4064.0,6180.0,1455.0,649.0,6812.0,787576.0,52153.0,181.0,3027.0,11671.0,156617.0,6132.0,7307.0,1024.0,168.0,14374.0,173413.0,2992.0,753.0,641.0,14573.0,1142.0,20023.0,588.0,14465.0,740.0,62.0,95778.0,145.0,184423.0,2707.0,1622.0,1429.0,531.0,792.0,54.0,6386.0,67.0,48.0,364.0,19.0,142.0,16.0,3.0,79.0,2449.0,,,,1583.0,,,,,
2012-10-01,1621969.0,1174064.0,1025171.0,4842.0,236086.0,788441.0,24105.0,61925.0,878.0,7221.0,16864.0,55097.0,20462.0,493.0,89.0,5017.0,393.0,4565.0,6955.0,1629.0,672.0,7217.0,879045.0,55028.0,181.0,3400.0,13157.0,168257.0,6286.0,8441.0,1344.0,168.0,15626.0,204849.0,3035.0,801.0,658.0,15625.0,1142.0,24264.0,601.0,15793.0,815.0,71.0,108445.0,150.0,204537.0,2926.0,1772.0,1484.0,549.0,843.0,56.0,6645.0,67.0,48.0,364.0,19.0,142.0,67.0,3.0,81.0,2449.0,,,,1583.0,,,,,
2012-11-01,1786575.0,1339977.0,1103565.0,4891.0,248085.0,877579.0,29990.0,66791.0,890.0,7544.0,16864.0,55097.0,23214.0,606.0,131.0,5742.0,522.0,5050.0,7962.0,1698.0,749.0,7901.0,976527.0,56961.0,232.0,3484.0,14367.0,188105.0,6386.0,9225.0,1360.0,178.0,16529.0,220870.0,3645.0,845.0,675.0,17033.0,1507.0,28699.0,603.0,19440.0,876.0,74.0,125101.0,155.0,229727.0,3923.0,2046.0,2870.0,793.0,978.0,59.0,6986.0,97.0,48.0,364.0,19.0,142.0,130.0,6.0,89.0,2449.0,,,,1583.0,,,,,
2012-12-01,1979382.0,1607223.0,1224240.0,4957.0,265000.0,979762.0,39589.0,74189.0,901.0,8019.0,18394.0,60002.0,26859.0,709.0,163.0,6592.0,803.0,5760.0,9239.0,1851.0,815.0,9077.0,1094078.0,61238.0,376.0,4115.0,15825.0,210552.0,6770.0,10453.0,1421.0,212.0,18079.0,253558.0,4727.0,1031.0,692.0,18507.0,1750.0,34270.0,813.0,22724.0,1007.0,84.0,128752.0,161.0,260460.0,5776.0,,3837.0,1267.0,1218.0,63.0,7629.0,145.0,49.0,364.0,19.0,142.0,244.0,12.0,107.0,1583.0,,,,2449.0,,,,,
2013-01-01,154618.0,159042.0,103242.0,1244.0,18486.0,60142.0,5645.0,6093.0,331.0,558.0,91.0,458.0,3149.0,57.0,12.0,653.0,163.0,466.0,1318.0,70.0,31.0,795.0,69711.0,2692.0,159.0,347.0,1611.0,10996.0,790.0,448.0,61.0,40.0,389.0,22010.0,714.0,201.0,4.0,1282.0,93.0,1607.0,76.0,584.0,117.0,10.0,1246.0,1.0,21292.0,642.0,466.0,265.0,121.0,139.0,1.0,468.0,22.0,,331.0,,,14.0,2.0,10.0,,,,,,,,,,
2013-02-01,332639.0,284094.0,210973.0,1337.0,39377.0,132737.0,10044.0,12079.0,336.0,1150.0,763.0,1700.0,5605.0,119.0,26.0,1066.0,288.0,937.0,2544.0,137.0,60.0,1729.0,151504.0,7350.0,201.0,683.0,3260.0,24688.0,1889.0,678.0,95.0,74.0,631.0,56697.0,1099.0,363.0,10.0,2643.0,210.0,2289.0,155.0,2164.0,232.0,18.0,2230.0,4.0,38521.0,795.0,831.0,352.0,129.0,248.0,4.0,1134.0,36.0,,331.0,1.0,,4.0,4.0,33.0,,,,,,,,,,
2013-03-01,523093.0,449908.0,340841.0,1453.0,63184.0,211412.0,15708.0,19954.0,344.0,1882.0,787.0,1915.0,8481.0,170.0,34.0,1643.0,349.0,1784.0,3759.0,220.0,60.0,2649.0,241605.0,12622.0,234.0,1015.0,4536.0,43296.0,2140.0,1397.0,137.0,89.0,826.0,82267.0,2031.0,496.0,24.0,3964.0,381.0,3165.0,253.0,2916.0,383.0,20.0,13499.0,6.0,57220.0,1637.0,879.0,909.0,316.0,676.0,5.0,1467.0,53.0,,331.0,1.0,,66.0,5.0,54.0,,,,,,,,,,
2013-04-01,683721.0,493739.0,442829.0,1596.0,89644.0,277862.0,17842.0,25338.0,381.0,2573.0,1253.0,3046.0,10834.0,205.0,35.0,2074.0,443.0,2687.0,4509.0,296.0,78.0,3592.0,314414.0,16891.0,234.0,1203.0,5590.0,65898.0,2656.0,1805.0,202.0,100.0,1295.0,90826.0,2957.0,580.0,133.0,6144.0,501.0,4957.0,315.0,3850.0,438.0,24.0,20192.0,9.0,76374.0,2218.0,982.0,1242.0,407.0,774.0,9.0,1855.0,54.0,1.0,,1.0,4.0,74.0,5.0,58.0,,,,,,,,,,
2013-05-01,888320.0,529438.0,544976.0,1622.0,121342.0,348119.0,19246.0,30946.0,386.0,3354.0,1865.0,4165.0,13342.0,263.0,36.0,2678.0,579.0,3365.0,5388.0,425.0,97.0,4756.0,390574.0,20904.0,399.0,1397.0,6672.0,84392.0,2765.0,2583.0,250.0,112.0,2067.0,102127.0,3671.0,650.0,307.0,9196.0,645.0,8080.0,384.0,4315.0,547.0,28.0,26231.0,13.0,99151.0,2479.0,1111.0,1453.0,474.0,584.0,19.0,2596.0,54.0,9.0,363.0,1.0,14.0,76.0,5.0,70.0,,,,,,,,,,
2013-06-01,1120746.0,699807.0,654591.0,1661.0,149268.0,433400.0,25631.0,37352.0,388.0,3939.0,2649.0,5849.0,15864.0,350.0,54.0,3258.0,664.0,3921.0,6285.0,601.0,146.0,5598.0,487496.0,26324.0,773.0,1875.0,8442.0,102561.0,3151.0,4795.0,313.0,125.0,2744.0,114898.0,4265.0,894.0,395.0,11480.0,780.0,10170.0,496.0,5227.0,687.0,33.0,41243.0,19.0,127542.0,3242.0,1228.0,2292.0,776.0,1015.0,30.0,3734.0,94.0,23.0,363.0,2.0,24.0,100.0,9.0,99.0,,,,,,,,,,
2013-07-01,1396231.0,823736.0,787247.0,1927.0,182796.0,554225.0,30099.0,45371.0,430.0,4654.0,5166.0,24721.0,19415.0,451.0,64.0,4350.0,775.0,4526.0,7336.0,909.0,267.0,6462.0,624152.0,34209.0,830.0,2245.0,10577.0,125208.0,4945.0,6193.0,862.0,144.0,6855.0,156991.0,4659.0,1058.0,509.0,13367.0,961.0,12534.0,597.0,6517.0,893.0,40.0,54212.0,106.0,156927.0,3597.0,1399.0,2369.0,814.0,1210.0,40.0,4776.0,118.0,38.0,363.0,7.0,36.0,140.0,11.0,123.0,1574.0,,16.0,,,,22.0,,,
2013-08-01,1607181.0,866905.0,874564.0,2071.0,207206.0,657516.0,31293.0,50277.0,456.0,5166.0,14138.0,40753.0,21649.0,520.0,65.0,5085.0,827.0,4854.0,8049.0,1098.0,364.0,7168.0,737198.0,37449.0,831.0,2445.0,12036.0,141143.0,6502.0,6818.0,947.0,151.0,9406.0,182790.0,4952.0,1161.0,640.0,15256.0,1174.0,15301.0,642.0,7451.0,973.0,42.0,70456.0,107.0,192744.0,3749.0,1508.0,2484.0,822.0,1545.0,43.0,5228.0,119.0,41.0,373.0,7.0,44.0,170.0,11.0,128.0,2454.0,6.0,42.0,,,,43.0,,,
2013-09-01,1883666.0,906520.0,969292.0,2264.0,233444.0,784353.0,32209.0,55685.0,502.0,5834.0,16982.0,50347.0,24648.0,582.0,65.0,5950.0,890.0,5355.0,9078.0,1406.0,494.0,8023.0,870916.0,44195.0,831.0,2596.0,13963.0,165562.0,7807.0,8133.0,1181.0,151.0,13968.0,228835.0,5172.0,1280.0,767.0,17544.0,1174.0,19313.0,705.0,9787.0,1111.0,50.0,72215.0,110.0,229193.0,3870.0,1636.0,2689.0,831.0,1591.0,47.0,5732.0,119.0,53.0,396.0,8.0,44.0,192.0,11.0,133.0,,,,,,,,,,
2013-10-01,1991326.0,926618.0,1020183.0,2351.0,244698.0,833260.0,32678.0,58342.0,519.0,6076.0,17152.0,50889.0,27418.0,659.0,101.0,6923.0,1014.0,5903.0,9807.0,1607.0,570.0,8565.0,920609.0,46196.0,831.0,2680.0,14531.0,173505.0,7943.0,8469.0,1251.0,151.0,15015.0,246931.0,5217.0,1401.0,801.0,18556.0,1286.0,21575.0,705.0,10231.0,1234.0,50.0,72838.0,111.0,242256.0,4003.0,1891.0,2818.0,831.0,1705.0,48.0,6123.0,119.0,57.0,402.0,8.0,44.0,11.0,133.0,,192.0,,,,,,,,,
