branche,indicateur,source,f_pvalue,r2,date,valeur
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-08-01,4364768.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-09-01,4666997.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-10-01,5111858.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-11-01,5528990.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-12-01,6586298.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-02-01,1103133.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-03-01,1640292.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-04-01,2111929.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-05-01,2665626.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-06-01,3411358.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-07-01,3917569.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-08-01,4688300.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-09-01,4919490.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-10-01,5469671.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-11-01,5962536.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2016-12-01,6845704.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-01-01,768016.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-02-01,1309121.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-03-01,1854996.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-05-01,2911477.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-06-01,3436954.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-07-01,4306140.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-08-01,4903105.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-09-01,5256475.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-10-01,5825671.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-11-01,6284307.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2017-12-01,7285419.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-01-01,699179.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-02-01,1380235.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-03-01,2049292.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-04-01,2480452.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-05-01,3019627.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-06-01,3388937.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-08-01,5097731.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-09-01,5831595.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-10-01,6441944.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-11-01,6832541.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2018-12-01,7345939.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-03-01,2346848.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-04-01,2819839.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-06-01,3947655.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-07-01,4683925.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-08-01,5026560.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-09-01,5742617.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-10-01,6390011.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-11-01,6778162.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2019-12-01,7342204.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-01-01,1013540.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-03-01,2094113.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-05-01,2840598.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-06-01,3334182.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-08-01,4482991.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-09-01,5258977.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-10-01,5743309.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-11-01,6268331.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2020-12-01,6721375.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-01-01,1068917.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-02-01,1699689.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-03-01,2544161.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-04-01,3276161.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-05-01,3652740.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-06-01,4523884.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-07-01,5054434.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-08-01,6048511.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-09-01,6831828.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-10-01,7414383.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-11-01,8035690.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2021-12-01,9110681.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-01-01,1189404.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-02-01,2027451.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-03-01,2905714.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-04-01,3480356.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-05-01,4162771.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-06-01,4838411.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-07-01,5409816.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-08-01,6554807.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-09-01,7455350.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-10-01,8160775.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2022-12-01,9705171.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-01-01,977338.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-02-01,2052140.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-03-01,2918187.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-04-01,3518495.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-05-01,4412495.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-06-01,4989352.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-07-01,5872560.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-08-01,7029792.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-09-01,7862996.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-10-01,8684886.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-11-01,9378589.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2023-12-01,9980265.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-01-01,1160328.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-02-01,2021110.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-03-01,2969814.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-04-01,3572336.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-05-01,4375224.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-06-01,4809149.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-07-01,6305968.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-08-01,7416209.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-09-01,8460109.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-10-01,9231794.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-11-01,9958356.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2024-12-01,10548655.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-01-01,1413761.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-02-01,2295180.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-03-01,3210193.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-04-01,3661470.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-05-01,4420366.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-06-01,4811383.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-07-01,6142434.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-08-01,7367989.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-09-01,8199191.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-10-01,8941051.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-11-01,9576841.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2025-12-01,10111850.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2026-01-01,1483113.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2026-02-01,2360497.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2026-03-01,3112829.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2026-04-01,3854049.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2026-05-01,4396458.0
