equation,type,predicteur,retard,coefficient
Hébergement-restauration,A_l,"Électricité, gaz, eau",4,-4.928042632288425e-5
Hébergement-restauration,A_l,Services aux entreprises,4,-3.654409576572368e-4
Hébergement-restauration,A_l,Administration publique,4,-1.7621278307265912e-4
Hébergement-restauration,A_l,Éducation-santé,4,2.4620817740538442e-5
Hébergement-restauration,A_l,Autres services,4,-7.13844473498043e-4
Hébergement-restauration,A_l,Industrie de transformation,5,9.9740344969339e-6
Hébergement-restauration,A_l,Finances et assurances,5,-3.478860312637291e-4
Hébergement-restauration,A_l,Hébergement-restauration,5,-9.545953836128572e-6
Hébergement-restauration,A_l,Pêche,5,-2.7008437665836718e-5
Hébergement-restauration,A_l,Industrie d'extraction,5,-3.259864627841487e-5
Hébergement-restauration,A_l,Construction,5,1.538462638469183e-4
Hébergement-restauration,A_l,Information-communication,5,2.744595421006306e-5
Hébergement-restauration,A_l,Immobilier,5,-3.541176106872531e-5
Hébergement-restauration,A_l,Agriculture,5,4.035908285147662e-5
Hébergement-restauration,A_l,Commerce,5,1.3500836027724098e-4
Hébergement-restauration,A_l,Transports,5,-6.714445044107732e-5
Hébergement-restauration,A_l,"Électricité, gaz, eau",5,-2.2529812689038679e-4
Hébergement-restauration,A_l,Services aux entreprises,5,-6.835662400923608e-5
Hébergement-restauration,A_l,Administration publique,5,-2.523666778578147e-4
Hébergement-restauration,A_l,Éducation-santé,5,4.9046326123621324e-5
Hébergement-restauration,A_l,Autres services,5,-6.338318102170509e-4
Pêche,constante,NA,0,0.01010084455832884
Pêche,A_l,Industrie de transformation,1,-0.016514789250249573
Pêche,A_l,Finances et assurances,1,0.0038461776537201823
Pêche,A_l,Hébergement-restauration,1,-0.0032450887594340757
Pêche,A_l,Pêche,1,-0.00334311167098336
Pêche,A_l,Industrie d'extraction,1,4.826993191159003e-4
Pêche,A_l,Construction,1,-0.013181421571466918
Pêche,A_l,Information-communication,1,6.521562262042024e-4
Pêche,A_l,Immobilier,1,0.006195257254081397
Pêche,A_l,Agriculture,1,3.1646552455075205e-4
Pêche,A_l,Commerce,1,-0.015353575619017889
Pêche,A_l,Transports,1,-0.007016153980269639
Pêche,A_l,"Électricité, gaz, eau",1,-0.007631914914201236
Pêche,A_l,Services aux entreprises,1,-0.016338408353263563
Pêche,A_l,Administration publique,1,0.001977323025579553
Pêche,A_l,Éducation-santé,1,0.015473264475405011
Pêche,A_l,Autres services,1,0.004453262476073435
Pêche,A_l,Industrie de transformation,2,0.0036487222958211385
Pêche,A_l,Finances et assurances,2,-0.0012154798136643993
Pêche,A_l,Hébergement-restauration,2,8.746909309412167e-4
Pêche,A_l,Pêche,2,5.259211774678192e-4
Pêche,A_l,Industrie d'extraction,2,1.3772960294101924e-5
Pêche,A_l,Construction,2,0.0036635679708285278
Pêche,A_l,Information-communication,2,6.803534457356971e-4
Pêche,A_l,Immobilier,2,-0.0025625233770411975
Pêche,A_l,Agriculture,2,-1.7573199951798047e-4
Pêche,A_l,Commerce,2,0.0036475335648981175
Pêche,A_l,Transports,2,0.0019643911461478918
Pêche,A_l,"Électricité, gaz, eau",2,0.0012868806506891907
Pêche,A_l,Services aux entreprises,2,0.0035812482030893396
Pêche,A_l,Administration publique,2,3.9448725785534976e-4
Pêche,A_l,Éducation-santé,2,4.439162909139851e-4
Pêche,A_l,Autres services,2,-0.00410483773224966
Pêche,A_l,Industrie de transformation,3,-5.687589988337254e-4
Pêche,A_l,Finances et assurances,3,2.878709802611854e-4
Pêche,A_l,Hébergement-restauration,3,-3.663858659471857e-5
Pêche,A_l,Pêche,3,-1.685942381988563e-4
Pêche,A_l,Industrie d'extraction,3,-5.778513356967592e-5
Pêche,A_l,Construction,3,-8.633318987933808e-4
Pêche,A_l,Information-communication,3,-1.0124231315393675e-4
Pêche,A_l,Immobilier,3,0.001337289891394585
Pêche,A_l,Agriculture,3,-2.8909679207887046e-6
Pêche,A_l,Commerce,3,-2.5640687749329475e-4
Pêche,A_l,Transports,3,-3.556644007917264e-4
Pêche,A_l,"Électricité, gaz, eau",3,-4.5444807105797253e-4
Pêche,A_l,Services aux entreprises,3,-4.027591149149169e-4
Pêche,A_l,Administration publique,3,-6.641656606911589e-4
Pêche,A_l,Éducation-santé,3,0.0014411734158632774
Pêche,A_l,Autres services,3,0.0021132937095683655
Pêche,A_l,Industrie de transformation,4,-1.2976440942862388e-5
Pêche,A_l,Finances et assurances,4,2.2409874806563352e-4
Pêche,A_l,Hébergement-restauration,4,-1.0003165327335316e-4
Pêche,A_l,Pêche,4,5.1808194664177995e-5
Pêche,A_l,Industrie d'extraction,4,-7.007658112748765e-6
Pêche,A_l,Construction,4,3.6849685632425375e-4
Pêche,A_l,Information-communication,4,3.0297753988092047e-4
Pêche,A_l,Immobilier,4,1.4939340017811953e-4
Pêche,A_l,Agriculture,4,-7.33385399238486e-5
Pêche,A_l,Commerce,4,-2.288694520077399e-4
Pêche,A_l,Transports,4,-6.892790936201853e-5
Pêche,A_l,"Électricité, gaz, eau",4,6.950396724171317e-5
Pêche,A_l,Services aux entreprises,4,-1.1889584011285205e-4
Pêche,A_l,Administration publique,4,1.8216917450275273e-5
Pêche,A_l,Éducation-santé,4,5.81705904776292e-4
Pêche,A_l,Autres services,4,-5.903868533906155e-4
Pêche,A_l,Industrie de transformation,5,4.000884931871734e-5
Pêche,A_l,Finances et assurances,5,-2.72480222855043e-4
Pêche,A_l,Hébergement-restauration,5,1.881200733582848e-5
Pêche,A_l,Pêche,5,-1.7431276958281846e-5
Pêche,A_l,Industrie d'extraction,5,-2.7834340704726382e-5
Pêche,A_l,Construction,5,-1.0196393537015275e-4
Pêche,A_l,Information-communication,5,-2.096285533631069e-4
Pêche,A_l,Immobilier,5,-6.2427107331184485e-6
Pêche,A_l,Agriculture,5,4.4319994209930624e-5
Pêche,A_l,Commerce,5,1.5447917231276173e-4
Pêche,A_l,Transports,5,1.1318134487269053e-4
Pêche,A_l,"Électricité, gaz, eau",5,4.894469940953298e-5
Pêche,A_l,Services aux entreprises,5,5.1865806759106574e-5
Pêche,A_l,Administration publique,5,1.6518297678608975e-4
Pêche,A_l,Éducation-santé,5,-8.201520388375141e-4
Pêche,A_l,Autres services,5,-1.7880918549258618e-4
Industrie d'extraction,constante,NA,0,0.006272373187243607
Industrie d'extraction,A_l,Industrie de transformation,1,6.116098537829044e-4
Industrie d'extraction,A_l,Finances et assurances,1,-7.668643206157317e-4
Industrie d'extraction,A_l,Hébergement-restauration,1,3.157592486457266e-4
Industrie d'extraction,A_l,Pêche,1,-1.135892860081023e-4
Industrie d'extraction,A_l,Industrie d'extraction,1,-1.4717745694417986e-4
Industrie d'extraction,A_l,Construction,1,9.05242932693419e-4
Industrie d'extraction,A_l,Information-communication,1,-2.5181468144194817e-4
Industrie d'extraction,A_l,Immobilier,1,-0.0016860887576371118
Industrie d'extraction,A_l,Agriculture,1,3.143280016294753e-4
Industrie d'extraction,A_l,Commerce,1,8.891547419131244e-4
Industrie d'extraction,A_l,Transports,1,4.8082138256260007e-4
Industrie d'extraction,A_l,"Électricité, gaz, eau",1,-1.2980285221846283e-4
Industrie d'extraction,A_l,Services aux entreprises,1,4.09358244351926e-4
Industrie d'extraction,A_l,Administration publique,1,-0.001565668293466018
Industrie d'extraction,A_l,Éducation-santé,1,-7.257270332299061e-4
Industrie d'extraction,A_l,Autres services,1,-0.0017020990539704539
Industrie d'extraction,A_l,Industrie de transformation,2,6.605469710913598e-5
Industrie d'extraction,A_l,Finances et assurances,2,5.477047312072909e-6
Industrie d'extraction,A_l,Hébergement-restauration,2,-3.878783479236756e-5
Industrie d'extraction,A_l,Pêche,2,-4.208444332383595e-6
Industrie d'extraction,A_l,Industrie d'extraction,2,-2.9049525934483866e-6
Industrie d'extraction,A_l,Construction,2,-2.8111858946578967e-4
Industrie d'extraction,A_l,Information-communication,2,2.3860332175040745e-4
Industrie d'extraction,A_l,Immobilier,2,-7.949158631468773e-5
Industrie d'extraction,A_l,Agriculture,2,-5.1307567440566e-5
Industrie d'extraction,A_l,Commerce,2,1.43279527849234e-4
Industrie d'extraction,A_l,Transports,2,-7.405924711519332e-5
Industrie d'extraction,A_l,"Électricité, gaz, eau",2,-1.8457557823484618e-5
Industrie d'extraction,A_l,Services aux entreprises,2,4.593346924287501e-5
Industrie d'extraction,A_l,Administration publique,2,-5.355356225928139e-4
Industrie d'extraction,A_l,Éducation-santé,2,9.149340014625845e-5
Industrie d'extraction,A_l,Autres services,2,-3.784188714272123e-5
Industrie d'extraction,A_l,Industrie de transformation,3,-1.264514637121299e-4
Industrie d'extraction,A_l,Finances et assurances,3,3.899130137349808e-5
Industrie d'extraction,A_l,Hébergement-restauration,3,-4.5572191414556314e-5
Industrie d'extraction,A_l,Pêche,3,1.911375640924378e-5
Industrie d'extraction,A_l,Industrie d'extraction,3,-4.584234730825492e-6
Industrie d'extraction,A_l,Construction,3,-8.625441757506635e-5
Industrie d'extraction,A_l,Information-communication,3,4.557301942136664e-6
Industrie d'extraction,A_l,Immobilier,3,-4.05271795581948e-5
Industrie d'extraction,A_l,Agriculture,3,-2.7275514872128626e-6
Industrie d'extraction,A_l,Commerce,3,-1.6976197630389243e-4
Industrie d'extraction,A_l,Transports,3,-5.976922034010091e-5
Industrie d'extraction,A_l,"Électricité, gaz, eau",3,2.5113528414418363e-5
Industrie d'extraction,A_l,Services aux entreprises,3,-1.1131190331874324e-4
Industrie d'extraction,A_l,Administration publique,3,5.408340071332124e-5
Industrie d'extraction,A_l,Éducation-santé,3,-3.4975396793051564e-4
Industrie d'extraction,A_l,Autres services,3,-2.494992471296433e-4
Industrie d'extraction,A_l,Industrie de transformation,4,-1.2264465636404871e-5
