Date,"Crédits à l’immobilier 
 (MDH) (Jan 18)","Crédits à l'habitat (MDH) (Jan 18) (déflaté, réel)"
2023-10-01,303465.4835,204817.9545
2023-11-01,303721.8503,205868.3513
2023-12-01,303934.6842,206374.8142
2024-01-01,303290.7816,207740.1498
2024-02-01,303214.1872,208049.8756
2024-03-01,304901.3116,206997.242
2024-04-01,304405.9665,205693.7222
2024-05-01,305988.8378,206687.0623
2024-06-01,307964.2755,206335.2558
2024-07-01,307705.2967,206747.2927
2024-08-01,307637.099,205410.6587
2024-09-01,308687.9785,205655.8504
2024-10-01,309697.0496,206777.6657
2024-11-01,310263.5063,207877.7062
2024-12-01,310922.4206,208541.6458
2025-01-01,311807.002,207348.294
2025-02-01,311567.5819,206857.1628
2025-03-01,312878.4106,208119.5775
2025-04-01,314354.6042,209450.6959
2025-05-01,315688.656,210982.9194
2025-06-01,317283.6724,210645.0177
2025-07-01,318247.6638,211713.5463
2025-08-01,317921.2555,211039.817
2025-09-01,318253.9069,211084.2591
2025-10-01,319511.9142,213352.9697
2025-11-01,319673.6833,215185.5301
2025-12-01,321187.8874,216154.3523
2026-01-01,322685.4727,215237.3575
2026-02-01,322729.9796,214685.8737
2026-03-01,323423.5882,212183.193
2026-04-01,325688.5305,212189.1659
2026-05-01,325826.3753,213486.935
